seed,arm,model_kind,conventional,causal_state,sensor_dropout,channels,best_epoch,best_validation_accuracy,damaged_validation_accuracy,clean_accuracy,damaged_accuracy,damage_drop,damaged_direct_only_accuracy,damaged_shuffled_state_accuracy,damaged_state_contribution,damaged_state_specificity,checkpoint_activity,activity_kind,mean_absolute_gate,effective_trainable_parameters,parameter_ratio_vs_target,test_examples_per_second,train_seconds
151,dilated_tcn,tcn,True,False,False,32,6,0.5922252279330729,0.49183448552249276,0.5727602786772642,0.47782356981650476,0.09493670886075944,,,,,0.28199924061429615,relu_activation,0.0,131971,0.9875777327117211,10890.758265774295,41.70611541700009
151,dropout_tcn,tcn,True,False,True,32,9,0.6068530207394048,0.5532511772367498,0.5864978902953587,0.5371406142674909,0.04935727602786777,,,,,0.3037079810721871,relu_activation,0.0,131971,0.9875777327117211,10553.201625153326,51.306766907999645
152,dilated_tcn,tcn,True,False,False,32,5,0.580603145977357,0.4739004107804829,0.5682464920027476,0.47056226081836916,0.09768423118437841,,,,,0.25088098860444386,relu_activation,0.0,131971,0.9875777327117211,10373.11116426299,40.414109627000016
152,dropout_tcn,tcn,True,False,True,32,8,0.6157699629295662,0.5826069532111011,0.6009223824943578,0.5673633598272986,0.033559022667059235,,,,,0.3078120201402061,relu_activation,0.0,131971,0.9875777327117211,6421.823641139804,54.802861140000005
153,dilated_tcn,tcn,True,False,False,32,6,0.5831079050195371,0.46177737701633104,0.5665292905504857,0.46124031007751937,0.10528898047296636,,,,,0.2904418957308293,relu_activation,0.0,131971,0.9875777327117211,10488.972908353295,42.19986458499989
153,dropout_tcn,tcn,True,False,True,32,5,0.6220819557158601,0.5851117122532812,0.6006280051025414,0.5680011775095672,0.032626827592974195,,,,,0.30271902975759074,relu_activation,0.0,131971,0.9875777327117211,10772.151810940532,51.90943074899997
