population_size,steps,seconds,ticks_per_second,agent_steps_per_second,mean_active_synapses,device,dtype,torch_compile_requested,torch_compile_active,compile_error,cuda_memory_allocated_mb,cuda_max_memory_allocated_mb
1000,240,0.40026696200038714,599.5998240788304,599599.8240788303,8.0,cuda,torch.float32,True,True,,4.6162109375,8.89111328125
10000,240,0.4033127559996501,595.0716817898223,5950716.817898222,8.0,cuda,torch.float32,True,True,,46.59375,53.47119140625
50000,240,0.5339176319994294,449.5075375226726,22475376.87613363,8.0,cuda,torch.float32,True,True,,230.603515625,249.1376953125
100000,240,0.819438898000044,292.88333832547346,29288333.832547344,8.0,cuda,torch.float32,True,True,,462.23291015625,486.6474609375
