arm,hidden_neurons,seeds,mean_test_accuracy,std_test_accuracy,mean_gain_vs_raw_temporal,raw_one_point_seed_count,mean_gain_vs_smallest_width,smallest_width_one_point_seed_count,mean_gain_vs_previous_width,previous_width_positive_seed_count,active_edges,mean_connected_hidden_neurons,mean_hidden_occupancy_rate,mean_sensor_fanin_connected,effective_model_parameters,parameter_ratio_vs_target,mean_final_activity,mean_train_seconds,mean_test_examples_per_second
raw_temporal_pyramid,0,3,0.7795936395759716,0.012806648544159385,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,132944,0.9948589773331037,0.09931821886831797,5.7012424166672035,34584.01517918625
sparse_analog_leaky_128,128,3,0.6289752650176679,0.015682803913256757,-0.15061837455830387,0,0.0,0,0.0,0,700,127.66666666666667,0.9973958333333334,5.483103593190511,133164,0.9965053019134782,0.7003985682702036,28.170617114999914,7996.5093950752735
sparse_analog_leaky_256,256,3,0.7482332155477032,0.011791438781022333,-0.03136042402826855,0,0.11925795053003534,3,0.11925795053003534,3,700,238.66666666666666,0.9322916666666666,2.9340607325236,133092,0.9959665047780829,0.52103199266573,28.067256027999974,8470.504840824571
sparse_analog_leaky_512,512,3,0.778563015312132,0.007161593938171562,-0.0010306242638397818,1,0.1495877502944641,3,0.03032979976442877,3,700,388.0,0.7578125,1.804853916168213,133631,1.0,0.33594306787416706,29.98763314899952,8174.922003977591
sparse_analog_leaky_1024,1024,3,0.7869552414605417,0.008695419941244655,0.0073616018845700975,1,0.15797997644287398,3,0.008392226148409879,3,700,513.6666666666666,0.5016276041666666,1.3630310694376628,132645,0.9926214725625041,0.19234814623851237,34.84507857266605,7902.721737759461
