seed,arm,hidden_neurons,test_accuracy,train_accuracy,initial_test_accuracy,active_edges,connected_hidden_neurons,hidden_occupancy_rate,mean_sensor_fanin_connected,max_sensor_fanin,effective_model_parameters,trainable_parameters,parameter_ratio_vs_target,initial_activity,final_activity,activity_kind,train_seconds,inference_seconds,test_examples_per_second,gain_vs_raw_temporal,gain_vs_smallest_width,gain_vs_previous_width
42,raw_temporal_pyramid,0,0.7800353356890459,0.9559833251593919,0.04902826855123675,0,0,0.0,0.0,0,132944,132944,0.9948589773331038,0.09931821886831796,0.09931821886831796,input_event_rate,6.140810966000572,0.06438008599980094,35166.15370794939,0.0,0.0,0.0
42,sparse_analog_leaky_128,128,0.6417844522968198,0.68563021088769,0.04240282685512368,700,128,1.0,5.46875,12,133164,132464,0.9965053019134782,0.6999352016213083,0.6999352016213083,analog_activation,28.58835973100031,0.27534623100109457,8222.375123017391,-0.13825088339222613,0.0,0.0
42,sparse_analog_leaky_256,256,0.7318904593639576,0.8261402648357038,0.053003533568904596,700,237,0.92578125,2.9535863399505615,9,133092,132392,0.9959665047780829,0.5207879105220835,0.5207879105220835,analog_activation,27.91062697000052,0.2749376560004748,8234.594100111517,-0.04814487632508835,0.09010600706713778,0.09010600706713778
42,sparse_analog_leaky_512,512,0.7689929328621908,0.8776360961255517,0.04726148409893993,700,397,0.775390625,1.7632241249084473,5,133631,132931,1.0,0.33906705872330145,0.33906705872330145,analog_activation,30.084394950999922,0.267224465000254,8472.278165091839,-0.011042402826855091,0.12720848056537104,0.03710247349823326
42,sparse_analog_leaky_1024,1024,0.7769434628975265,0.8974987739087789,0.04991166077738516,700,523,0.5107421875,1.3384320735931396,4,132645,131945,0.9926214725625042,0.19372165787556989,0.19372165787556989,analog_activation,34.72658136499922,0.28556200499951956,7928.225605517124,-0.0030918727915194566,0.13515901060070667,0.007950530035335635
43,raw_temporal_pyramid,0,0.7950530035335689,0.9654242275625307,0.0719964664310954,0,0,0.0,0.0,0,132944,132944,0.9948589773331038,0.09931821886831796,0.09931821886831796,input_event_rate,5.559988102000716,0.06521927900030278,34713.661891133284,0.0,0.0,0.0
43,sparse_analog_leaky_128,128,0.6068904593639576,0.6683423246689554,0.06051236749116608,700,127,0.9921875,5.511810779571533,12,133164,132464,0.9965053019134782,0.6951026510012865,0.6951026510012865,analog_activation,28.005602991999694,0.28040477000104147,8074.0423923301705,-0.1881625441696113,0.0,0.0
43,sparse_analog_leaky_256,256,0.7535335689045937,0.8670917116233448,0.053886925795053005,700,234,0.9140625,2.991453170776367,7,133092,132392,0.9959665047780829,0.5099128316232256,0.5099128316232256,analog_activation,28.22374480599865,0.26230520199897,8631.166986954724,-0.04151943462897523,0.14664310954063609,0.14664310954063609
43,sparse_analog_leaky_512,512,0.7804770318021201,0.887690044139284,0.053886925795053005,700,378,0.73828125,1.8518518209457397,7,133631,132931,1.0,0.33281759901939767,0.33281759901939767,analog_activation,29.981153640999764,0.28306750599949737,7998.092158285452,-0.014575971731448756,0.17358657243816256,0.02694346289752647
43,sparse_analog_leaky_1024,1024,0.7857773851590106,0.8894065718489456,0.03445229681978799,700,513,0.5009765625,1.3645224571228027,4,132645,131945,0.9926214725625042,0.19204679357921275,0.19204679357921275,analog_activation,34.925556278998556,0.28887518200099294,7837.29493242593,-0.009275618374558259,0.17888692579505305,0.005300353356890497
44,raw_temporal_pyramid,0,0.7636925795053003,0.9665277096615988,0.05123674911660778,0,0,0.0,0.0,0,132944,132944,0.9948589773331038,0.09931821886831796,0.09931821886831796,input_event_rate,5.402928182000323,0.06683941400115145,33872.229938476084,0.0,0.0,0.0
44,sparse_analog_leaky_128,128,0.6382508833922261,0.6759440902403139,0.04770318021201413,700,128,1.0,5.46875,12,133164,132464,0.9965053019134782,0.706157852188016,0.706157852188016,analog_activation,27.917888621999737,0.2942892800001573,7693.110669878257,-0.1254416961130742,0.0,0.0
44,sparse_analog_leaky_256,256,0.7592756183745583,0.8346002942618931,0.05697879858657244,700,245,0.95703125,2.857142686843872,8,133092,132392,0.9959665047780829,0.532395235851881,0.532395235851881,analog_activation,28.067396308000752,0.2649269040011859,8545.753435407472,-0.004416961130742081,0.12102473498233213,0.12102473498233213
44,sparse_analog_leaky_512,512,0.7862190812720848,0.8800882785679255,0.05653710247349823,700,389,0.759765625,1.7994858026504517,7,133631,132931,1.0,0.3359445458798021,0.3359445458798021,analog_activation,29.897350854998876,0.28108874800091144,8054.395688555484,0.0225265017667845,0.1479681978798587,0.026943462897526582
44,sparse_analog_leaky_1024,1024,0.7981448763250883,0.8913683178028445,0.04814487632508834,700,505,0.4931640625,1.386138677597046,7,132645,131945,0.9926214725625042,0.19127598726075445,0.19127598726075445,analog_activation,34.88309807400037,0.28504359599901363,7942.6446753353275,0.03445229681978801,0.15989399293286222,0.011925795053003507
