seed,arm,classifier,schedule,scope,reservoir_learning_rate,surrogate_slope,warmup_epochs,train_accuracy,test_accuracy,active_edges,scope_trainable_edges,readout_parameters,optimizer_parameters,effective_trainable_parameters,initial_hidden_event_rate,final_hidden_event_rate,event_rate_ratio,mean_absolute_ltw_change,mean_sensor_ltw_change,mean_recurrent_ltw_change,lower_ltw_saturation_rate,upper_ltw_saturation_rate,train_seconds,inference_seconds,end_to_end_examples_per_second,paired_frozen_test_accuracy,accuracy_gain_vs_frozen
42,frozen,linear,frozen,none,0.0,10.0,0,0.9245,0.9148,384,0,10250,10250,10250,0.024226893112063407,0.024226893112063407,1.0,0.0,0.0,0.0,0.0,0.0,4.017875298000035,0.04097638500024914,122021.50091984932,0.9148,0.0
42,joint_all_1em3_s10,linear,joint,all,0.001,10.0,0,0.9199,0.9114,384,384,10250,10762,10634,0.024226893112063407,0.0453778088092804,1.8730345900888636,0.11155788600444794,0.13687561452388763,0.09889901429414749,0.0442708358168602,0.0598958358168602,5.540593593999802,0.040603603999443294,123141.77825368787,0.9148,-0.0033999999999999586
42,warm_all_1em4_s5,linear,warmup,all,0.0001,5.0,10,0.92465,0.9158,384,384,10250,10762,10634,0.024226893112063407,0.024596988782286645,1.0152762332549754,0.00736352801322937,0.009595355950295925,0.006247613579034805,0.0,0.0,5.871549906999462,0.051502730000720476,97082.23233855865,0.9148,0.0010000000000000009
42,warm_all_3em4_s5,linear,warmup,all,0.0003,5.0,10,0.9252,0.9158,384,384,10250,10762,10634,0.024226893112063407,0.02489200495183468,1.0274534516949716,0.02149033173918724,0.027556704357266426,0.018457144498825073,0.0,0.0,5.744461528999636,0.040252384999803326,124216.24209408785,0.9148,0.0010000000000000009
42,warm_all_1em4_s10,linear,warmup,all,0.0001,10.0,10,0.9247,0.9156,384,384,10250,10762,10634,0.024226893112063407,0.02461641263216734,1.0160779807093787,0.00738349836319685,0.009695841930806637,0.006227325648069382,0.0,0.0,5.567404016999717,0.05189797399998497,96342.87457929376,0.9148,0.0008000000000000229
42,warm_all_3em4_s10,linear,warmup,all,0.0003,10.0,10,0.9252,0.9158,384,384,10250,10762,10634,0.024226893112063407,0.024934636242687703,1.0292131197900851,0.021567946299910545,0.02790452353656292,0.018399659544229507,0.0,0.0,6.0505660329999955,0.040135585999450996,124577.72511577117,0.9148,0.0010000000000000009
42,warm_sensor_3em4_s10,linear,warmup,sensor,0.0003,10.0,10,0.92485,0.9154,384,128,10250,10762,10378,0.024226893112063407,0.025078964233398438,1.03517046603515,0.009399271570146084,0.028197813779115677,0.0,0.0,0.0,5.373815959999774,0.03904516600050556,128056.82526577706,0.9148,0.0006000000000000449
42,warm_recurrent_3em4_s10,linear,warmup,recurrent,0.0003,10.0,10,0.92525,0.9156,384,256,10250,10762,10506,0.024226893112063407,0.024120766669511795,0.9956194778232308,0.011925598606467247,0.0,0.017888396978378296,0.0,0.0,6.320155032000002,0.04646617999969749,107605.14421526693,0.9148,0.0008000000000000229
42,frozen,mlp,frozen,none,0.0,10.0,0,0.9481,0.9246,384,0,34165,34165,34165,0.024226893112063407,0.024226893112063407,1.0,0.0,0.0,0.0,0.0,0.0,3.4714061780005068,0.042982832999769016,116325.51069928009,0.9246,0.0
42,joint_all_1em3_s10,mlp,joint,all,0.001,10.0,0,0.94925,0.9224,384,384,34165,34677,34549,0.024226893112063407,0.02851970437914133,1.1771919844290881,0.06720587611198425,0.07760858535766602,0.06200451776385307,0.0234375,0.0078125,5.900790104999942,0.05619721099992603,88972.38690380171,0.9246,-0.0021999999999999797
42,warm_all_1em4_s5,mlp,warmup,all,0.0001,5.0,10,0.94765,0.924,384,384,34165,34677,34549,0.024226893112063407,0.024167687445878983,0.997556200627519,0.0037530940026044846,0.003765028901398182,0.0037471263203769922,0.0,0.0,5.987515920999613,0.040555630999733694,123287.44188526699,0.9246,-0.0005999999999999339
