seed,arm,model_kind,conventional,causal_state,channels,best_epoch,best_validation_accuracy,full_accuracy,direct_only_accuracy,state_only_accuracy,shuffled_state_accuracy,state_contribution_vs_direct_only,state_specificity_vs_shuffled,checkpoint_activity,activity_kind,effective_trainable_parameters,parameter_ratio_vs_target,test_examples_per_second,train_seconds,train_samples,validation_samples,test_samples
142,dilated_tcn,tcn,True,False,32,5,0.6100591123133955,0.5949367088607594,,,,,,0.42773221382132315,relu_activation,131971,0.9875777327117211,54772.72978597409,40.08172686499995,75466,9981,20382
143,dilated_tcn,tcn,True,False,32,4,0.6119627291854524,0.5903738592876067,,,,,,0.3793160738713163,relu_activation,131971,0.9875777327117211,57522.60828017764,41.435982189000015,75466,9981,20382
144,dilated_tcn,tcn,True,False,32,4,0.6072537821861537,0.5897851045039741,,,,,,0.37945780222379194,relu_activation,131971,0.9875777327117211,56881.32758374545,41.137650096000016,75466,9981,20382
