seed,arm,model_kind,conventional,causal_state,predictive_weight,shuffled_future_targets,channels,best_epoch,best_validation_accuracy,full_accuracy,direct_only_accuracy,state_only_accuracy,shuffled_state_accuracy,reversed_state_accuracy,state_contribution_vs_direct_only,state_specificity_vs_shuffled,state_temporal_order_vs_reversed,future_alignment_margin,checkpoint_activity,activity_kind,mean_absolute_gate,effective_trainable_parameters,parameter_ratio_vs_target,test_examples_per_second,train_seconds,train_samples,validation_samples,test_samples
142,dilated_tcn,tcn,True,False,0.0,False,32,4,0.6169722472698126,0.6008242566970856,,,,,,,,0.0,0.39366309861652093,relu_activation,0.0,131971,0.9875777327117211,48048.31400123544,47.57743404099995,75466,9981,20382
142,lif_no_predictive,predictive_lif,False,True,0.0,False,32,5,0.6063520689309688,0.5919438720439604,0.5813953488372093,0.011627906976744186,0.5910607398685115,0.5888529094298891,0.010548523206751037,0.0008831321754488863,0.0030909626140712687,-0.0007709521343711314,0.08171334755311313,spike_rate,0.23217764899489948,134214,1.0043627601379919,15531.600423756337,263.4349851029999,75466,9981,20382
142,analog_paired_predictive,predictive_analog,False,True,0.2,False,32,5,0.5871155194870253,0.5655970954764007,0.3593366696104406,0.34240996958100284,0.5674124227259346,0.5383671867333922,0.2062604258659601,-0.0018153272495339268,0.027229908743008457,0.23318044203044316,0.7960618388405984,analog_activation,0.19554221440011954,134182,1.004123294744483,17612.479574985693,153.75383653799986,75466,9981,20382
142,lif_shuffled_predictive,predictive_lif,False,True,0.2,True,32,4,0.5978358881875564,0.5891963497203415,0.5809537827494848,0.12898636051417917,0.6006770680011775,0.5865469531939947,0.00824256697085668,-0.011480718280835966,0.00264939652634677,-0.0013260237658115806,0.05954386451402329,spike_rate,0.27961087635110654,134214,1.0043627601379919,13665.120363963983,266.20355065399986,75466,9981,20382
142,lif_paired_predictive,predictive_lif,False,True,0.2,False,32,5,0.6155695822061917,0.5991561181434599,0.5961632813266607,0.04989696791286429,0.6104405848297517,0.5985183004611913,0.0029928368167991826,-0.011284466686291794,0.000637817682268671,0.297130258990953,0.06117645170553874,spike_rate,0.24129996727082811,134214,1.0043627601379919,16065.639660314173,264.89836259699996,75466,9981,20382
143,dilated_tcn,tcn,True,False,0.0,False,32,6,0.5656747820859633,0.558188597782357,,,,,,,,0.0,0.38196316455592233,relu_activation,0.0,131971,0.9875777327117211,56084.86962133866,44.77662893099978,75466,9981,20382
143,lif_no_predictive,predictive_lif,False,True,0.0,False,32,5,0.5676785893197075,0.5546070061819253,0.5344912177411442,0.04278284761063684,0.5453341183397115,0.5519576096555785,0.0201157884407811,0.009272887842213806,0.00264939652634677,-0.0005724825657346323,0.10118791621173637,spike_rate,0.25952065222461723,134214,1.0043627601379919,12229.355958530816,249.78749563299993,75466,9981,20382
143,analog_paired_predictive,predictive_analog,False,True,0.2,False,32,4,0.5896202785292055,0.5669708566382102,0.4072220586792268,0.21837896182906485,0.5739377882445295,0.5284074183102738,0.15974879795898345,-0.006966931606319227,0.038563438327936406,0.24439760589608966,0.7719190905073325,analog_activation,0.21525199319456315,134182,1.004123294744483,20215.875617579037,150.03839636699968,75466,9981,20382
143,lif_shuffled_predictive,predictive_lif,False,True,0.2,True,32,4,0.5369201482817353,0.5276224119320969,0.4957805907172996,0.055293886762829945,0.5264449023648318,0.5174663919144343,0.03184182121479734,0.0011775095672651448,0.010156020017662581,-0.002674042176959349,0.09793757114746937,spike_rate,0.27965175265910736,134214,1.0043627601379919,15874.295208688583,265.4523674679999,75466,9981,20382
143,lif_paired_predictive,predictive_lif,False,True,0.2,False,32,5,0.5912233243162007,0.5732018447649887,0.5559317044450987,0.0627023844568737,0.5738396624472574,0.5693258757727406,0.01727014031989005,-0.000637817682268671,0.003875968992248069,0.2731372719131079,0.08014031608264845,spike_rate,0.2332993481001528,134214,1.0043627601379919,16039.110108557912,267.312424447,75466,9981,20382
