group,neuron_count,hidden_neurons,max_edges,seeds,final_mean_best_fitness,final_std_best_fitness,final_mean_selection_best_fitness,final_mean_active_synapses,final_active_edge_utilization,final_fitness_per_active_synapse,final_mean_hidden_edge_fraction,final_mean_direct_sensor_motor_fraction,threshold_success_rate,mean_generation_to_threshold
gentle_ltw_scheduled,16,4,128,10,26.0,1.4142135623730951,18.7,61.083678817749025,0.47721624076366426,0.30604110412217544,0.4473349034786224,0.14224985539913176,0.9,156.33333333333334
gentle_ltw_scheduled,32,20,256,10,25.7,1.3374935098492586,17.9,80.48309783935547,0.3143871009349823,0.2223970878879446,0.8561137437820434,0.04371592774987221,0.8,174.25
gentle_ltw_scheduled,64,52,512,10,24.4,0.9660917830792959,17.4,131.3046081542969,0.2564543128013611,0.13251574459426566,0.9521840989589692,0.022812921926379202,0.5,217.6
low_ltw_pruning,16,4,128,10,25.4,0.6992058987801011,18.1,51.63557929992676,0.4034029632806778,0.35043382233254017,0.4433184415102005,0.14295028597116471,0.9,198.0
low_ltw_pruning,32,20,256,10,26.0,1.3333333333333333,18.3,103.53957748413086,0.40445147454738617,0.1767355255829145,0.8605394721031189,0.03898962214589119,1.0,99.8
low_ltw_pruning,64,52,512,10,25.4,1.07496769977314,17.6,206.55341644287108,0.4034246414899826,0.08520549048186235,0.9649258077144622,0.01061048498377204,0.8,221.75
