world,policy,eval_seed,sensor_noise_std,steps,population_size,mean_fitness,best_fitness,mean_food_hits,mean_toxin_hits,survival_rate,cue_action_coverage,oracle_action_agreement,mean_action_magnitude,fitness_per_unit_action
simple,fixed_motor_spiking,43,0.0,480,10000,1.9354000091552734,14.0,6.593199729919434,4.65779972076416,0.785099983215332,0.06667375,0.3724260547316848,0.0677478125,28.567712192261165
simple,fixed_analog_cardinal,43,0.0,480,10000,0.2782000005245209,44.0,97.29229736328125,97.01409912109375,0.5216999650001526,0.74122625,0.2575936946827414,0.74122625,0.37532399928432225
simple,random_cardinal,43,0.0,480,10000,0.45489999651908875,47.0,85.11909484863281,84.66419982910156,0.5295999646186829,1.0,0.25030104166666667,1.0,0.45489999651908875
simple,direct_sensor_oracle,43,0.0,480,10000,5.022200107574463,49.0,34.260498046875,29.238298416137695,0.8034999966621399,1.0,1.0,1.0,5.022200107574463
simple,base_adapter,43,0.0,480,10000,2.3041999340057373,40.0,29.394399642944336,27.090198516845703,0.6733999848365784,1.0,0.6511379166666666,1.0,2.3041999340057373
simple,augmented_adapter,43,0.0,480,10000,3.136199951171875,39.0,22.46099853515625,19.324798583984375,0.7457000017166138,1.0,0.6741629166666666,1.0,3.136199951171875
simple,fixed_motor_spiking,44,0.0,480,10000,2.395699977874756,18.0,10.978300094604492,8.582599639892578,0.7511000037193298,0.071788125,0.35767289738611596,0.07301203776041666,32.81239712465032
simple,fixed_analog_cardinal,44,0.0,480,10000,-0.38089999556541443,42.0,95.07099914550781,95.45189666748047,0.5066999793052673,0.7407835416666667,0.2560636105745015,0.7407835416666667,-0.514185283744883
simple,random_cardinal,44,0.0,480,10000,0.2911999821662903,46.0,84.8677978515625,84.57659912109375,0.5264999866485596,1.0,0.24991583333333334,1.0,0.2911999821662903
simple,direct_sensor_oracle,44,0.0,480,10000,5.289400100708008,42.0,24.25979995727539,18.970399856567383,0.8384000062942505,1.0,1.0,1.0,5.289400100708008
