world,policy,sensor_noise_std,seeds,mean_fitness,std_mean_fitness,mean_food_hits,mean_toxin_hits,mean_survival_rate,mean_cue_action_coverage,mean_oracle_action_agreement,mean_action_magnitude,mean_fitness_per_unit_action
gauntlet,augmented_adapter,0.0,5,1.391379952430725,0.10748746915005822,11.74673957824707,9.922799491882325,0.6661799788475037,1.0,0.6785054794108449,1.0,1.391379952430725
gauntlet,augmented_adapter,0.05,5,1.4985599756240844,0.11333285018590726,13.596039772033691,11.627299499511718,0.6605599761009217,1.0,0.6505819016124491,1.0,1.4985599756240844
gauntlet,augmented_adapter,0.15,5,1.2239799499511719,0.20230383627133022,14.726779556274414,13.015119552612305,0.6340799808502198,1.0,0.6252749491051051,1.0,1.2239799499511719
gauntlet,base_adapter,0.0,5,1.1661199808120728,0.2613556057259341,12.495779609680175,10.881339645385742,0.6411399722099305,1.0,0.6667192038148948,1.0,1.1661199808120728
gauntlet,base_adapter,0.05,5,1.1381999969482421,0.20286662771759872,13.551419639587403,11.942179870605468,0.6342199802398681,1.0,0.6400224835581528,1.0,1.1381999969482421
gauntlet,base_adapter,0.15,5,1.1171599745750427,0.20076643255054805,15.72847957611084,14.084539604187011,0.625059986114502,1.0,0.6157008893364238,1.0,1.1171599745750427
gauntlet,direct_sensor_oracle,0.0,5,1.65333993434906,0.5230957683870635,5.479399967193603,3.645799970626831,0.7733799815177917,1.0,1.0,1.0,1.65333993434906
gauntlet,direct_sensor_oracle,0.05,5,2.151919937133789,0.14012696704292169,7.713599681854248,5.272619819641113,0.775819969177246,1.0,1.0,1.0,2.151919937133789
gauntlet,direct_sensor_oracle,0.15,5,2.0549599647521974,0.14057193931734327,9.244379997253418,6.82505989074707,0.7450199842453002,1.0,1.0,1.0,2.0549599647521974
gauntlet,fixed_analog_cardinal,0.0,5,-0.8286399841308594,0.35731227758946804,20.044819259643553,20.15371971130371,0.4786799788475037,0.7035031939486087,0.28904766992346137,0.6943862916666667,-1.1958452630466607
gauntlet,fixed_analog_cardinal,0.05,5,-0.7778399586677551,0.18454893764758962,21.207418823242186,21.264319229125977,0.48209998607635496,0.7312008619721586,0.2737174058026778,0.7311925,-1.0645042959041071
gauntlet,fixed_analog_cardinal,0.15,5,-0.8109199643135071,0.2768049907951156,21.952119445800783,22.04245948791504,0.4796599805355072,0.7291387908547157,0.2603370257965108,0.7291281666666667,-1.1125966958703182
gauntlet,fixed_motor_spiking,0.0,5,-0.7436999678611755,0.3014931647047135,0.6876399695873261,1.390619957447052,0.4688399791717529,0.03430750292714465,0.5958354417853249,0.026757987955729166,-27.09156629341184
gauntlet,fixed_motor_spiking,0.05,5,-0.42589998841285703,0.15017445690917322,0.5943599879741669,0.9902999639511109,0.5664399802684784,0.019934177344914848,0.5441858621595662,0.020296168294270833,-21.944653927474153
gauntlet,fixed_motor_spiking,0.15,5,-0.41395999789237975,0.07200228814614973,0.35899999737739563,0.7598799705505371,0.5918799996376037,0.016990354745418434,0.4035729998345663,0.017226971842447918,-24.08380401254322
gauntlet,random_cardinal,0.0,5,-1.4092199802398682,0.1544391885437782,16.36968002319336,17.086839294433595,0.43527998924255373,1.0,0.2499271920703771,1.0,-1.4092199802398682
gauntlet,random_cardinal,0.05,5,-1.4092199802398682,0.1544391885437782,16.36968002319336,17.086839294433595,0.43527998924255373,1.0,0.24996560603903273,1.0,-1.4092199802398682
gauntlet,random_cardinal,0.15,5,-1.4092199802398682,0.1544391885437782,16.36968002319336,17.086839294433595,0.43527998924255373,1.0,0.25004510375676103,1.0,-1.4092199802398682
moving_toxins,augmented_adapter,0.0,5,1.7517799615859986,0.2720646527994981,24.35077896118164,22.598999786376954,0.6725599884986877,1.0,0.671957,1.0,1.7517799615859986
moving_toxins,augmented_adapter,0.05,5,1.6682599544525147,0.27866688596439815,26.51985893249512,24.85159912109375,0.6486599802970886,1.0,0.6504987624107518,1.0,1.6682599544525147
moving_toxins,augmented_adapter,0.15,5,2.248479962348938,0.26241136595834086,37.92143859863281,35.67295913696289,0.6560799956321717,1.0,0.614579,1.0,2.248479962348938
moving_toxins,base_adapter,0.0,5,1.5425199508666991,0.436317530560506,24.419099426269533,22.87657928466797,0.650379991531372,1.0,0.6562908333333334,1.0,1.5425199508666991
moving_toxins,base_adapter,0.05,5,1.7838999509811402,0.28602997887242537,27.916218948364257,26.13231964111328,0.6530399799346924,1.0,0.6354944166666667,1.0,1.7838999509811402
moving_toxins,base_adapter,0.15,5,2.1087599277496336,0.2838132021189652,44.6466178894043,42.53785858154297,0.633019995689392,1.0,0.6046,1.0,2.1087599277496336
moving_toxins,direct_sensor_oracle,0.0,5,1.7052799701690673,0.3652379097415157,19.89379940032959,18.18851947784424,0.6839799761772156,1.0,1.0,1.0,1.7052799701690673
moving_toxins,direct_sensor_oracle,0.05,5,1.4077599227428437,0.8709859675523087,22.41549949645996,21.00773983001709,0.6490599870681762,1.0,1.0,1.0,1.4077599227428437
moving_toxins,direct_sensor_oracle,0.15,5,2.747299909591675,0.823593256816377,39.122039794921875,36.374739456176755,0.673859977722168,1.0,1.0,1.0,2.747299909591675
moving_toxins,fixed_analog_cardinal,0.0,5,-0.408379989862442,0.3692886275334546,93.64423828125,94.05261993408203,0.5022399842739105,0.7404330987258044,0.25431235425946064,0.7404335000000001,-0.5515319779252107
moving_toxins,fixed_analog_cardinal,0.05,5,0.448759987950325,0.3799652856718503,97.23067779541016,96.78191680908203,0.5302199840545654,0.7427985416666667,0.2532061892353277,0.7427985416666667,0.6041160808149587
moving_toxins,fixed_analog_cardinal,0.15,5,0.657099986076355,0.19611714796332755,96.21041564941406,95.55331878662109,0.5401599764823913,0.7341530416666666,0.2525794515154448,0.7341530416666666,0.8950005133788241
moving_toxins,fixed_motor_spiking,0.0,5,-9.750119876861572,2.345611772662293,28.84409942626953,38.59421920776367,0.11731999963521958,0.07404629166666667,0.3260189573905041,0.07513991536458334,-130.07299899466537
moving_toxins,fixed_motor_spiking,0.05,5,-8.653699970245361,0.9997814604116946,17.205799674987794,25.859499740600587,0.0949799969792366,0.06466129166666666,0.31809977225774533,0.06551952604166666,-131.88227216084175
moving_toxins,fixed_motor_spiking,0.15,5,-9.19169979095459,0.7554093922501176,18.01609935760498,27.2077995300293,0.08441999703645706,0.05959848049375317,0.29866494034074276,0.060456109375,-152.48513910687313
moving_toxins,random_cardinal,0.0,5,0.5124199837446213,0.1688366388254667,84.53857727050782,84.02615814208984,0.5371399760246277,1.0,0.2500331666666667,1.0,0.5124199837446213
moving_toxins,random_cardinal,0.05,5,0.5124199837446213,0.1688366388254667,84.53857727050782,84.02615814208984,0.5371399760246277,1.0,0.25006483333333335,1.0,0.5124199837446213
moving_toxins,random_cardinal,0.15,5,0.5124199837446213,0.1688366388254667,84.53857727050782,84.02615814208984,0.5371399760246277,1.0,0.25010180208625216,1.0,0.5124199837446213
simple,augmented_adapter,0.0,5,2.224799966812134,0.5083754915532527,24.04069938659668,21.815899658203126,0.689359986782074,1.0,0.6762943123451428,1.0,2.224799966812134
simple,augmented_adapter,0.05,5,2.3373199462890626,0.21343242451695288,29.071879196166993,26.734558868408204,0.6745599746704102,1.0,0.6496167916666666,1.0,2.3373199462890626
simple,augmented_adapter,0.15,5,2.3918999671936034,0.27261059665331455,41.18967971801758,38.79777908325195,0.6492199897766113,1.0,0.6147528333333334,1.0,2.3918999671936034
simple,base_adapter,0.0,5,2.3564799308776854,0.11924921990389735,28.497539520263672,26.141059112548827,0.6830799818038941,1.0,0.656627375,1.0,2.3564799308776854
