seed,arm,classifier,schedule,selection,candidate_edges,requested_sprout_edges,sprouted_edges,pruned_sprouted_edges,retained_sprouted_edges,birth_weight,prune_fraction,prune_threshold_ratio,mean_selected_gradient_score,mean_pruned_ltw_before_removal,reservoir_learning_rate,surrogate_slope,warmup_epochs,train_accuracy,test_accuracy,initial_active_edges,final_active_edges,readout_parameters,optimizer_parameters,effective_trainable_parameters,initial_hidden_event_rate,final_hidden_event_rate,event_rate_ratio,mean_core_ltw_change,mean_retained_sprouted_ltw_change_from_birth,mean_final_retained_sprouted_ltw,lower_ltw_saturation_rate,upper_ltw_saturation_rate,train_seconds,inference_seconds,end_to_end_examples_per_second,paired_frozen_test_accuracy,accuracy_gain_vs_frozen,paired_fixed_warm_all_test_accuracy,accuracy_gain_vs_fixed_warm_all,paired_random_sensor_48_test_accuracy,accuracy_gain_vs_random_sensor_48
42,gradient_sensor_48_prune,mlp,warmup,gradient,192,48,48,24,24,0.1,0.5,0.95,3.4256111507614455,0.08661909184108178,0.0003,10.0,10,0.5551,0.563,272,296,17802,18314,18098,0.01671992195546627,0.018215624967217445,1.0894563393139631,0.010998381301760674,0.00676328269764781,0.0974842756986618,0.0,0.0,6.474733095999909,0.03655734099993424,136771.4353188049,0.5626,0.00039999999999995595,0.5754,-0.012400000000000078,0.5702,-0.007200000000000095
43,raw,linear,raw,none,0,0,0,0,0,0.1,0.0,0.95,0.0,0.0,0.0,10.0,0,0.8411,0.8578,0,0,650,650,650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6762525310005003,0.00218911800038768,2284024.889985158,0.4424,0.4154,0.459,0.3988,0.471,0.38680000000000003
43,frozen_recurrent,linear,frozen,none,0,0,0,0,0,0.1,0.0,0.95,0.0,0.0,0.0,10.0,0,0.4266,0.4424,272,272,1290,1290,1290,0.016587109199166297,0.016587109199166297,1.0,0.0,0.0,0.0,0.0,0.0,2.7431640489994606,0.03614969599948381,138313.74958371423,0.4424,0.0,0.459,-0.016600000000000004,0.471,-0.02859999999999996
43,fixed_warm_all,linear,warmup,none,0,0,0,0,0,0.1,0.0,0.95,0.0,0.0,0.0003,10.0,10,0.4383,0.459,272,272,1290,1802,1562,0.016587109199166297,0.021082031241059302,1.2709888738249175,0.018292026594281197,0.0,0.0,0.0,0.0036764706019312143,5.988047719998576,0.05536006600050314,90317.81139774215,0.4424,0.016600000000000004,0.459,0.0,0.471,-0.011999999999999955
43,random_sensor_48,linear,warmup,random,48,48,48,0,48,0.1,0.0,0.95,0.0,0.0,0.0003,10.0,10,0.45085,0.471,272,320,1290,1802,1610,0.016587109199166297,0.021450390565395355,1.293196439948288,0.016826538369059563,0.06017766520380974,0.14125314354896545,0.0,0.0031250000465661287,5.46880027899897,0.050964788999408484,98106.94987980882,0.4424,0.02859999999999996,0.459,0.011999999999999955,0.471,0.0
43,gradient_sensor_16,linear,warmup,gradient,192,16,16,0,16,0.1,0.0,0.95,0.6728392913937569,0.0,0.0003,10.0,10,0.43745,0.4544,272,288,1290,1802,1578,0.016587109199166297,0.02040078121125698,1.2299178215021558,0.018261242657899857,0.025913847610354424,0.0819535180926323,0.0,0.0034722222480922937,5.871670947000894,0.0467999949996738,106837.61825262695,0.4424,0.01200000000000001,0.459,-0.004599999999999993,0.471,-0.016599999999999948
43,gradient_sensor_48,linear,warmup,gradient,192,48,48,0,48,0.1,0.0,0.95,0.3906087386421859,0.0,0.0003,10.0,10,0.4403,0.4384,272,320,1290,1802,1610,0.016587109199166297,0.023683984369039537,1.4278548531066488,0.02442168816924095,0.02942250482738018,0.08725516498088837,0.0031250000465661287,0.0031250000465661287,6.019937099999879,0.03489106000051834,143303.1842519465,0.4424,-0.0040000000000000036,0.459,-0.020600000000000007,0.471,-0.03259999999999996
43,gradient_sensor_48_prune,linear,warmup,gradient,192,48,48,24,24,0.1,0.5,0.95,0.3906087234305839,0.06578767284130056,0.0003,10.0,10,0.44215,0.4496,272,296,1290,1802,1586,0.016587109199166297,0.021126171636581422,1.273650000305253,0.02177474834024906,0.015949562191963196,0.1113680824637413,0.0,0.0033783784601837397,5.346129131001362,0.0354384439997375,141089.7160167934,0.4424,0.007199999999999984,0.459,-0.00940000000000002,0.471,-0.021399999999999975
43,raw,mlp,raw,none,0,0,0,0,0,0.1,0.0,0.95,0.0,0.0,0.0,10.0,0,0.93825,0.9412,0,0,17785,17785,17785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8699978049990023,0.0033525769995321753,1491390.056275429,0.5506,0.39060000000000006,0.5604,0.3808,0.5536,0.38760000000000006
43,frozen_recurrent,mlp,frozen,none,0,0,0,0,0,0.1,0.0,0.95,0.0,0.0,0.0,10.0,0,0.5455,0.5506,272,272,17802,17802,17802,0.016587109199166297,0.016587109199166297,1.0,0.0,0.0,0.0,0.0,0.0,3.729721135001455,0.03697449500032235,135228.3513258642,0.5506,0.0,0.5604,-0.009800000000000031,0.5536,-0.0030000000000000027
43,fixed_warm_all,mlp,warmup,none,0,0,0,0,0,0.1,0.0,0.95,0.0,0.0,0.0003,10.0,10,0.5476,0.5604,272,272,17802,18314,18074,0.016587109199166297,0.017740234312415122,1.069519353818855,0.00553428940474987,0.0,0.0,0.0,0.0036764706019312143,5.408978216999458,0.038222463999773026,130813.12602007267,0.5506,0.009800000000000031,0.5604,0.0,0.5536,0.006800000000000028
43,random_sensor_48,mlp,warmup,random,48,48,48,0,48,0.1,0.0,0.95,0.0,0.0,0.0003,10.0,10,0.5423,0.5536,272,320,17802,18314,18122,0.016587109199166297,0.018893359386920928,1.1390387053019793,0.007455573417246342,0.02317087911069393,0.09822158515453339,0.0,0.0,5.855155167999328,0.04591321099906054,108901.11780903993,0.5506,0.0030000000000000027,0.5604,-0.006800000000000028,0.5536,0.0
43,gradient_sensor_16,mlp,warmup,gradient,192,16,16,0,16,0.1,0.0,0.95,8.45291593670845,0.0,0.0003,10.0,10,0.5385,0.5468,272,288,17802,18314,18090,0.016587109199166297,0.017338281154632568,1.0452864900355288,0.0073008909821510315,0.007406909484416246,0.09312713146209717,0.0,0.0034722222480922937,5.799451595999926,0.051218350999988616,97621.26078602397,0.5506,-0.0038000000000000256,0.5604,-0.013600000000000056,0.5536,-0.006800000000000028
43,gradient_sensor_48,mlp,warmup,gradient,192,48,48,0,48,0.1,0.0,0.95,4.371300179511309,0.0,0.0003,10.0,10,0.52835,0.5256,272,320,17802,18314,18122,0.016587109199166297,0.020699609193205834,1.2479334973116496,0.010239757597446442,0.010424105450510979,0.09370677918195724,0.0,0.0031250000465661287,5.506611756998609,0.04581211400000029,109141.43800480301,0.5506,-0.025000000000000022,0.5604,-0.03480000000000005,0.5536,-0.028000000000000025
43,gradient_sensor_48_prune,mlp,warmup,gradient,192,48,48,24,24,0.1,0.5,0.95,4.371299933642149,0.0874341723198692,0.0003,10.0,10,0.53485,0.5458,272,296,17802,18314,18098,0.016587109199166297,0.019300390580296516,1.1635777125809599,0.008661730214953423,0.004710028413683176,0.09970434755086899,0.0,0.0033783784601837397,6.222223807999399,0.035750912998992135,139856.56814249628,0.5506,-0.0048000000000000265,0.5604,-0.014600000000000057,0.5536,-0.007800000000000029
44,raw,linear,raw,none,0,0,0,0,0,0.1,0.0,0.95,0.0,0.0,0.0,10.0,0,0.84235,0.8606,0,0,650,650,650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6770026929989399,0.0021366519995353883,2340109.667408283,0.4246,0.43600000000000005,0.4436,0.41700000000000004,0.4642,0.39640000000000003
44,frozen_recurrent,linear,frozen,none,0,0,0,0,0,0.1,0.0,0.95,0.0,0.0,0.0,10.0,0,0.42515,0.4246,272,272,1290,1290,1290,0.014374609366059303,0.014374609366059303,1.0,0.0,0.0,0.0,0.0,0.0,2.7550190050005767,0.03518368400000327,142111.32637501904,0.4246,0.0,0.4436,-0.019000000000000017,0.4642,-0.039600000000000024
44,fixed_warm_all,linear,warmup,none,0,0,0,0,0,0.1,0.0,0.95,0.0,0.0,0.0003,10.0,10,0.44435,0.4436,272,272,1290,1802,1562,0.014374609366059303,0.017785546773672105,1.2372890504883254,0.020223520696163177,0.0,0.0,0.0,0.0036764706019312143,5.926512068001102,0.059760262998679536,83667.63714059425,0.4246,0.019000000000000017,0.4436,0.0,0.4642,-0.020600000000000007
44,random_sensor_48,linear,warmup,random,48,48,48,0,48,0.1,0.0,0.95,0.0,0.0,0.0003,10.0,10,0.45975,0.4642,272,320,1290,1802,1610,0.014374609366059303,0.019471484243869783,1.3545748442976822,0.01865975745022297,0.06143343076109886,0.11985330283641815,0.0031250000465661287,0.0031250000465661287,5.276955363000525,0.033897684999828925,147502.6981938511,0.4246,0.039600000000000024,0.4436,0.020600000000000007,0.4642,0.0
44,gradient_sensor_16,linear,warmup,gradient,192,16,16,0,16,0.1,0.0,0.95,1.1123210415244102,0.0,0.0003,10.0,10,0.4381,0.4426,272,288,1290,1802,1578,0.014374609366059303,0.01709765620827675,1.189434493339832,0.018676593899726868,0.02455233410000801,0.0898250937461853,0.0034722222480922937,0.0034722222480922937,5.625824856999316,0.04398688299988862,113670.25028831119,0.4246,0.018000000000000016,0.4436,-0.0010000000000000009,0.4642,-0.021600000000000008
44,gradient_sensor_48,linear,warmup,gradient,192,48,48,0,48,0.1,0.0,0.95,0.6392927573372921,0.0,0.0003,10.0,10,0.4445,0.4546,272,320,1290,1802,1610,0.014374609366059303,0.019660156261920927,1.3677002109248009,0.024702033028006554,0.025438815355300903,0.09219910949468613,0.0031250000465661287,0.0031250000465661287,5.966284922000341,0.0386564759992325,129344.43377868361,0.4246,0.030000000000000027,0.4436,0.01100000000000001,0.4642,-0.009599999999999997
44,gradient_sensor_48_prune,linear,warmup,gradient,192,48,48,24,24,0.1,0.5,0.95,0.6392927374690771,0.07360461261123419,0.0003,10.0,10,0.444,0.45,272,296,1290,1802,1586,0.014374609366059303,0.018027734246850013,1.254137332553628,0.021867506206035614,0.01735559292137623,0.1152467355132103,0.0,0.0033783784601837397,5.791093037001701,0.039040710998961003,128071.43804663459,0.4246,0.025400000000000034,0.4436,0.006400000000000017,0.4642,-0.01419999999999999
44,raw,mlp,raw,none,0,0,0,0,0,0.1,0.0,0.95,0.0,0.0,0.0,10.0,0,0.9416,0.9426,0,0,17785,17785,17785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9730124600009731,0.003253548999055056,1536783.3714667198,0.5538,0.38880000000000003,0.556,0.38659999999999994,0.562,0.38059999999999994
44,frozen_recurrent,mlp,frozen,none,0,0,0,0,0,0.1,0.0,0.95,0.0,0.0,0.0,10.0,0,0.55625,0.5538,272,272,17802,17802,17802,0.014374609366059303,0.014374609366059303,1.0,0.0,0.0,0.0,0.0,0.0,3.5268971730001795,0.035884427999917534,139336.204551219,0.5538,0.0,0.556,-0.0022000000000000908,0.562,-0.008200000000000096
44,fixed_warm_all,mlp,warmup,none,0,0,0,0,0,0.1,0.0,0.95,0.0,0.0,0.0003,10.0,10,0.55835,0.556,272,272,17802,18314,18074,0.014374609366059303,0.015461328165233136,1.0755998838994363,0.007387941237539053,0.0,0.0,0.0,0.0,5.38280096500057,0.036475397000685916,137078.6999221962,0.5538,0.0022000000000000908,0.556,0.0,0.562,-0.006000000000000005
44,random_sensor_48,mlp,warmup,random,48,48,48,0,48,0.1,0.0,0.95,0.0,0.0,0.0003,10.0,10,0.5574,0.562,272,320,17802,18314,18122,0.014374609366059303,0.016751953095197676,1.1653849275898691,0.009082996286451817,0.025923684239387512,0.09809379279613495,0.0,0.0,6.220903179000743,0.047370563999720616,105550.78043887105,0.5538,0.008200000000000096,0.556,0.006000000000000005,0.562,0.0
44,gradient_sensor_16,mlp,warmup,gradient,192,16,16,0,16,0.1,0.0,0.95,7.834181398153305,0.0,0.0003,10.0,10,0.55325,0.5486,272,288,17802,18314,18090,0.014374609366059303,0.01470078121125698,1.0226908319309058,0.00638165045529604,0.006902721710503101,0.09461270272731781,0.0,0.0,5.60126690800098,0.03723942199940211,134266.31595088335,0.5538,-0.005199999999999982,0.556,-0.007400000000000073,0.562,-0.013400000000000079
44,gradient_sensor_48,mlp,warmup,gradient,192,48,48,0,48,0.1,0.0,0.95,4.9672020226716995,0.0,0.0003,10.0,10,0.5382,0.5358,272,320,17802,18314,18122,0.014374609366059303,0.01827070316374302,1.2710399773981338,0.010638010688126087,0.008544757962226868,0.09493738412857056,0.0,0.0,5.95257391999985,0.05408811699999205,92441.74649305567,0.5538,-0.017999999999999905,0.556,-0.020199999999999996,0.562,-0.0262
44,gradient_sensor_48_prune,mlp,warmup,gradient,192,48,48,24,24,0.1,0.5,0.95,4.966206667323907,0.0890194559469819,0.0003,10.0,10,0.5434,0.5478,272,296,17802,18314,18098,0.014374609366059303,0.01614531245827675,1.1231826929779638,0.009243899025022984,0.004495060071349144,0.10041850060224533,0.0,0.0,5.961982924998665,0.03632953399937833,137629.07060920628,0.5538,-0.006000000000000005,0.556,-0.008200000000000096,0.562,-0.014200000000000101
