strategy,runs,mean_baseline_fitness_per_1000_steps,mean_final_fitness_per_1000_steps,mean_fitness_gain_per_1000_steps,positive_gain_seed_count,mean_final_shaped_reward_per_1000_steps,mean_final_policy_entropy,mean_training_loss,mean_training_reward_per_1000_steps,maximum_score_gradient_error,mean_policy_weight_delta_norm
static_linear_policy,3,0.11666666716337204,0.11666666716337204,0.0,0,0.1045463800349777,1.359261393547058,0.0,0.0,0.0,0.0
oracle_food_reflex,3,10.175555811987984,10.175555811987984,0.0,0,10.173614638480876,0.0,0.0,0.0,0.0,0.0
autograd_score_policy,3,0.11666666716337204,0.3000000124383304,0.18333334527495837,3,0.29038128440831007,1.359290599822998,-0.00034111838703867965,-0.030907142715298472,0.0,0.0009496311540715396
manual_local_score_policy,3,0.11666666716337204,0.3000000124383304,0.18333334527495837,3,0.29038128440831007,1.3592907190322876,-0.00034111763678639466,-0.030907142715298472,2.7939677238464355e-09,0.0009502463605410109
manual_local_shuffled_reward,3,0.11666666716337204,0.05111111121045219,-0.06555555595291984,1,0.04853770960065756,1.359206994374593,0.00010897605728877756,-0.027382514057662104,2.3283064365386963e-09,0.00025527437780207646
