seed,arm,classifier,schedule,delay_pattern,max_delay_steps,warmup_epochs,train_accuracy,test_accuracy,active_edges,recurrent_edges,delayed_edges,delay_0_recurrent_edges,delay_1_recurrent_edges,delay_2_recurrent_edges,mean_recurrent_delay,scope_trainable_edges,readout_parameters,effective_trainable_parameters,initial_hidden_event_rate,final_hidden_event_rate,event_rate_ratio,mean_absolute_ltw_change,lower_ltw_saturation_rate,upper_ltw_saturation_rate,train_seconds,inference_seconds,end_to_end_examples_per_second,paired_no_delay_test_accuracy,accuracy_gain_vs_no_delay_control,event_rate_vs_no_delay_control
42,raw,linear,raw,none,0,0,0.83975,0.8598,0,0,0,0,0,0,0.0,0,650,650,0.0,0.0,0.0,0.0,0.0,0.0,0.8387723980013106,0.0030199160009942716,1655675.190420465,0.4764,0.3834,0.0
42,lif_no_delay_frozen,linear,frozen,none,0,0,0.43865,0.4486,272,256,0,256,0,0,0.0,0,1290,1290,0.01671992195546627,0.01671992195546627,1.0,0.0,0.0,0.0,3.768606016999911,0.04239392800081987,117941.41840084513,0.4486,0.0,1.0
42,lif_no_delay_warm_all,linear,warmup,none,0,10,0.4674,0.4764,272,256,0,256,0,0,0.0,272,1290,1562,0.01671992195546627,0.022525000095367433,1.3471952892700734,0.021228663623332977,0.0,0.011029412038624287,5.811688531999607,0.03993493000052695,125203.67507678176,0.4764,0.0,1.0
42,recurrent_delay1_frozen,linear,frozen,uniform_1,1,0,0.4496,0.4564,272,256,256,0,256,0,1.0,0,1290,1290,0.01618476554453373,0.01618476554453373,1.0,0.0,0.0,0.0,3.911105466999288,0.09459757000149693,52855.48032492673,0.4486,0.007799999999999974,0.9679928882229274
42,recurrent_delay1_warm_all,linear,warmup,uniform_1,1,10,0.4768,0.48,272,256,256,0,256,0,1.0,272,1290,1562,0.01618476554453373,0.02155390627682209,1.3317404084424158,0.017919981852173805,0.0,0.011029412038624287,7.606410046000747,0.04923999799939338,101543.46472681819,0.4764,0.003599999999999992,0.9568881769396724
42,recurrent_hash012_warm_all,linear,warmup,hash_0_2,2,10,0.53685,0.5352,272,256,162,94,88,74,0.921875,272,1290,1562,0.016328906193375587,0.02203632796406746,1.3495287255068742,0.02115318365395069,0.0,0.011029412038624287,9.259130473999903,0.05993683999986388,83421.14799531232,0.4764,0.05880000000000002,0.978305343874317
42,recurrent_distance012_warm_all,linear,warmup,distance_0_2,2,10,0.52485,0.538,272,256,171,85,84,87,1.0078125,272,1290,1562,0.01629843739569187,0.021990625029802324,1.34924744599228,0.02293849177658558,0.0,0.011029412038624287,8.286188580999806,0.08916886400038493,56073.38453900698,0.4764,0.061600000000000044,0.9762763567901156
42,raw,mlp,raw,none,0,0,0.94245,0.9424,0,0,0,0,0,0,0.0,0,17785,17785,0.0,0.0,0.0,0.0,0.0,0.0,0.9383061709995673,0.003994444999989355,1251738.3516391702,0.5758,0.36660000000000004,0.0
42,lif_no_delay_frozen,mlp,frozen,none,0,0,0.56025,0.5626,272,256,0,256,0,0,0.0,0,17802,17802,0.01671992195546627,0.01671992195546627,1.0,0.0,0.0,0.0,3.810704617999363,0.04035817499971017,123890.63678017915,0.5626,0.0,1.0
42,lif_no_delay_warm_all,mlp,warmup,none,0,10,0.5689,0.5758,272,256,0,256,0,0,0.0,272,17802,18074,0.01671992195546627,0.018651562568545343,1.1155292840614939,0.00692190183326602,0.0,0.0036764706019312143,5.827769167999577,0.040962660999866785,122062.38261758094,0.5758,0.0,1.0
42,recurrent_delay1_frozen,mlp,frozen,uniform_1,1,0,0.5153,0.5162,272,256,256,0,256,0,1.0,0,17802,17802,0.01618476554453373,0.01618476554453373,1.0,0.0,0.0,0.0,4.3130646599984175,0.06598436399872298,75775.52767041547,0.5626,-0.0464,0.9679928882229274
42,recurrent_delay1_warm_all,mlp,warmup,uniform_1,1,10,0.54435,0.5404,272,256,256,0,256,0,1.0,272,17802,18074,0.01618476554453373,0.020139843666553497,1.2443704303987004,0.00824048463255167,0.0,0.0036764706019312143,7.508038781001233,0.05097758800002339,98082.31805705884,0.5758,-0.03539999999999999,1.0797939096276066
42,recurrent_hash012_warm_all,mlp,warmup,hash_0_2,2,10,0.63145,0.6356,272,256,162,94,88,74,0.921875,272,17802,18074,0.016328906193375587,0.019010156279802324,1.1642026755910009,0.008505258709192276,0.0,0.0036764706019312143,9.7063491480003,0.06844546499996795,73050.8588114982,0.5758,0.059800000000000075,1.0192259340170098
42,recurrent_distance012_warm_all,mlp,warmup,distance_0_2,2,10,0.6329,0.6394,272,256,171,85,84,87,1.0078125,272,17802,18074,0.01629843739569187,0.018839843714237213,1.1559294462926308,0.008463460952043533,0.0,0.0036764706019312143,8.867957569000282,0.08344056700116198,59922.8909833555,0.5758,0.06359999999999999,1.0100946580212746
43,raw,linear,raw,none,0,0,0.8411,0.8578,0,0,0,0,0,0,0.0,0,650,650,0.0,0.0,0.0,0.0,0.0,0.0,0.7410649089997605,0.003497732999676373,1429497.3345485844,0.459,0.3988,0.0
43,lif_no_delay_frozen,linear,frozen,none,0,0,0.4266,0.4424,272,256,0,256,0,0,0.0,0,1290,1290,0.016587109199166297,0.016587109199166297,1.0,0.0,0.0,0.0,3.2374969750017044,0.04044291600075667,123631.04579072518,0.4424,0.0,1.0
43,lif_no_delay_warm_all,linear,warmup,none,0,10,0.4383,0.459,272,256,0,256,0,0,0.0,272,1290,1562,0.016587109199166297,0.021082031241059302,1.2709888738249175,0.018292024731636047,0.0,0.0036764706019312143,5.655612582999311,0.0425508139996964,117506.5652101432,0.459,0.0,1.0
43,recurrent_delay1_frozen,linear,frozen,uniform_1,1,0,0.44325,0.453,272,256,256,0,256,0,1.0,0,1290,1290,0.016315624991059305,0.016315624991059305,1.0,0.0,0.0,0.0,4.456906191999224,0.07859581999946386,63616.61472625526,0.4424,0.010599999999999998,0.983632819628351
43,recurrent_delay1_warm_all,linear,warmup,uniform_1,1,10,0.4721,0.4938,272,256,256,0,256,0,1.0,272,1290,1562,0.016315624991059305,0.02084687513411045,1.2777245827563575,0.01735849864780903,0.0036764706019312143,0.007352941203862429,7.0862976600001275,0.04940219800118939,101210.07166279569,0.459,0.0348,0.9888456617742382
43,recurrent_hash012_warm_all,linear,warmup,hash_0_2,2,10,0.53655,0.557,272,256,163,93,72,91,0.9921875,272,1290,1562,0.016376562505960465,0.021512109348177908,1.3135912582599854,0.020069841295480728,0.0036764706019312143,0.0036764706019312143,9.332066855000448,0.0591704580001533,84501.62748422609,0.459,0.09800000000000003,1.0204002215062173
43,recurrent_distance012_warm_all,linear,warmup,distance_0_2,2,10,0.5387,0.5566,272,256,181,75,99,82,1.02734375,272,1290,1562,0.01607148433923721,0.02046718750298023,1.273509470000308,0.019404850900173187,0.0036764706019312143,0.0036764706019312143,8.9616748619992,0.07673418699960166,65160.00488838118,0.459,0.09759999999999996,0.9708356499879573
43,raw,mlp,raw,none,0,0,0.93825,0.9412,0,0,0,0,0,0,0.0,0,17785,17785,0.0,0.0,0.0,0.0,0.0,0.0,1.019696326000485,0.0031595089985785307,1582524.3739611155,0.5608,0.38040000000000007,0.0
43,lif_no_delay_frozen,mlp,frozen,none,0,0,0.5455,0.5496,272,256,0,256,0,0,0.0,0,17802,17802,0.016587109199166297,0.016587109199166297,1.0,0.0,0.0,0.0,3.2258135140000377,0.04057980999823485,123213.98252523832,0.5496,0.0,1.0
43,lif_no_delay_warm_all,mlp,warmup,none,0,10,0.54785,0.5608,272,256,0,256,0,0,0.0,272,17802,18074,0.016587109199166297,0.017740624937415125,1.0695429037331474,0.005535406526178122,0.0,0.0036764706019312143,5.830667342999732,0.04211222300000372,118730.37431435424,0.5608,0.0,1.0
