arm,model_kind,readout_kind,seeds,hidden_neurons,reservoir_threshold,mean_test_accuracy,std_test_accuracy,mean_gain_vs_sparse_linear,mean_gain_vs_mlp_no_delay,mean_gain_vs_base_distance,improved_seed_count_vs_relevant_control,practical_seed_count_vs_relevant_control,mean_final_hidden_event_rate,mean_event_rate_ratio,active_edges,effective_trainable_parameters,mean_absolute_ltw_change,mean_upper_ltw_saturation_rate,mean_train_seconds
event_count_linear,count,linear,3,128,1.0,0.4734982332155477,0.011295681848537463,0.11071849234393404,0.04814487632508835,0.047408716136631335,0,0,0.0,0.0,0,14020,0.0,0.0,3.3272725810000643
event_count_mlp,count,mlp,3,128,1.0,0.5191401648998822,0.013379496245979195,0.15636042402826858,0.09378680800942289,0.09305064782096588,0,0,0.0,0.0,0,92308,0.0,0.0,2.696334232666686
sparse128_linear_no_delay,sparse,linear,3,128,1.0,0.36277974087161363,0.024887876496298582,0.0,-0.06257361601884569,-0.0633097762073027,0,0,0.36680139399389217,1.0360672451835986,1212,6352,0.057234298437833786,0.03410341218113899,34.52071963933338
sparse128_mlp_no_delay,sparse,mlp,3,128,1.0,0.42535335689045933,0.01749399151490473,0.06257361601884569,0.0,-0.0007361601884570135,3,3,0.3506251362594474,0.9903727031348102,1212,36688,0.02674916448692481,0.003300330174776415,33.36962885766665
sparse128_mlp_distance012,sparse,mlp,3,128,1.0,0.42608951707891635,0.022626838751575527,0.0633097762073027,0.0007361601884570135,0.0,2,1,0.35459515343566106,0.9890692805239661,1212,36688,0.026016388709346455,0.004675467653820912,52.587916313333345
sparse256_mlp_distance012,sparse,mlp,3,256,1.0,0.5471142520612485,0.010821304372799137,0.18433451118963484,0.12176089517078918,0.12102473498233217,3,3,0.23586745928749178,1.0050307606735187,1724,69968,0.02237821804980437,0.0027068831647435823,52.75023165600002
sparse128_mlp_distance012_threshold1p5,sparse,mlp,3,128,1.5,0.4440518256772674,0.01886524494529322,0.08127208480565372,0.01869846878680803,0.017962308598351018,3,1,0.26281177509659454,1.0101838918478867,1212,36688,0.030670886238416035,0.004400440181295077,53.49372816499996
