strategy,runs,mean_baseline_fitness_per_1000_steps,mean_final_fitness_per_1000_steps,mean_fitness_gain_per_1000_steps,positive_gain_seed_count,mean_final_shaped_reward_per_1000_steps,mean_final_policy_entropy,mean_evaluation_spike_density,mean_training_spike_density,maximum_score_gradient_error,mean_policy_weight_delta_norm
static_spiking_policy,3,-0.8477778401639725,-0.8477778401639725,0.0,0,-0.866590338812934,1.3571606874465942,0.11426402777777778,0.0,0.0,0.0
oracle_food_reflex,3,8.32000043657091,8.32000043657091,0.0,0,8.319713812934028,0.0,0.0,0.0,0.0,0.0
manual_analog_score_policy,3,-0.09555556293990879,-0.09111111362775166,0.004444449312157095,2,-0.0938316175672743,1.3620349566141765,0.0,0.0,3.725290298461914e-09,0.0016350267105735838
manual_spiking_score_policy,3,-0.8477778401639725,-1.238888982269499,-0.39111114210552644,2,-1.2433873579237196,1.3574801683425903,0.12078472222222221,0.06369039351851852,3.725290298461914e-09,0.0017106933519244194
manual_spiking_shuffled_reward,3,-0.8477778401639725,-0.18666668898529473,0.6611111511786779,3,-0.17597863939073352,1.3606045643488567,0.11734041666666667,0.06736131944444444,2.3283064365386963e-09,0.0005713326584858199
