arm,dynamics,train_ltw,seeds,mean_test_accuracy,std_test_accuracy,mean_gain_vs_raw_temporal,mean_gain_vs_matched_analog,spiking_positive_seed_count,spiking_one_point_seed_count,mean_gain_vs_frozen_ltw,ltw_positive_seed_count,ltw_one_point_seed_count,active_edges,effective_trainable_parameters,parameter_ratio_vs_target,mean_final_activity,activity_kind,mean_absolute_ltw_change,mean_train_seconds,mean_test_examples_per_second
raw_temporal_pyramid,raw,False,3,0.7795936395759716,0.012806648544159385,0.0,0.0,0,0,0.0,0,0,0,132944,0.9948589773331037,0.09931821886831797,input_event_rate,0.0,5.835823325666449,41877.77139810895
sparse_lif_frozen_ltw,lif,False,3,0.7962308598351001,0.009351262961248788,0.01663722025912843,-0.010011778563015272,1,1,0.0,0,0,700,132931,0.9947616945169907,0.0827394716081827,hidden_spike_rate,0.0,37.40629288500046,7325.268510344821
sparse_lif_trainable_ltw,lif,True,3,0.7960836277974087,0.007920481540820243,0.01648998822143703,-0.010159010600706711,0,0,-0.0001472320376914027,1,0,700,133631,1.0,0.08337033026631224,hidden_spike_rate,0.01524827474107345,37.417655647999105,6933.537103023427
sparse_analog_frozen_ltw,analog,False,3,0.8062426383981154,0.014879908119107946,0.026648998822143704,0.0,0,0,0.0,0,0,700,132931,0.9947616945169907,0.33594306787416706,analog_activation,0.0,27.636509522333046,8847.185874698544
sparse_analog_trainable_ltw,analog,True,3,0.8062426383981155,0.006145063826475023,0.02664899882214374,0.0,0,0,3.700743415417188e-17,1,1,700,133631,1.0,0.3358662707996593,analog_activation,0.007978288612018028,27.423246582666252,9039.99623198945
