strategy,runs,mean_source_initial_accuracy,mean_shifted_initial_accuracy,mean_shift_drop,mean_source_final_accuracy,mean_shifted_final_accuracy,mean_adaptation_gain,two_point_gain_seed_count,mean_forgetting,mean_adaptation_auc,mean_activity,mean_memory_contribution,memory_contribution_seed_count,mean_association_specificity,association_specificity_seed_count,mean_test_examples_per_second,mean_cumulative_adaptation_seconds,mean_active_memory_cells,adaptation_trainable_parameters
dropout_tcn_full_finetune,3,0.6050273116802408,0.5534458509142054,0.05158146076603539,0.5968992248062016,0.601118634088902,0.04767278317469659,3,0.008128086874039209,0.5861915027148137,0.33175158571733737,0.0,0,0.0,0,10361.616213582862,1.751643160331999,0.0,131971
dropout_tcn_readout,3,0.6050273116802408,0.5534458509142054,0.05158146076603539,0.5949857717593955,0.589081869623524,0.03563601870931865,3,0.010041539920845185,0.5777558783485429,0.2940452855528892,0.0,0,0.0,0,10468.733515700465,1.5554946673334296,0.0,16835
spiking_prototype_memory,3,0.6050273116802408,0.5534458509142054,0.05158146076603539,0.6050273116802408,0.5562260818369149,0.0027802309227095514,0,0.0,0.5558518494668498,0.20000001776588058,0.0027802309227095514,0,0.004170346384064365,0,9084.9575362187,0.502847310001016,16800.0,0
dense_prototype_memory,3,0.6050273116802408,0.5534458509142054,0.05158146076603539,0.6050273116802408,0.555948058744644,0.002502207830438604,0,0.0,0.55366497297452,0.6537818297399208,0.002502207830438604,0,0.003761488895430598,0,9510.333319826323,0.4716637249997196,16800.0,0
dropout_tcn_static,3,0.6050273116802408,0.5534458509142054,0.05158146076603539,0.6050273116802408,0.5534458509142054,0.0,0,0.0,0.5534458509142054,0.2940452855528892,0.0,0,0.0,0,10028.36469512261,0.0,0.0,0
