seed,strategy,adaptation_samples,source_accuracy,shifted_accuracy,activity,state_contribution,state_specificity,mean_absolute_gate,test_examples_per_second,cumulative_adaptation_seconds,adaptation_trainable_parameters,memory_contribution,association_specificity,active_memory_cells
157,dropout_tcn_static,0,0.5969482877048377,0.5350799725247768,0.2758006885386042,,,0.0,6863.9676922237,0.0,0,,,0
157,dropout_tcn_static,64,0.5969482877048377,0.5350799725247768,0.2758006885386042,,,0.0,11665.312266784178,0.0,0,,,0
157,dropout_tcn_static,256,0.5969482877048377,0.5350799725247768,0.2758006885386042,,,0.0,11706.196562290455,0.0,0,,,0
157,dropout_tcn_static,1024,0.5969482877048377,0.5350799725247768,0.2758006885386042,,,0.0,12004.696094330251,0.0,0,,,0
157,dropout_tcn_static,4096,0.5969482877048377,0.5350799725247768,0.2758006885386042,,,0.0,12031.056800731843,0.0,0,,,0
157,dropout_tcn_readout,0,0.5969482877048377,0.5350799725247768,0.2758006885386042,,,0.0,9306.814777863021,0.0,16835,,,0
157,dropout_tcn_readout,64,0.6021980178588952,0.5473947600824257,0.2758006885386042,,,0.0,7184.364942995887,0.03927156499958073,16835,,,0
157,dropout_tcn_readout,256,0.5981748601707388,0.5530369934255716,0.2758006885386042,,,0.0,11703.793631048653,0.10805369099944073,16835,,,0
157,dropout_tcn_readout,1024,0.5798743989794917,0.5700127563536453,0.2758006885386042,,,0.0,11938.780296391931,0.3873064149993297,16835,,,0
157,dropout_tcn_readout,4096,0.5821312923167501,0.5836031792758316,0.2758006885386042,,,0.0,11937.260667563436,1.482177875999696,16835,,,0
157,dropout_tcn_full_finetune,0,0.5969482877048377,0.5350799725247768,0.2758006885386042,,,0.0,10460.249494582637,0.0,131971,,,0
157,dropout_tcn_full_finetune,64,0.5710430772250025,0.5691296241781965,0.2896540185418146,,,0.0,6958.489193146096,0.04480737400081125,131971,,,0
157,dropout_tcn_full_finetune,256,0.5477872632715141,0.5583357864782651,0.29427767299995167,,,0.0,11589.104852027682,0.10926077400108625,131971,,,0
157,dropout_tcn_full_finetune,1024,0.5733980963595329,0.57629280737906,0.30128912317566847,,,0.0,11628.319919782929,0.41862357600075484,131971,,,0
157,dropout_tcn_full_finetune,4096,0.5870375821803552,0.5927779413207732,0.3311063741669081,,,0.0,11421.925036058245,1.7015812410008948,131971,,,0
157,dense_prototype_memory,0,0.5969482877048377,0.5350799725247768,0.6571807961400293,,,0.0,8453.754838883733,0.0,0,0.0,0.0,0
157,dense_prototype_memory,64,0.5969482877048377,0.5093219507408497,0.6571807961400293,,,0.0,9330.615709794523,0.07821090099969297,0,-0.025758021783927054,0.01790795800215872,14400
157,dense_prototype_memory,256,0.5969482877048377,0.5319890099107055,0.6571807961400293,,,0.0,8268.598111442478,0.10259396000037668,0,-0.0030909626140712687,0.007604749288588009,16800
157,dense_prototype_memory,1024,0.5969482877048377,0.5382690609361201,0.6571807961400293,,,0.0,9854.016039941871,0.1904249590006657,0,0.003189088411343355,0.007702875085860095,16800
157,dense_prototype_memory,4096,0.5969482877048377,0.5378765577470317,0.6571807961400293,,,0.0,7441.017877537693,0.5076819530004286,0,0.0027965852222548993,0.003385340005887527,16800
157,spiking_prototype_memory,0,0.5969482877048377,0.5350799725247768,0.20000001776588056,,,0.0,10268.117158843364,0.0,0,0.0,0.0,0
157,spiking_prototype_memory,64,0.5969482877048377,0.5325777646943382,0.20000001776588056,,,0.0,6732.740157320734,0.007277216000147746,0,-0.002502207830438641,0.007408497694043725,14400
157,spiking_prototype_memory,256,0.5969482877048377,0.5375821803552154,0.20000001776588056,,,0.0,9655.433025116748,0.02711311000166461,0,0.002502207830438641,0.004023157688156309,16800
157,spiking_prototype_memory,1024,0.5969482877048377,0.539054067314297,0.20000001776588056,,,0.0,6197.840121499736,0.11619580300066445,0,0.003974094789520155,0.00529879305269354,16800
157,spiking_prototype_memory,4096,0.5969482877048377,0.5386615641252085,0.20000001776588056,,,0.0,9611.4786757688,0.4161402950012416,0,0.0035815916004316994,0.004808164066332998,16800
158,dropout_tcn_static,0,0.6168678245510745,0.5614267490923364,0.297061169689086,,,0.0,10946.197455105628,0.0,0,,,0
158,dropout_tcn_static,64,0.6168678245510745,0.5614267490923364,0.297061169689086,,,0.0,10615.46133944019,0.0,0,,,0
158,dropout_tcn_static,256,0.6168678245510745,0.5614267490923364,0.297061169689086,,,0.0,10643.97522246086,0.0,0,,,0
158,dropout_tcn_static,1024,0.6168678245510745,0.5614267490923364,0.297061169689086,,,0.0,9072.075133234941,0.0,0,,,0
