strategy,phase,steps,mean_net_fitness_per_1000_steps,mean_shaped_reward_per_1000_steps,mean_spike_density,mean_absolute_fast_weight,fast_weight_saturation,seed
static_random,baseline,300,-2.6133334636688232,-2.612587890625,0.24334673563639322,0.0,0.0,163
oracle_food_reflex,baseline,300,-0.3200000027815501,-0.31768999735514325,0.25672882080078124,0.0,0.0,163
analog_reward_eligibility,baseline,300,-2.480000058809916,-2.479661051432292,0.24300209045410157,0.0,0.0,163
spiking_reward_eligibility,baseline,300,-1.6600000858306885,-1.6596676635742187,0.24172716776529948,0.0,0.0,163
spiking_shuffled_reward,baseline,300,-2.236666679382324,-2.2363014729817707,0.24191843668619792,0.0,0.0,163
static_random,training,1800,0.7527777883741591,0.7529356553819444,0.24932330661349827,0.0,0.0,163
oracle_food_reflex,training,1800,7.583889431423611,7.583966471354167,0.26522232055664063,0.0,0.0,163
analog_reward_eligibility,training,1800,1.2561111980014377,1.2561298285590279,0.22466766357421875,0.08676167577505112,0.0,163
spiking_reward_eligibility,training,1800,0.7288889090220133,0.7289815266927083,0.21480853610568576,0.07199294120073318,0.0,163
spiking_shuffled_reward,training,1800,1.2211112181345622,1.2211598036024305,0.22482047186957466,0.07141754776239395,0.0,163
static_random,evaluation,300,1.4900000890096028,1.4921050008138022,0.24894030253092447,0.0,0.0,163
oracle_food_reflex,evaluation,300,8.510000705718994,8.509532063802084,0.26503494262695315,0.0,0.0,163
analog_reward_eligibility,evaluation,300,-0.40000001589457196,-0.39424522399902345,0.21061412811279298,0.08676167577505112,0.0,163
spiking_reward_eligibility,evaluation,300,0.2199999988079071,0.2262102254231771,0.2024187723795573,0.07199294120073318,0.0,163
spiking_shuffled_reward,evaluation,300,0.5133333802223206,0.519146982828776,0.2157775370279948,0.07141754776239395,0.0,163
static_random,baseline,300,-2.986666758855184,-2.991482137044271,0.2446142578125,0.0,0.0,164
oracle_food_reflex,baseline,300,1.6033334533373516,1.5966253662109375,0.2559442647298177,0.0,0.0,164
analog_reward_eligibility,baseline,300,-2.9033335049947104,-2.9079315185546877,0.24407452901204427,0.0,0.0,164
spiking_reward_eligibility,baseline,300,-2.136666774749756,-2.1410152180989583,0.2429820760091146,0.0,0.0,164
spiking_shuffled_reward,baseline,300,-1.4766667286554973,-1.4819844563802083,0.2430738321940104,0.0,0.0,164
static_random,training,1800,0.11888889802826776,0.11855991787380642,0.24985482109917534,0.0,0.0,164
oracle_food_reflex,training,1800,7.693333625793457,7.693231879340278,0.2653304206000434,0.0,0.0,164
analog_reward_eligibility,training,1800,0.9272222386466132,0.9269204372829861,0.22482059054904513,0.08665477484464645,0.0,164
spiking_reward_eligibility,training,1800,0.7911111248864068,0.7906738959418402,0.21424818250868055,0.07259277999401093,0.0,164
spiking_shuffled_reward,training,1800,0.6033333804872301,0.6029887559678819,0.22500834147135418,0.07339885085821152,0.0,164
static_random,evaluation,300,0.8400000135103861,0.8398147583007812,0.24911333719889323,0.0,0.0,164
oracle_food_reflex,evaluation,300,7.71333376566569,7.713570149739583,0.2651532999674479,0.0,0.0,164
analog_reward_eligibility,evaluation,300,-0.23333333432674408,-0.2359459940592448,0.20811080932617188,0.08665477484464645,0.0,164
spiking_reward_eligibility,evaluation,300,-0.02666666793326537,-0.02917142868041992,0.1985825220743815,0.07259277999401093,0.0,164
spiking_shuffled_reward,evaluation,300,0.3100000073512395,0.3084356435139974,0.21314048767089844,0.07339885085821152,0.0,164
static_random,baseline,300,-4.426666895548503,-4.429156494140625,0.24437090555826824,0.0,0.0,165
oracle_food_reflex,baseline,300,-1.293333371480306,-1.2956034342447917,0.25758463541666665,0.0,0.0,165
analog_reward_eligibility,baseline,300,-2.583333452542623,-2.586300048828125,0.24438947041829426,0.0,0.0,165
spiking_reward_eligibility,baseline,300,-4.923333724339803,-4.925631103515625,0.24338630676269532,0.0,0.0,165
spiking_shuffled_reward,baseline,300,-4.163333574930827,-4.165947265625,0.24384373982747395,0.0,0.0,165
static_random,training,1800,0.18333334061834547,0.18366597493489584,0.24964363945855034,0.0,0.0,165
oracle_food_reflex,training,1800,7.552222675747341,7.552406141493056,0.265308346218533,0.0,0.0,165
analog_reward_eligibility,training,1800,0.8694444762335883,0.8702109103732639,0.22529217190212675,0.08655358850955963,0.0,165
spiking_reward_eligibility,training,1800,0.9216666883892484,0.9224146185980903,0.21474019368489583,0.07189769297838211,0.0,165
spiking_shuffled_reward,training,1800,0.9794445170296563,0.9802713351779514,0.2253102789984809,0.07263806462287903,0.0,165
static_random,evaluation,300,-0.40666669607162476,-0.40637402852376303,0.249273681640625,0.0,0.0,165
oracle_food_reflex,evaluation,300,8.920000394185385,8.920106608072917,0.26536666870117187,0.0,0.0,165
analog_reward_eligibility,evaluation,300,-1.083333392937978,-1.0878480021158854,0.2086225128173828,0.08655358850955963,0.0,165
spiking_reward_eligibility,evaluation,300,-0.5200000107288361,-0.5251987202962239,0.20010086059570312,0.07189769297838211,0.0,165
spiking_shuffled_reward,evaluation,300,-0.6666666766007742,-0.6705407206217447,0.2127754338582357,0.07263806462287903,0.0,165
