group,seeds,mean_test_accuracy,std_test_accuracy,mean_train_accuracy,active_edges,readout_parameters,optimizer_parameters,effective_trainable_parameters,mean_hidden_event_rate,mean_ltw,mean_absolute_ltw_change,mean_train_seconds,mean_end_to_end_examples_per_second
raw_linear,3,0.8593999999999999,0.001177568115510388,0.8410666666666667,0,650,650,650,0.0,0.0,0.0,0.7667450069999783,2017911.6124732096
raw_mlp,3,0.9514,0.0017663521732656012,0.9538333333333333,0,34210,34210,34210,0.0,0.0,0.0,0.9568113526667427,1463535.984709
frozen_temporal_linear,3,0.9158,0.00016329931618557254,0.9238333333333334,384,10250,10250,10250,0.02389577999711037,0.3755489190419515,0.0,3.265918937,126747.65696603489
frozen_temporal_mlp,3,0.9211333333333332,0.002174600857373367,0.9466666666666667,384,34165,34165,34165,0.02389577999711037,0.3755489190419515,0.0,3.36441826833349,109793.22356117527
trained_ltw_temporal_linear,3,0.9126666666666666,0.0019067132861433633,0.9208666666666666,384,10250,10762,10634,0.038522850101192795,0.4286896586418152,0.10765350858370464,5.692027747666695,100084.38186312704
trained_ltw_temporal_mlp,3,0.9224,0.00028284271247458785,0.94605,384,34165,34677,34549,0.026955678500235083,0.4021349449952443,0.0627149057885011,5.7639318383333675,106742.71249303741
