neuron_count,hidden_neurons,max_edges,seeds,final_mean_best_fitness,final_std_best_fitness,final_mean_active_synapses,final_active_edge_utilization,final_fitness_per_active_synapse,threshold_success_rate,mean_generation_to_threshold
16,4,128,10,25.9,1.1005049346146119,85.92396774291993,0.6712809979915619,0.3014292831249537,1.0,193.0
32,20,256,10,26.1,2.330951164939612,171.61730499267577,0.6703800976276397,0.1520825653398641,0.8,199.5
64,52,512,10,25.5,1.35400640077266,343.6209777832031,0.6711347222328186,0.07420967184398278,0.7,182.42857142857142
