strategy,source_model,adaptation_kind,runs,mean_source_initial_accuracy,mean_shifted_initial_accuracy,mean_shift_drop,mean_source_final_accuracy,mean_shifted_final_accuracy,mean_adaptation_gain,two_point_gain_seed_count,mean_forgetting,mean_adaptation_auc,mean_activity,mean_test_examples_per_second,mean_cumulative_adaptation_seconds,adaptation_trainable_parameters,one_point_auc_advantage_seed_count_vs_tcn_readout
tcn_full_finetune,dilated_tcn,full_finetune,3,0.576897916462238,0.48325319726556115,0.09364471919667683,0.565515323978674,0.5678703431132045,0.08461714584764339,3,0.011382592483563955,0.5484402853416414,0.32418792339324703,9746.87614431973,1.5346089093333528,131971,0
tcn_readout,dilated_tcn,readout,3,0.576897916462238,0.48325319726556115,0.09364471919667683,0.5485886239492362,0.5392666732083865,0.05601347594282539,3,0.0283092925130017,0.5257414119484513,0.28255595533863326,10376.226404395833,1.4186881806666254,16835,0
tcn_static,dilated_tcn,static,3,0.576897916462238,0.48325319726556115,0.09364471919667683,0.576897916462238,0.48325319726556115,0.0,0,0.0,0.48325319726556115,0.28255595533863326,10666.917208373265,0.0,0,0
