seed,strategy,source_model,adaptation_kind,adaptation_samples,source_accuracy,shifted_accuracy,activity,test_examples_per_second,cumulative_adaptation_seconds,adaptation_trainable_parameters
148,tcn_static,dilated_tcn,static,0,0.5688843096850162,0.4908252379550584,0.2385831509765518,11958.97576337564,0.0,0
148,tcn_static,dilated_tcn,static,64,0.5688843096850162,0.4908252379550584,0.2385831509765518,12105.43781457638,0.0,0
148,tcn_static,dilated_tcn,static,256,0.5688843096850162,0.4908252379550584,0.2385831509765518,10336.387560051446,0.0,0
148,tcn_static,dilated_tcn,static,1024,0.5688843096850162,0.4908252379550584,0.2385831509765518,7323.866852978824,0.0,0
148,tcn_static,dilated_tcn,static,4096,0.5688843096850162,0.4908252379550584,0.2385831509765518,12191.637795594079,0.0,0
148,tcn_readout,dilated_tcn,readout,0,0.5688843096850162,0.4908252379550584,0.2385831509765518,12150.336061592632,0.0,16835
148,tcn_readout,dilated_tcn,readout,64,0.567706800117751,0.5010793837699932,0.2385831509765518,12141.42283569683,0.025438302999873486,16835
148,tcn_readout,dilated_tcn,readout,256,0.5571092140123638,0.5092728878422137,0.2385831509765518,12190.745548812749,0.08039220099999511,16835
148,tcn_readout,dilated_tcn,readout,1024,0.5392503189088411,0.5372878029633991,0.2385831509765518,8561.47194571969,0.28808710800012705,16835
148,tcn_readout,dilated_tcn,readout,4096,0.5242370719262094,0.5497007163183201,0.2385831509765518,11601.351220567063,1.767881430999978,16835
148,tcn_full_finetune,dilated_tcn,full_finetune,0,0.5688843096850162,0.4908252379550584,0.2385831509765518,11876.218104802445,0.0,131971
148,tcn_full_finetune,dilated_tcn,full_finetune,64,0.5331665194779708,0.530468060052988,0.24975712136634606,12003.98958618924,0.030027711000002455,131971
148,tcn_full_finetune,dilated_tcn,full_finetune,256,0.5189873417721519,0.5228633107644,0.2471787651572912,12052.498904139991,0.09259861300006378,131971
148,tcn_full_finetune,dilated_tcn,full_finetune,1024,0.5054950446472377,0.5462172505151605,0.27140604378769784,10484.47295850717,0.32434067000008326,131971
148,tcn_full_finetune,dilated_tcn,full_finetune,4096,0.5471003826906093,0.5676086743204789,0.3002767489142676,9620.21998623419,1.9103309409999838,131971
149,tcn_static,dilated_tcn,static,0,0.5898341674026102,0.4931311941909528,0.3228839256323398,10386.324062633834,0.0,0
149,tcn_static,dilated_tcn,static,64,0.5898341674026102,0.4931311941909528,0.3228839256323398,10981.302865865084,0.0,0
149,tcn_static,dilated_tcn,static,256,0.5898341674026102,0.4931311941909528,0.3228839256323398,10831.896323188943,0.0,0
149,tcn_static,dilated_tcn,static,1024,0.5898341674026102,0.4931311941909528,0.3228839256323398,10828.068351115779,0.0,0
149,tcn_static,dilated_tcn,static,4096,0.5898341674026102,0.4931311941909528,0.3228839256323398,7893.449993778494,0.0,0
149,tcn_readout,dilated_tcn,readout,0,0.5898341674026102,0.4931311941909528,0.3228839256323398,8013.227497771192,0.0,16835
149,tcn_readout,dilated_tcn,readout,64,0.5831125502894711,0.5003434402904524,0.3228839256323398,11534.339444075826,0.021680886000012833,16835
149,tcn_readout,dilated_tcn,readout,256,0.5777156314395054,0.5098125797272103,0.3228839256323398,11948.770629055149,0.08073211100008848,16835
149,tcn_readout,dilated_tcn,readout,1024,0.5665292905504857,0.5257089588852909,0.3228839256323398,11796.703426680051,0.32339038200007053,16835
149,tcn_readout,dilated_tcn,readout,4096,0.570601511137278,0.5396918849965656,0.3228839256323398,7947.345723798999,1.256345280000005,16835
149,tcn_full_finetune,dilated_tcn,full_finetune,0,0.5898341674026102,0.4931311941909528,0.3228839256323398,7903.903820812185,0.0,131971
149,tcn_full_finetune,dilated_tcn,full_finetune,64,0.5447453635560789,0.49887155333137084,0.327970479944482,11402.860416766674,0.029646360000015193,131971
149,tcn_full_finetune,dilated_tcn,full_finetune,256,0.561966440977333,0.5261505249730154,0.31690476909199405,11704.40670068069,0.09961434100000588,131971
149,tcn_full_finetune,dilated_tcn,full_finetune,1024,0.5600529879305269,0.546756942400157,0.32683047018532146,11535.01686887628,0.35239538500013623,131971
149,tcn_full_finetune,dilated_tcn,full_finetune,4096,0.5861544500049063,0.571484643312727,0.3531880916954666,7715.397286650598,1.3086270600001626,131971
150,tcn_static,dilated_tcn,static,0,0.5719752722990874,0.46580315965067215,0.2862007894070082,8036.746354396249,0.0,0
150,tcn_static,dilated_tcn,static,64,0.5719752722990874,0.46580315965067215,0.2862007894070082,12081.239553862188,0.0,0
