seed,arm,model_kind,hidden_units,train_samples,validation_samples,best_epoch,best_validation_accuracy,final_validation_accuracy,final_test_accuracy,checkpoint_test_accuracy,checkpoint_gain_vs_final,effective_trainable_parameters,parameter_ratio_vs_target,final_activity,checkpoint_activity,activity_kind,train_seconds,final_test_examples_per_second,checkpoint_test_examples_per_second,checkpoint_gain_vs_raw
142,raw_temporal_pyramid,raw_temporal,92,7340,816,14,0.9313725490196079,0.9019607843137255,0.7742932862190812,0.7791519434628975,0.004858657243816289,132944,0.9948589773331038,0.09931821886831796,0.09931821886831796,input_event_rate,5.957768158999897,41824.23803709098,42030.426017586564,0.0
142,temporal_conv1d,temporal_conv1d,35,7340,816,15,0.9375,0.9375,0.8378975265017667,0.8378975265017667,0.0,133055,0.9956896229168382,1.6679121323272112,1.6679121323272112,relu_activation,4.53655593700023,51453.360859364504,51815.646340426596,0.05874558303886923
142,gru_temporal,gru,58,7340,816,15,0.5943627450980392,0.5943627450980392,0.4739399293286219,0.4739399293286219,0.0,133420,0.9984210250615501,0.6524625051990415,0.6524625051990415,analog_activation,3.40084435999961,55262.36208989557,56871.05884094222,-0.3052120141342756
142,dense_lif_recurrent,dense_lif,128,7340,816,11,0.8602941176470589,0.8492647058823529,0.7310070671378092,0.7199646643109541,-0.011042402826855091,133353,0.9979196443938907,0.20464047247234587,0.21415877589699236,hidden_spike_rate,25.611571155999627,11419.117137338271,10785.473137719237,-0.05918727915194344
143,raw_temporal_pyramid,raw_temporal,92,7340,816,13,0.9068627450980392,0.9056372549019608,0.7782685512367491,0.8087455830388692,0.030477031802120136,132944,0.9948589773331038,0.09931821886831796,0.09931821886831796,input_event_rate,5.55942592700012,39759.76392016103,35944.34893926963,0.0
143,temporal_conv1d,temporal_conv1d,35,7340,816,15,0.9338235294117647,0.9338235294117647,0.8158127208480566,0.8158127208480566,0.0,133055,0.9956896229168382,1.6228398552210508,1.6228398552210508,relu_activation,4.023916026999359,51979.07695189339,51748.556050621744,0.007067137809187329
143,gru_temporal,gru,58,7340,816,15,0.5845588235294118,0.5845588235294118,0.4642226148409894,0.4642226148409894,0.0,133420,0.9984210250615501,0.6386449939370576,0.6386449939370576,analog_activation,3.3785235750001448,56068.9055138349,56827.74286107675,-0.3445229681978798
143,dense_lif_recurrent,dense_lif,128,7340,816,13,0.883578431372549,0.8186274509803921,0.6996466431095406,0.7769434628975265,0.07729681978798586,133353,0.9979196443938907,0.21624302911463558,0.214125617232845,hidden_spike_rate,25.666123365999738,12094.05630925951,12185.585388995063,-0.03180212014134276
144,raw_temporal_pyramid,raw_temporal,92,7340,816,14,0.9166666666666666,0.9105392156862745,0.7901943462897526,0.823321554770318,0.033127208480565384,132944,0.9948589773331038,0.09931821886831796,0.09931821886831796,input_event_rate,5.283127393000541,34527.14074216624,36017.44084109715,0.0
144,temporal_conv1d,temporal_conv1d,35,7340,816,13,0.9325980392156863,0.928921568627451,0.8286219081272085,0.8317137809187279,0.0030918727915194566,133055,0.9956896229168382,1.6890817665801032,1.5801113624876042,relu_activation,4.175727437001115,50550.851331808386,50549.41904575631,0.008392226148409954
144,gru_temporal,gru,58,7340,816,14,0.5625,0.5477941176470589,0.4580388692579505,0.45273851590106007,-0.0053003533568904415,133420,0.9984210250615501,0.6249347468147008,0.6213206754135159,analog_activation,3.409700800999417,56371.46444681503,57547.60768227847,-0.3705830388692579
144,dense_lif_recurrent,dense_lif,128,7340,816,14,0.8786764705882353,0.8700980392156863,0.7685512367491166,0.7561837455830389,-0.012367491166077715,133353,0.9979196443938907,0.20889039664091574,0.2215577788361391,hidden_spike_rate,25.64235309600008,11150.314843246684,12271.674160213875,-0.06713780918727907
