arm,model_kind,runs,mean_final_test_accuracy,std_final_test_accuracy,mean_checkpoint_test_accuracy,std_checkpoint_test_accuracy,mean_checkpoint_gain_vs_raw,positive_seed_count_vs_raw,two_point_seed_count_vs_raw,mean_checkpoint_gain_vs_final,mean_best_epoch,mean_best_validation_accuracy,hidden_units,effective_trainable_parameters,parameter_ratio_vs_target,mean_checkpoint_activity,activity_kind,mean_train_seconds,mean_checkpoint_test_examples_per_second
raw_temporal_pyramid,raw_temporal,3,0.7809187279151942,0.0067566512989303655,0.8037396937573615,0.0183763042418978,0.0,0,0,0.02282096584216727,13.666666666666666,0.9183006535947712,92,132944,0.9948589773331037,0.09931821886831797,input_event_rate,5.600107159666853,37997.405265984446
temporal_conv1d,temporal_conv1d,3,0.8274440518256773,0.009054471060966875,0.8284746760895171,0.009302455240831141,0.024734982332155504,3,1,0.0010306242638398189,14.333333333333334,0.9346405228758169,35,133055,0.9956896229168382,1.623621116678622,relu_activation,4.245399800333568,51371.20714560155
gru_temporal,gru,3,0.4654004711425206,0.006544791157506732,0.4636336866902238,0.008665452867822233,-0.3401060070671378,0,0,-0.001766784452296814,14.666666666666666,0.5804738562091504,58,133420,0.9984210250615501,0.637476058183205,analog_activation,3.3963562453330574,57082.13646143248
dense_lif_recurrent,dense_lif,3,0.7330683156654888,0.028167916918347857,0.7510306242638398,0.02354516038863874,-0.052709069493521755,0,0,0.017962308598351018,12.666666666666666,0.8741830065359477,128,133353,0.9979196443938907,0.21661405732199215,hidden_spike_rate,25.64001587266648,11747.577562309392
