seed,arm,hidden_neurons,readout_mode,temporal_order,feature_dim,readout_bottleneck_units,train_accuracy,test_accuracy,active_edges,readout_trainable_parameters,effective_trainable_parameters,allocated_trainable_parameters,initial_hidden_event_rate,final_hidden_event_rate,event_rate_ratio,mean_absolute_ltw_change,lower_ltw_saturation_rate,upper_ltw_saturation_rate,train_seconds,inference_seconds,test_examples_per_second,gain_vs_same_width_global,event_rate_vs_same_width_global,parameter_ratio_vs_same_width_global,gain_vs_same_arch_shuffled
42,sparse256_global,256,global,ordered,512,128,0.5784698381559588,0.5313604240282686,1724,68244,69968,72340,0.24086292461877157,0.24392643618288815,1.012718900465754,0.024210656061768532,0.0,0.002320185536518693,35.791927946000214,0.29445098399992276,7688.885835071938,0.0,1.0,1.0,0.0
42,sparse256_pyramid1248_ordered,256,pyramid,ordered,736,79,0.8433055419323198,0.7363074204946997,1724,68047,69771,72143,0.24086292461877157,0.2366013813882329,0.9823071847305529,0.011843696236610413,0.0,0.0,37.81309317199975,0.30403079700045055,7446.614034948061,0.2049469964664311,0.9699702299214376,0.9971844271667047,0.0
42,sparse512_global,512,global,ordered,1024,128,0.6897989210397254,0.6135159010600707,2748,133780,136528,137876,0.13302019238471985,0.14076313771333795,1.0582087966481362,0.020942356437444687,0.0,0.0014556040987372398,34.970982752000054,0.3505312719998983,6458.767536154825,0.0,1.0,1.0,0.0
42,sparse512_pyramid1248_ordered,512,pyramid,ordered,992,115,0.9211623344776851,0.8012367491166078,2748,132931,135679,137027,0.13302019238471985,0.13238940622275794,0.9952579668495926,0.009348535910248756,0.0,0.0,36.81814898900029,0.38805745499939803,5834.187620499423,0.1877208480565371,0.9405119008668804,0.993781495370913,0.0507950530035336
42,sparse512_pyramid1248_shuffled,512,pyramid,fixed_shuffle,992,115,0.9037518391368318,0.7504416961130742,2748,132931,135679,137027,0.12156802613301328,0.12053224841929155,0.9914798508566025,0.006942568812519312,0.0,0.0,36.59939130299972,0.37367261399958807,6058.779571152881,0.1369257950530035,0.8562770791935151,0.993781495370913,0.0
43,sparse256_global,256,global,ordered,512,128,0.5226826875919568,0.4708480565371025,1724,68244,69968,72340,0.2304411446774385,0.23268890454575367,1.0097541603148235,0.025331947952508926,0.0005800463841296732,0.0029002318624407053,34.66516904399941,0.27598647400009213,8203.30057189413,0.0,1.0,1.0,0.0
43,sparse256_pyramid1248_ordered,256,pyramid,ordered,736,79,0.8542177538008828,0.7826855123674912,1724,68047,69771,72143,0.2304411446774385,0.2269003501313314,0.984634712038671,0.012507346458733082,0.0,0.0011600927682593465,37.51502253000035,0.2978722590005418,7600.573506228661,0.3118374558303887,0.9751232039803425,0.9971844271667047,0.0
43,sparse512_global,512,global,ordered,1024,128,0.6786414909269249,0.6219081272084805,2748,133780,136528,137876,0.130065985892771,0.1390905751988239,1.0693846991902476,0.0244080051779747,0.0,0.0014556040987372398,35.2422322149996,0.2697893579997981,8391.73204156442,0.0,1.0,1.0,0.0
43,sparse512_pyramid1248_ordered,512,pyramid,ordered,992,115,0.9153997057381069,0.7946113074204947,2748,132931,135679,137027,0.130065985892771,0.13043301902685064,1.0028218994501932,0.009270226582884789,0.0,0.0,37.40793535500052,0.2878887409997333,7864.149157545892,0.17270318021201414,0.9377559826782106,0.993781495370913,0.05256183745583032
43,sparse512_pyramid1248_shuffled,512,pyramid,fixed_shuffle,992,115,0.9042422756253066,0.7420494699646644,2748,132931,135679,137027,0.11726545202858457,0.11671323721484667,0.9952908993724486,0.00704583153128624,0.0,0.0,37.55155775399999,0.28549584100073844,7930.062981177173,0.12014134275618382,0.8391167916877919,0.993781495370913,0.0
44,sparse256_global,256,global,ordered,512,128,0.6424717999019127,0.5662544169611308,1724,68244,69968,72340,0.22512049088419114,0.2270453361656135,1.0085502891090112,0.021524764597415924,0.0,0.002320185536518693,35.91582554600063,0.28103798200027086,8055.85061451878,0.0,1.0,1.0,0.0
44,sparse256_pyramid1248_ordered,256,pyramid,ordered,736,79,0.8447768513977439,0.7667844522968198,1724,68047,69771,72143,0.22512049088419114,0.22184316640186647,0.9854419094883253,0.013190612196922302,0.0,0.0005800463841296732,37.557639075000225,0.28369141399980435,7980.50236374641,0.20053003533568903,0.977087528633698,0.9971844271667047,0.0
44,sparse512_global,512,global,ordered,1024,128,0.6812162824914174,0.5878975265017667,2748,133780,136528,137876,0.1314435489607363,0.14015607493715657,1.066283404893631,0.022883236408233643,0.00036390102468430996,0.0021834061481058598,34.45445434899921,0.36390841899992665,6221.345486377594,0.0,1.0,1.0,0.0
44,sparse512_pyramid1248_ordered,512,pyramid,ordered,992,115,0.9236145169200588,0.806095406360424,2748,132931,135679,137027,0.1314435489607363,0.13205886208337103,1.0046811968141438,0.009830508381128311,0.0,0.0007278020493686199,36.68955726199965,0.41674902200065844,5432.526245967826,0.21819787985865724,0.942227171691158,0.993781495370913,0.08436395759717308
44,sparse512_pyramid1248_shuffled,512,pyramid,fixed_shuffle,992,115,0.8912457086807258,0.7217314487632509,2748,132931,135679,137027,0.11987141577704635,0.11886770541486807,0.9916267747763561,0.006885116919875145,0.0,0.0,36.968464454999776,0.39042983099989215,5798.737238396688,0.13383392226148416,0.8481095483600422,0.993781495370913,0.0
