arm,hidden_neurons,readout_mode,temporal_order,seeds,mean_test_accuracy,std_test_accuracy,mean_gain_vs_same_width_global,improved_seed_count_vs_global,two_point_seed_count_vs_global,three_point_seed_count_vs_global,mean_gain_vs_same_arch_shuffled,improved_seed_count_vs_shuffled,two_point_seed_count_vs_shuffled,mean_final_hidden_event_rate,mean_event_rate_vs_same_width_global,active_edges,feature_dim,readout_bottleneck_units,effective_trainable_parameters,parameter_ratio_vs_same_width_global,mean_absolute_ltw_change,mean_upper_ltw_saturation_rate,mean_train_seconds,mean_test_examples_per_second
sparse256_global,256,global,ordered,3,0.5228209658421673,0.039414761717948825,0.0,0,0,0,0.0,0,0,0.23455355896475175,1.0,1724,512,128,69968,1.0,0.02368912287056446,0.0025135343118260303,35.45764084533342,7982.679007161616
sparse256_pyramid1248_ordered,256,pyramid,ordered,3,0.7619257950530036,0.019242951334621877,0.23910482921083628,3,3,3,0.0,0,0,0.22844829930714358,0.9740603208451594,1724,736,79,69771,0.9971844271667049,0.012513884964088598,0.0005800463841296732,37.62858492566678,7675.896634974378
sparse512_global,512,global,ordered,3,0.607773851590106,0.014466250129053757,0.0,0,0,0,0.0,0,0,0.14000326261643947,1.0,2748,1024,128,136528,1.0,0.02274453267455101,0.0016982047818601131,34.88922310533295,7023.948354698947
sparse512_pyramid1248_ordered,512,pyramid,ordered,3,0.8006478209658422,0.004706821956167771,0.19287396937573617,3,3,3,0.06257361601884566,3,3,0.13162709577765988,0.940165018412083,2748,992,115,135679,0.993781495370913,0.009483090291420618,0.0002426006831228733,36.97188053533349,6376.954341337714
sparse512_pyramid1248_shuffled,512,pyramid,fixed_shuffle,3,0.7380742049469965,0.01205326026966783,0.1303003533568905,3,3,3,0.0,0,0,0.11870439701633544,0.8478344730804497,2748,992,115,135679,0.993781495370913,0.006957839087893565,0.0,37.039804503999825,6595.859930242247
