seed,arm,classifier,model_kind,gate_mode,delay_initialization,train_delays,train_accuracy,test_accuracy,active_edges,recurrent_edges,delayed_edges,changed_delay_assignments,mean_recurrent_delay,final_delay_entropy,readout_parameters,effective_trainable_parameters,initial_hidden_event_rate,final_hidden_event_rate,event_rate_ratio,mean_absolute_ltw_change,lower_ltw_saturation_rate,upper_ltw_saturation_rate,train_seconds,inference_seconds,paired_fixed_distance_test_accuracy,accuracy_gain_vs_fixed_distance
42,raw,linear,raw,fixed,none,False,0.83975,0.8598,0,0,0,0,0.0,0.0,650,650,0.0,0.0,0.0,0.0,0.0,0.0,0.9364320349995978,0.002271488001497346,0.538,0.3218
42,lif_no_delay_warm_all,linear,fixed,fixed,none,False,0.4674,0.4764,272,256,0,0,0.0,0.0,1290,1562,0.01671992195546627,0.022525000095367433,1.3471952892700734,0.021228663623332977,0.0,0.011029412038624287,5.8915052479987935,0.04422134999913396,0.538,-0.061600000000000044
42,fixed_distance012_warm_all,linear,fixed,fixed,distance,False,0.52485,0.538,272,256,171,0,1.0078125,0.0,1290,1562,0.01629843739569187,0.021990625029802324,1.34924744599228,0.02293848991394043,0.0,0.011029412038624287,9.625425706000897,0.06288452099943243,0.538,0.0
42,learned_soft_distance_init,linear,learned,soft,distance,True,0.52315,0.5298,272,256,176,8,1.04296875,0.2350446730852127,1290,2330,0.01613320300877094,0.02181953144967556,1.352461221606968,0.024203525856137276,0.0,0.011029412038624287,11.236587759000031,0.0676536600003601,0.538,-0.008199999999999985
42,learned_st_distance_init,linear,learned,straight_through,distance,True,0.52975,0.5422,272,256,175,7,1.03515625,0.22998617589473724,1290,2330,0.01629843739569187,0.02185000008046627,1.3406193213492867,0.022704660892486572,0.0,0.011029412038624287,11.280626951000158,0.08806516399999964,0.538,0.0041999999999999815
42,learned_soft_flat_init,linear,learned,soft,flat,True,0.4983,0.4942,272,256,53,53,0.3046875,1.039898157119751,1290,2330,0.015945312556624413,0.02145781251192093,1.3457128818090411,0.02180429734289646,0.0,0.011029412038624287,10.451355776000128,0.059022993000326096,0.538,-0.04380000000000006
42,raw,mlp,raw,fixed,none,False,0.94245,0.9424,0,0,0,0,0.0,0.0,17785,17785,0.0,0.0,0.0,0.0,0.0,0.0,0.9369536840004002,0.0035539140008040704,0.6398,0.3026
42,lif_no_delay_warm_all,mlp,fixed,fixed,none,False,0.56895,0.575,272,256,0,0,0.0,0.0,17802,18074,0.01671992195546627,0.018648828193545342,1.1153657441234917,0.006916143465787172,0.0,0.0036764706019312143,6.623549384999933,0.04244860699873243,0.6398,-0.06480000000000008
42,fixed_distance012_warm_all,mlp,fixed,fixed,distance,False,0.6324,0.6398,272,256,171,0,1.0078125,0.0,17802,18074,0.01629843739569187,0.018832421839237213,1.1554740728835236,0.008457527495920658,0.0,0.0036764706019312143,9.649796883000818,0.06088374899991322,0.6398,0.0
42,learned_soft_distance_init,mlp,learned,soft,distance,True,0.6306,0.6414,272,256,171,0,1.0078125,0.24450689554214478,17802,18842,0.01613320300877094,0.018757421997189522,1.1626595157199662,0.007986156269907951,0.0,0.0036764706019312143,10.318947041001593,0.07670456000050763,0.6398,0.0015999999999999348
42,learned_st_distance_init,mlp,learned,straight_through,distance,True,0.63115,0.6376,272,256,171,2,1.015625,0.24825364351272583,17802,18842,0.01629843739569187,0.01881484378874302,1.1543955614859316,0.008429252542555332,0.0,0.0036764706019312143,11.322231628999361,0.06998441799987631,0.6398,-0.0022000000000000908
42,learned_soft_flat_init,mlp,learned,soft,flat,True,0.56715,0.569,272,256,33,33,0.21875,1.0706770420074463,17802,18842,0.015945312556624413,0.018818359327316285,1.1801812765029982,0.007831508293747902,0.0,0.0036764706019312143,11.080634691999876,0.059648522999850684,0.6398,-0.07080000000000009
43,raw,linear,raw,fixed,none,False,0.8411,0.8578,0,0,0,0,0.0,0.0,650,650,0.0,0.0,0.0,0.0,0.0,0.0,0.6758667939993757,0.0021592590001091594,0.5566,0.3012
43,lif_no_delay_warm_all,linear,fixed,fixed,none,False,0.4383,0.459,272,256,0,0,0.0,0.0,1290,1562,0.016587109199166297,0.021082031241059302,1.2709888738249175,0.018292024731636047,0.0,0.0036764706019312143,6.661020150000695,0.04060556599870324,0.5566,-0.09759999999999996
43,fixed_distance012_warm_all,linear,fixed,fixed,distance,False,0.5387,0.5566,272,256,181,0,1.02734375,0.0,1290,1562,0.01607148433923721,0.02046718750298023,1.273509470000308,0.019404850900173187,0.0036764706019312143,0.0036764706019312143,8.490587022999534,0.06309187299848418,0.5566,0.0
43,learned_soft_distance_init,linear,learned,soft,distance,True,0.52895,0.5514,272,256,182,5,1.03515625,0.21852625906467438,1290,2330,0.01605585944056511,0.020376953187584878,1.269128772770801,0.01966932788491249,0.0,0.0036764706019312143,11.113786874999278,0.0601626320003561,0.5566,-0.005199999999999982
43,learned_st_distance_init,linear,learned,straight_through,distance,True,0.54245,0.5628,272,256,182,5,1.04296875,0.21394222974777222,1290,2330,0.01607148433923721,0.020507421785593033,1.2760129277870025,0.019310498610138893,0.0036764706019312143,0.0036764706019312143,11.616983272000653,0.07667152700014412,0.5566,0.006199999999999983
43,learned_soft_flat_init,linear,learned,soft,flat,True,0.49245,0.5146,272,256,34,34,0.2109375,1.0581318140029907,1290,2330,0.016123046937584876,0.020310546904802322,1.2597213779397893,0.01913975365459919,0.0,0.0036764706019312143,11.422558700000081,0.060274158999163774,0.5566,-0.04200000000000004
43,raw,mlp,raw,fixed,none,False,0.93825,0.9412,0,0,0,0,0.0,0.0,17785,17785,0.0,0.0,0.0,0.0,0.0,0.0,0.8453438350006763,0.002872688999559614,0.6452,0.29600000000000004
