arm,model_kind,topology,seeds,mean_test_accuracy,std_test_accuracy,mean_gain_vs_event_count,mean_gain_vs_raw_temporal,improved_seed_count_vs_raw,one_point_seed_count_vs_raw,mean_gain_vs_sparse_global,mean_recurrence_gain_vs_feedforward,improved_seed_count_recurrence,two_point_seed_count_recurrence,active_edges,active_recurrent_edges,feature_dim,effective_trainable_parameters,parameter_ratio_vs_recurrent_pyramid,mean_final_event_rate,event_rate_kind,mean_absolute_ltw_change,mean_upper_ltw_saturation_rate,mean_train_seconds,mean_test_examples_per_second
event_count_mlp,event_count,raw_count,3,0.5191401648998822,0.013379496245979195,0.0,-0.2604534746760895,0,0,-0.0908421672555948,0.0,0,0,0,0,700,92308,0.680341099212111,0.09931821886831797,input,0.0,0.0,2.7252691666665974,63969.63859892613
raw_temporal_pyramid,raw_temporal,raw_temporal,3,0.7795936395759716,0.012806648544159385,0.2604534746760895,0.0,0,0,0.16961130742049468,0.0,0,0,0,0,1180,132944,0.9798421273741699,0.09931821886831797,input,0.0,0.0,5.393154838666305,39241.55708295013
sparse512_global,sparse_global,recurrent_global,3,0.609982332155477,0.013888281911983906,0.0908421672555948,-0.16961130742049468,0,0,0.0,0.0,0,0,2748,2048,1024,136528,1.0062574164019487,0.1400044712252274,hidden,0.022736193612217903,0.0015769044402986765,34.77743871333314,7210.072124256944
sparse512_feedforward_pyramid,sparse_feedforward_pyramid,feedforward_pyramid,3,0.7962308598351001,0.007498722955386835,0.27709069493521793,0.01663722025912843,2,2,0.1862485276796231,0.0,0,0,700,0,992,133631,0.9849055491269837,0.08336966955163312,hidden,0.015185974227885405,0.0014285714132711291,37.2121574206667,7139.7907988770685
sparse512_recurrent_pyramid,sparse_recurrent_pyramid,recurrent_pyramid,3,0.8027090694935218,0.004566567261269366,0.28356890459363954,0.023115429917550074,3,2,0.19272673733804477,0.006478209658421645,2,0,2748,2048,992,135679,1.0,0.1315753298457295,hidden,0.009457288309931755,0.0002426006831228733,37.02770058266682,6860.082963890173
