group,neuron_count,hidden_neurons,max_edges,seed,generation,epoch_best_fitness,all_time_best_fitness,selection_best_fitness,mean_population_fitness,selection_mean_fitness,mean_active_synapses,active_edge_utilization,fitness_per_active_synapse,mean_hidden_edges,mean_hidden_edge_fraction,mean_direct_sensor_motor_fraction,sprout_count,prune_count,low_ltw_prune_count,ltw_mutation_count
low_ltw_pruning,32,20,256,43,123,18.0,24.0,18.0,-1.1747000217437744,-1.1747000217437744,90.18709564208984,0.35229334235191345,0.19958509442895836,73.52489471435547,0.8150272965431213,0.08095411956310272,16917,15398,10982,450176
low_ltw_pruning,32,20,256,43,124,15.0,24.0,15.0,-0.3596999943256378,-0.3596999943256378,90.39889526367188,0.35312068462371826,0.16593123130817694,73.6989974975586,0.8150792717933655,0.08081993460655212,16864,15287,10921,451206
low_ltw_pruning,32,20,256,43,125,16.0,24.0,16.0,-0.19699999690055847,-0.19699999690055847,90.57260131835938,0.3537992238998413,0.17665386405057074,73.84359741210938,0.8151345252990723,0.08076691627502441,16880,15328,10908,452087
low_ltw_pruning,32,20,256,43,126,15.0,24.0,15.0,-0.055399999022483826,-0.055399999022483826,90.70989990234375,0.3543355464935303,0.16536232556918995,73.92369842529297,0.8147919774055481,0.08094918727874756,16765,15384,10954,452859
low_ltw_pruning,32,20,256,43,127,16.0,24.0,16.0,0.044199999421834946,0.044199999421834946,90.96009826660156,0.35531288385391235,0.17590130513166816,74.12760162353516,0.8148333430290222,0.08059912919998169,16797,15290,10921,454047
low_ltw_pruning,32,20,256,43,128,17.0,24.0,17.0,0.21130000054836273,0.21130000054836273,91.0938949584961,0.35583552718162537,0.18662062927208772,74.28250122070312,0.815339207649231,0.08015250414609909,16719,15468,11050,454844
low_ltw_pruning,32,20,256,43,129,18.0,24.0,18.0,-0.14739999175071716,-0.14739999175071716,91.20569610595703,0.35627225041389465,0.19735609472339025,74.37020111083984,0.8152341842651367,0.08005356788635254,16915,15398,10963,455270
low_ltw_pruning,32,20,256,43,130,16.0,24.0,16.0,-0.4185999929904938,-0.4185999929904938,91.227294921875,0.3563566207885742,0.17538610581078876,74.43409729003906,0.8157793283462524,0.07957795262336731,16706,15519,11038,455543
low_ltw_pruning,32,20,256,43,131,15.0,24.0,15.0,-0.5153999924659729,-0.5153999924659729,91.41709899902344,0.3570980429649353,0.16408308909649647,74.64299774169922,0.8163979053497314,0.07929595559835434,16531,15356,10877,456498
low_ltw_pruning,32,20,256,43,132,17.0,24.0,17.0,-0.19039998948574066,-0.19039998948574066,91.46129608154297,0.3572706878185272,0.18587097196658495,74.67679595947266,0.8163805603981018,0.07935744524002075,16683,15432,11041,456681
low_ltw_pruning,32,20,256,43,133,18.0,24.0,18.0,0.2110999971628189,0.2110999971628189,91.56119537353516,0.3576609194278717,0.19658983182304235,74.6990966796875,0.8157439231872559,0.07902199774980545,16901,15477,10984,457094
low_ltw_pruning,32,20,256,43,134,15.0,24.0,15.0,-0.5475999712944031,-0.5475999712944031,91.67469787597656,0.35810428857803345,0.1636220281881154,74.7947006225586,0.8158207535743713,0.07892781496047974,16743,15326,10862,457665
low_ltw_pruning,32,20,256,43,135,18.0,24.0,18.0,-0.4869000017642975,-0.4869000017642975,91.814697265625,0.35865116119384766,0.19604704405793555,74.90950012207031,0.8158512711524963,0.07851149886846542,16649,15126,10737,458312
low_ltw_pruning,32,20,256,43,136,19.0,24.0,19.0,0.0714000016450882,0.0714000016450882,92.04999542236328,0.35957029461860657,0.20640957028645332,75.11309814453125,0.815955638885498,0.07838939875364304,16581,15603,11121,459761
low_ltw_pruning,32,20,256,43,137,17.0,24.0,17.0,0.04829999804496765,0.04829999804496765,92.19200134277344,0.36012500524520874,0.18439777586336736,75.3241958618164,0.8170210719108582,0.07813280820846558,16852,15202,10731,460135
low_ltw_pruning,32,20,256,43,138,15.0,24.0,15.0,-0.17219999432563782,-0.17219999432563782,92.31109619140625,0.36059021949768066,0.16249400796733723,75.43299865722656,0.8171330094337463,0.07800500094890594,16503,15466,10922,461037
low_ltw_pruning,32,20,256,43,139,18.0,24.0,18.0,-0.1964000016450882,-0.1964000016450882,92.5282974243164,0.36143866181373596,0.194535082791544,75.66120147705078,0.8177181482315063,0.07798239588737488,16653,15378,10911,462004
low_ltw_pruning,32,20,256,43,140,25.0,25.0,25.0,-0.7350999712944031,-0.7350999712944031,92.83399963378906,0.3626328110694885,0.26929788761251083,75.91719818115234,0.8177945613861084,0.07776713371276855,16601,15225,10705,463482
low_ltw_pruning,32,20,256,43,141,18.0,25.0,18.0,-0.45909997820854187,-0.45909997820854187,93.03409576416016,0.3634144365787506,0.19347745417582918,76.13399505615234,0.818389356136322,0.07732133567333221,16452,15291,10682,464590
low_ltw_pruning,32,20,256,43,142,17.0,25.0,17.0,-0.04820000007748604,-0.04820000007748604,93.15059661865234,0.3638695180416107,0.18250017302192936,76.23989868164062,0.8185122609138489,0.07707887887954712,16645,15593,10948,465227
low_ltw_pruning,32,20,256,43,143,17.0,25.0,17.0,-0.3676999807357788,-0.3676999807357788,93.28089904785156,0.36437851190567017,0.1822452417753744,76.41349792480469,0.8192185163497925,0.07663873583078384,16759,15318,10826,465684
low_ltw_pruning,32,20,256,43,144,17.0,25.0,17.0,-0.05079999938607216,-0.05079999938607216,93.27619934082031,0.36436015367507935,0.18225442417399523,76.40149688720703,0.8190906047821045,0.0764012560248375,16532,15592,11067,465911
low_ltw_pruning,32,20,256,43,145,21.0,25.0,21.0,-0.21079999208450317,-0.21079999208450317,93.42340087890625,0.36493515968322754,0.2247830822089192,76.55659484863281,0.8194633722305298,0.07622180134057999,16726,15436,10974,466472
low_ltw_pruning,32,20,256,43,146,18.0,25.0,18.0,0.10989999771118164,0.10989999771118164,93.67430114746094,0.3659152388572693,0.19215515653182852,76.76179504394531,0.8194729089736938,0.07575768977403641,16689,15618,10939,467836
low_ltw_pruning,32,20,256,43,147,17.0,25.0,17.0,0.09699999541044235,0.09699999541044235,93.90179443359375,0.3668038845062256,0.18104020378462737,76.95759582519531,0.8195714354515076,0.07549823820590973,16638,15508,10942,468944
low_ltw_pruning,32,20,256,43,148,16.0,25.0,16.0,-0.10279999673366547,-0.10279999673366547,93.96759796142578,0.36706092953681946,0.1702714589615038,77.02729797363281,0.8197125792503357,0.07503272593021393,16573,15479,10837,469291
low_ltw_pruning,32,20,256,43,149,14.0,25.0,14.0,-0.27300000190734863,-0.27300000190734863,94.27679443359375,0.3682687282562256,0.14849889714760353,77.3207015991211,0.8201615810394287,0.07501030713319778,16349,15763,11113,471091
low_ltw_pruning,32,20,256,43,150,16.0,25.0,16.0,-0.2703000009059906,-0.2703000009059906,94.24259948730469,0.36813515424728394,0.1697746039163037,77.30829620361328,0.8202596306800842,0.0748470351099968,16781,15581,10987,470613
low_ltw_pruning,32,20,256,43,151,16.0,25.0,16.0,-0.3155999779701233,-0.3155999779701233,94.08819580078125,0.36753201484680176,0.1700532129862261,77.18439483642578,0.8202990293502808,0.07490868121385574,16470,15766,11156,470089
low_ltw_pruning,32,20,256,43,152,15.0,25.0,15.0,-0.08060000091791153,-0.08060000091791153,94.13969421386719,0.3677331805229187,0.15933767498673726,77.19439697265625,0.8199169635772705,0.07505803555250168,16513,15514,10864,470199
