steps,mean_net_fitness_per_1000_steps,mean_shaped_reward_per_1000_steps,mean_policy_entropy,mean_training_loss,mean_training_reward_per_1000_steps,training_updates,seed,strategy,phase
300,-0.2566666901111603,-0.251996312996295,1.3819360733032227,,,0,166,static_random,baseline
300,-0.2566666901111603,-0.251996312996295,1.3819360733032227,0.0,0.0,0,166,static_random,evaluation
300,11.253333886464437,11.253619446804127,0.0,,,0,166,oracle_food_reflex,baseline
300,11.253333886464437,11.253619446804127,0.0,0.0,0.0,0,166,oracle_food_reflex,evaluation
300,-0.2566666901111603,-0.251996312996295,1.3819360733032227,,,0,166,reinforce_shared_policy,baseline
300,-0.3433333585659663,-0.35240984980453505,1.3404704332351685,-0.013730494724586605,-0.033716011115931095,60,166,reinforce_shared_policy,evaluation
300,-0.2566666901111603,-0.251996312996295,1.3819360733032227,,,0,166,reinforce_shuffled_reward,baseline
300,-1.6466667254765828,-1.6583334081515204,1.3814047574996948,-0.013728568128620585,-0.18932640038604506,60,166,reinforce_shuffled_reward,evaluation
300,-0.31666668752829236,-0.31129163468334203,1.3760377168655396,,,0,167,static_random,baseline
300,-0.31666668752829236,-0.31129163468334203,1.3760377168655396,0.0,0.0,0,167,static_random,evaluation
300,11.373333930969238,11.375377598597357,0.0,,,0,167,oracle_food_reflex,baseline
300,11.373333930969238,11.375377598597357,0.0,0.0,0.0,0,167,oracle_food_reflex,evaluation
300,-0.31666668752829236,-0.31129163468334203,1.3760377168655396,,,0,167,reinforce_shared_policy,baseline
300,-0.3100000073512395,-0.3202334106900768,1.383140206336975,-0.013726381957530976,-0.12264886602573824,60,167,reinforce_shared_policy,evaluation
300,-0.31666668752829236,-0.31129163468334203,1.3760377168655396,,,0,167,reinforce_shuffled_reward,baseline
300,-2.0133334398269653,-2.013092143480705,1.3800691366195679,-0.013814763476451239,0.30138043852736396,60,167,reinforce_shuffled_reward,evaluation
300,-3.2166667779286704,-3.2168698029681884,1.381424069404602,,,0,168,static_random,baseline
300,-3.2166667779286704,-3.2168698029681884,1.381424069404602,0.0,0.0,0,168,static_random,evaluation
300,9.356667200724283,9.361396246316533,0.0,,,0,168,oracle_food_reflex,baseline
300,9.356667200724283,9.361396246316533,0.0,0.0,0.0,0,168,oracle_food_reflex,evaluation
300,-3.2166667779286704,-3.2168698029681884,1.381424069404602,,,0,168,reinforce_shared_policy,baseline
300,-0.16000000139077505,-0.17463665124140484,1.3774908781051636,-0.01390481765071551,-0.16435507110054864,60,168,reinforce_shared_policy,evaluation
300,-3.2166667779286704,-3.2168698029681884,1.381424069404602,,,0,168,reinforce_shuffled_reward,baseline
300,-0.9533333778381348,-0.9508904173566649,1.3801008462905884,-0.01387594542466104,-0.23250602757548525,60,168,reinforce_shuffled_reward,evaluation
