group,neuron_count,hidden_neurons,max_edges,seeds,final_mean_best_fitness,final_std_best_fitness,final_mean_selection_best_fitness,final_mean_active_synapses,final_active_edge_utilization,final_fitness_per_active_synapse,final_mean_hidden_edge_fraction,final_mean_direct_sensor_motor_fraction,threshold_success_rate,mean_generation_to_threshold
gentle_ltw_scheduled,32,20,256,10,20.8,1.6865480854231356,11.8,81.89040832519531,0.3198844075202942,0.14415298574570795,0.8343595743179322,0.05446363277733326,0.1,70.0
low_ltw_pruning,32,20,256,10,21.4,1.3498971154211057,13.8,105.29691696166992,0.41131608188152313,0.13106587246174195,0.8476379632949829,0.04569617174565792,0.0,
