seed,arm,model_kind,channels,best_epoch,best_validation_accuracy,test_accuracy,activity,activity_kind,effective_trainable_parameters,parameter_ratio_vs_target,dense_macs_per_sample,state_updates_per_sample,estimated_spike_events_per_sample,test_examples_per_second,train_seconds,train_samples,validation_samples,test_samples,accuracy_gain_vs_residual_lif
142,temporal_conv1d,conv1d,33,4,0.4979460975854123,0.48066921793739575,0.2756779964509907,relu_activation,132893,0.9944773293621989,7409325,0,0.0,47062.04591604299,44.495064305999904,75466,9981,20382,-0.07904032970267877
142,dilated_tcn,tcn,32,5,0.6095581605049594,0.5860072613089982,0.4248329647599674,relu_activation,131971,0.9875777327117211,7381408,0,0.0,54788.49394099163,37.75597712400008,75466,9981,20382,0.02629771366892364
142,residual_lif,residual_lif,29,9,0.5802023845306081,0.5597095476400745,0.04600648583845949,spike_rate,133087,0.9959290883103471,6527465,1856,85.38803771618082,18116.19758462411,212.00406990500005,75466,9981,20382,0.0
143,temporal_conv1d,conv1d,33,5,0.525097685602645,0.5131979197330978,0.30366079865593565,relu_activation,132893,0.9944773293621989,7409325,0,0.0,49039.510940528104,45.075384959000075,75466,9981,20382,-0.04675694240015704
143,dilated_tcn,tcn,32,5,0.6116621581003907,0.5915513688548719,0.38099227824467063,relu_activation,131971,0.9875777327117211,7381408,0,0.0,54045.18204266664,40.45887187800008,75466,9981,20382,0.03159650672161707
143,residual_lif,residual_lif,29,4,0.5882176134655847,0.5599548621332548,0.0601852412686774,spike_rate,133087,0.9959290883103471,6527465,1856,111.70380779466525,14434.06047017351,208.49783196299995,75466,9981,20382,0.0
144,temporal_conv1d,conv1d,33,8,0.48351868550245464,0.47458541850652536,0.2828398376320169,relu_activation,132893,0.9944773293621989,7409325,0,0.0,48851.69280870323,43.88252034999982,75466,9981,20382,-0.08492787753900499
144,dilated_tcn,tcn,32,5,0.6219817653541729,0.599205181042096,0.38580307420611837,relu_activation,131971,0.9875777327117211,7381408,0,0.0,50405.04953244732,38.413438195000026,75466,9981,20382,0.03969188499656562
144,residual_lif,residual_lif,29,8,0.5765955315098688,0.5595132960455304,0.048207389800342795,spike_rate,133087,0.9959290883103471,6527465,1856,89.47291546943623,17497.140560580225,210.5079367389999,75466,9981,20382,0.0
