world,policy,sensor_noise_std,seeds,mean_fitness,std_mean_fitness,mean_food_hits,mean_toxin_hits,mean_survival_rate,mean_cue_action_coverage,mean_oracle_action_agreement,mean_action_magnitude
gauntlet,augmented_adapter,0.0,5,1.391379952430725,0.10748746915005822,11.74673957824707,9.922799491882325,0.6661799788475037,1.0,0.6785054794108449,1.0
gauntlet,augmented_adapter,0.05,5,1.3116999864578247,0.1848467895543564,12.6056396484375,10.862859725952148,0.6552599787712097,1.0,0.6496860245474084,1.0
gauntlet,augmented_adapter,0.15,5,1.3582599639892579,0.18239868690514416,15.347979545593262,13.47861976623535,0.6418599843978882,1.0,0.6241437564499249,1.0
gauntlet,base_adapter,0.0,5,1.1661199808120728,0.2613556057259341,12.495779609680175,10.881339645385742,0.6411399722099305,1.0,0.6667192038148948,1.0
gauntlet,base_adapter,0.05,5,1.1474799513816833,0.13680802672585982,13.666919708251953,12.041119575500488,0.6350199818611145,1.0,0.6409451465272229,1.0
gauntlet,base_adapter,0.15,5,1.0396199703216553,0.07974838435458986,15.684479522705079,14.097299766540527,0.6190999865531921,1.0,0.6143211810656015,1.0
gauntlet,fixed_motor_argmax,0.0,5,-0.7436999678611755,0.3014931647047135,0.6876399695873261,1.390619957447052,0.4688399791717529,0.03430750292714465,0.5958354417853249,0.026757987955729166
gauntlet,fixed_motor_argmax,0.05,5,-0.5443199872970581,0.1573296766404101,0.4890599846839905,1.0009999752044678,0.529859972000122,0.018860027965922253,0.5442367928843028,0.0191950458984375
gauntlet,fixed_motor_argmax,0.15,5,-0.3209999963641167,0.14393200032043893,0.36105998754501345,0.6602799832820893,0.6387199759483337,0.01600013358106744,0.40080625204413867,0.016221224283854165
moving_toxins,augmented_adapter,0.0,5,1.7517799615859986,0.2720646527994981,24.35077896118164,22.598999786376954,0.6725599884986877,1.0,0.671957,1.0
moving_toxins,augmented_adapter,0.05,5,2.1069199562072756,0.3573946494246091,29.50037956237793,27.39345932006836,0.6724199652671814,1.0,0.6475682083333334,1.0
moving_toxins,augmented_adapter,0.15,5,2.2770599365234374,0.438330685428447,39.229638671875,36.95257835388183,0.653879988193512,1.0,0.614362125,1.0
moving_toxins,base_adapter,0.0,5,1.5425199508666991,0.436317530560506,24.419099426269533,22.87657928466797,0.650379991531372,1.0,0.6562908333333334,1.0
moving_toxins,base_adapter,0.05,5,1.4581599712371827,0.3041004022856328,28.15887908935547,26.7007194519043,0.6374799847602844,1.0,0.6336846250000001,1.0
moving_toxins,base_adapter,0.15,5,2.5857999324798584,0.3472949480363637,45.19433822631836,42.60853881835938,0.657699978351593,1.0,0.6044770833333333,1.0
moving_toxins,fixed_motor_argmax,0.0,5,-9.750119876861572,2.345611772662293,28.84409942626953,38.59421920776367,0.11731999963521958,0.07404629166666667,0.3260189573905041,0.07513991536458334
moving_toxins,fixed_motor_argmax,0.05,5,-10.808659744262695,2.120348805797564,22.633599472045898,33.44225883483887,0.07311999760568141,0.06801008333333333,0.3163888250315881,0.06889699348958334
moving_toxins,fixed_motor_argmax,0.15,5,-7.289939975738525,1.5041515819149354,27.428119277954103,34.718058013916014,0.17291999459266663,0.06272872122158468,0.29382275469975333,0.06365244270833334
simple,augmented_adapter,0.0,5,2.224799966812134,0.5083754915532527,24.04069938659668,21.815899658203126,0.689359986782074,1.0,0.6762943123451428,1.0
simple,augmented_adapter,0.05,5,2.3133599519729615,0.48263416982250895,25.563880157470702,23.25051918029785,0.6933599829673767,1.0,0.6517322083333333,1.0
simple,augmented_adapter,0.15,5,1.9807599306106567,0.35618599571386256,36.39941940307617,34.41865882873535,0.6420399785041809,1.0,0.61601975,1.0
simple,base_adapter,0.0,5,2.3564799308776854,0.11924921990389735,28.497539520263672,26.141059112548827,0.6830799818038941,1.0,0.656627375,1.0
simple,base_adapter,0.05,5,2.4576199293136596,0.7842670873744241,29.93909912109375,27.48147964477539,0.6737399816513061,1.0,0.6404561666666667,1.0
simple,base_adapter,0.15,5,2.118719959259033,0.32466928712022947,42.73275909423828,40.61403961181641,0.6340799927711487,1.0,0.6063025416666667,1.0
simple,fixed_motor_argmax,0.0,5,1.8582599878311157,0.3402324118450312,8.683199691772462,6.8249396800994875,0.7400399923324585,0.06767280160445273,0.3760227725638658,0.06875745442708334
simple,fixed_motor_argmax,0.05,5,1.5572399854660035,0.4459422672965024,7.51959981918335,5.962359952926636,0.7253399848937988,0.06372626228854851,0.3644205661788815,0.06480901432291666
simple,fixed_motor_argmax,0.15,5,0.7793399691581726,1.094581199481591,9.551319694519043,8.771979808807373,0.6351799964904785,0.06048088718728493,0.31242141730821554,0.061431506510416664
