world,policy,eval_seed,sensor_noise_std,steps,population_size,mean_fitness,best_fitness,mean_food_hits,mean_toxin_hits,survival_rate,cue_action_coverage,oracle_action_agreement,mean_action_magnitude
simple,fixed_motor_argmax,43,0.0,480,10000,1.9354000091552734,14.0,6.593199729919434,4.65779972076416,0.785099983215332,0.06667375,0.3724260547316848,0.0677478125
simple,base_adapter,43,0.0,480,10000,2.3041999340057373,40.0,29.394399642944336,27.090198516845703,0.6733999848365784,1.0,0.6511379166666666,1.0
simple,augmented_adapter,43,0.0,480,10000,3.136199951171875,39.0,22.46099853515625,19.324798583984375,0.7457000017166138,1.0,0.6741629166666666,1.0
simple,fixed_motor_argmax,44,0.0,480,10000,2.395699977874756,18.0,10.978300094604492,8.582599639892578,0.7511000037193298,0.071788125,0.35767289738611596,0.07301203776041666
simple,base_adapter,44,0.0,480,10000,2.4113998413085938,41.0,28.050899505615234,25.63949966430664,0.6970999836921692,1.0,0.66485875,1.0
simple,augmented_adapter,44,0.0,480,10000,1.8518999814987183,39.0,23.99720001220703,22.145299911499023,0.6753999590873718,1.0,0.6735483333333333,1.0
simple,fixed_motor_argmax,45,0.0,480,10000,1.3655999898910522,13.0,5.277499675750732,3.9118998050689697,0.7486000061035156,0.059626716355596965,0.4158863483899821,0.06057982421875
simple,base_adapter,45,0.0,480,10000,2.263000011444092,37.0,27.66510009765625,25.402099609375,0.6739000082015991,1.0,0.6572775,1.0
simple,augmented_adapter,45,0.0,480,10000,2.4326000213623047,36.0,25.368000030517578,22.935400009155273,0.6816999912261963,1.0,0.6830985416666666,1.0
simple,fixed_motor_argmax,46,0.0,480,10000,1.92739999294281,21.0,12.870899200439453,10.943499565124512,0.6926999688148499,0.078023125,0.35335944738605807,0.0792586328125
simple,base_adapter,46,0.0,480,10000,2.5638999938964844,45.0,27.162498474121094,24.59859848022461,0.6969999670982361,1.0,0.6500416666666666,1.0
simple,augmented_adapter,46,0.0,480,10000,1.872399926185608,36.0,20.802398681640625,18.93000030517578,0.6916999816894531,1.0,0.6814803117257143,1.0
simple,fixed_motor_argmax,47,0.0,480,10000,1.667199969291687,18.0,7.696099758148193,6.028899669647217,0.7226999998092651,0.06225229166666667,0.38076911492548804,0.06318896484375
simple,base_adapter,47,0.0,480,10000,2.2398998737335205,36.0,30.214799880981445,27.974899291992188,0.6739999651908875,1.0,0.6598210416666667,1.0
simple,augmented_adapter,47,0.0,480,10000,1.830899953842163,38.0,27.574899673461914,25.743999481201172,0.6523000001907349,1.0,0.6691814583333333,1.0
simple,fixed_motor_argmax,43,0.05,480,10000,1.6897000074386597,18.0,5.421599864959717,3.7318999767303467,0.7719999551773071,0.06184541666666667,0.3726798671418658,0.06297960286458333
simple,base_adapter,43,0.05,480,10000,1.1311999559402466,41.0,24.887699127197266,23.756500244140625,0.5932999849319458,1.0,0.6493047916666667,1.0
simple,augmented_adapter,43,0.05,480,10000,1.6646000146865845,34.0,20.98900032043457,19.324399948120117,0.6714000105857849,1.0,0.6515095833333333,1.0
simple,fixed_motor_argmax,44,0.05,480,10000,1.5262999534606934,16.0,7.5100998878479,5.983799934387207,0.7127000093460083,0.06604379127736955,0.3511908141699,0.06718151041666667
simple,base_adapter,44,0.05,480,10000,3.001499891281128,36.0,28.997798919677734,25.996299743652344,0.7163999676704407,1.0,0.6379,1.0
simple,augmented_adapter,44,0.05,480,10000,2.9652998447418213,42.0,25.640600204467773,22.6752986907959,0.733199954032898,1.0,0.6506135416666666,1.0
simple,fixed_motor_argmax,45,0.05,480,10000,0.7182999849319458,12.0,3.293099880218506,2.5748000144958496,0.6990000009536743,0.04839689516537299,0.40925507414821033,0.04913651692708333
simple,base_adapter,45,0.05,480,10000,2.1057000160217285,37.0,32.29399871826172,30.18829917907715,0.6502999663352966,1.0,0.6468964583333333,1.0
simple,augmented_adapter,45,0.05,480,10000,1.944700002670288,42.0,29.31879997253418,27.374099731445312,0.6517999768257141,1.0,0.6543058333333334,1.0
simple,fixed_motor_argmax,46,0.05,480,10000,1.9186999797821045,22.0,12.42490005493164,10.506199836730957,0.7021999955177307,0.072565,0.328688072762351,0.07370774088541666
simple,base_adapter,46,0.05,480,10000,3.3803999423980713,51.0,35.045799255371094,31.6653995513916,0.7245000004768372,1.0,0.63355625,1.0
simple,augmented_adapter,46,0.05,480,10000,2.736999988555908,40.0,30.25,27.512998580932617,0.707099974155426,1.0,0.65002125,1.0
simple,fixed_motor_argmax,47,0.05,480,10000,1.9332000017166138,24.0,8.948299407958984,7.015100002288818,0.7407999634742737,0.06978020833333333,0.36028900267208047,0.07103970052083333
simple,base_adapter,47,0.05,480,10000,2.669299840927124,45.0,28.470199584960938,25.800899505615234,0.6841999888420105,1.0,0.6346233333333333,1.0
simple,augmented_adapter,47,0.05,480,10000,2.255199909210205,40.0,21.621000289916992,19.365798950195312,0.7032999992370605,1.0,0.6522108333333333,1.0
simple,fixed_motor_argmax,43,0.15,480,10000,1.837499976158142,21.0,9.751599311828613,7.91409969329834,0.7232999801635742,0.06119397108207731,0.3224208544552669,0.06213533203125
simple,base_adapter,43,0.15,480,10000,2.4786999225616455,38.0,43.34989929199219,40.87120056152344,0.6577000021934509,1.0,0.6057670833333333,1.0
simple,augmented_adapter,43,0.15,480,10000,1.701799988746643,37.0,33.278099060058594,31.5762996673584,0.636900007724762,1.0,0.6175416666666667,1.0
simple,fixed_motor_argmax,44,0.15,480,10000,-1.2972999811172485,16.0,12.369199752807617,13.666500091552734,0.439300000667572,0.0633760680733617,0.3072105981164018,0.0643827734375
simple,base_adapter,44,0.15,480,10000,1.8980000019073486,46.0,39.887699127197266,37.98970031738281,0.6236000061035156,1.0,0.605233125,1.0
simple,augmented_adapter,44,0.15,480,10000,1.5687999725341797,37.0,35.5098991394043,33.941097259521484,0.6151999831199646,1.0,0.6156641666666667,1.0
simple,fixed_motor_argmax,45,0.15,480,10000,1.0103999376296997,16.0,6.9375996589660645,5.927199840545654,0.676800012588501,0.05789800110125161,0.31955669101507683,0.058796692708333334
simple,base_adapter,45,0.15,480,10000,2.3767998218536377,48.0,44.345497131347656,41.96870040893555,0.6437000036239624,1.0,0.608614375,1.0
simple,augmented_adapter,45,0.15,480,10000,1.9849998950958252,44.0,38.01210021972656,36.027099609375,0.6322999596595764,1.0,0.6172052083333334,1.0
simple,fixed_motor_argmax,46,0.15,480,10000,0.8607999682426453,18.0,11.004300117492676,10.143499374389648,0.6189000010490417,0.062003762917450606,0.3031906672311487,0.06295490234375
simple,base_adapter,46,0.15,480,10000,1.6013000011444092,43.0,43.00790023803711,41.40659713745117,0.604699969291687,1.0,0.60480625,1.0
simple,augmented_adapter,46,0.15,480,10000,2.5988998413085938,39.0,39.102298736572266,36.50339889526367,0.6768999695777893,1.0,0.6139972916666666,1.0
