seed,arm,classifier,schedule,sprout_mode,requested_sprout_edges,sprouted_edges,birth_weight,reservoir_learning_rate,surrogate_slope,warmup_epochs,train_accuracy,test_accuracy,initial_active_edges,final_active_edges,readout_parameters,optimizer_parameters,effective_trainable_parameters,initial_hidden_event_rate,final_hidden_event_rate,event_rate_ratio,mean_core_ltw_change,mean_sprouted_ltw_change_from_birth,lower_ltw_saturation_rate,upper_ltw_saturation_rate,train_seconds,inference_seconds,end_to_end_examples_per_second,paired_frozen_test_accuracy,accuracy_gain_vs_frozen,paired_fixed_warm_all_test_accuracy,accuracy_gain_vs_fixed_warm_all
42,raw,linear,raw,none,0,0,0.1,0.0,10.0,0,0.83975,0.8598,0,0,650,650,650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8991370040002948,0.0033643060005488223,1486190.6138099048,0.4486,0.4112,0.4764,0.3834
42,frozen_recurrent,linear,frozen,none,0,0,0.1,0.0,10.0,0,0.43865,0.4486,272,272,1290,1290,1290,0.01671992195546627,0.01671992195546627,1.0,0.0,0.0,0.0,0.0,2.8611298260002513,0.03371550700012449,148299.7126509632,0.4486,0.0,0.4764,-0.02779999999999999
42,fixed_warm_all,linear,warmup,none,0,0,0.1,0.0003,10.0,10,0.4674,0.4764,272,272,1290,1802,1562,0.01671992195546627,0.022525000095367433,1.3471952892700734,0.021228663623332977,0.0,0.0,0.011029412038624287,5.315296900999783,0.03554964100021607,140648.39642036357,0.4486,0.02779999999999999,0.4764,0.0
42,sensor_sprout_16,linear,warmup,sensor,16,16,0.1,0.0003,10.0,10,0.46725,0.4766,272,288,1290,1802,1578,0.01671992195546627,0.023053906327486037,1.378828584779906,0.021267909556627274,0.06149188056588173,0.0034722222480922937,0.010416666977107525,6.2327500129995315,0.03486424099992291,143413.4189243086,0.4486,0.028000000000000025,0.4764,0.00020000000000003348
42,sensor_sprout_48,linear,warmup,sensor,48,48,0.1,0.0003,10.0,10,0.46185,0.4668,272,320,1290,1802,1610,0.01671992195546627,0.022983203050494193,1.374599900149669,0.021955443546175957,0.05194370076060295,0.0062500000931322575,0.00937500037252903,5.4642602670001,0.03660273399964353,136601.81777811173,0.4486,0.018199999999999994,0.4764,-0.009599999999999997
42,recurrent_sprout_64,linear,warmup,recurrent,64,64,0.1,0.0003,10.0,10,0.46675,0.4752,272,336,1290,1802,1626,0.01671992195546627,0.023017187264561652,1.3766324583253575,0.019433140754699707,0.013014061376452446,0.0,0.008928571827709675,5.858254431000205,0.04470062800010055,111855.25178726243,0.4486,0.026600000000000013,0.4764,-0.0011999999999999789
42,raw,mlp,raw,none,0,0,0.1,0.0,10.0,0,0.94245,0.9424,0,0,17785,17785,17785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02163506099987,0.003056155000194849,1636042.6744328146,0.5624,0.38,0.5758,0.36660000000000004
42,frozen_recurrent,mlp,frozen,none,0,0,0.1,0.0,10.0,0,0.56035,0.5624,272,272,17802,17802,17802,0.01671992195546627,0.01671992195546627,1.0,0.0,0.0,0.0,0.0,2.846332479999546,0.03631609300009586,137680.00869440447,0.5624,0.0,0.5758,-0.013399999999999967
42,fixed_warm_all,mlp,warmup,none,0,0,0.1,0.0003,10.0,10,0.5692,0.5758,272,272,17802,18314,18074,0.01671992195546627,0.01865234381854534,1.1155760097580658,0.006920539774000645,0.0,0.0,0.0036764706019312143,5.689790809999977,0.036449897999773384,137174.59511220266,0.5624,0.013399999999999967,0.5758,0.0
42,sensor_sprout_16,mlp,warmup,sensor,16,16,0.1,0.0003,10.0,10,0.56775,0.5746,272,288,17802,18314,18090,0.01671992195546627,0.018871093887090684,1.1286592088978697,0.006196922622621059,0.01864635944366455,0.0,0.0034722222480922937,6.561017019000246,0.03872267499991722,129123.31082526424,0.5624,0.012199999999999989,0.5758,-0.0011999999999999789
42,sensor_sprout_48,mlp,warmup,sensor,48,48,0.1,0.0003,10.0,10,0.56505,0.57,272,320,17802,18314,18122,0.01671992195546627,0.01942031234204769,1.1615073559418485,0.008655593730509281,0.018465107306838036,0.0,0.0,5.561986038999748,0.03561395399992762,140394.4083268643,0.5624,0.00759999999999994,0.5758,-0.005800000000000027
42,recurrent_sprout_64,mlp,warmup,recurrent,64,64,0.1,0.0003,10.0,10,0.5648,0.5708,272,336,17802,18314,18138,0.01671992195546627,0.018364843747019768,1.0983809491416747,0.0058746240101754665,0.003487548790872097,0.0,0.0029761905316263437,6.315660232000482,0.03551553699981014,140783.45485883346,0.5624,0.008399999999999963,0.5758,-0.0050000000000000044
43,raw,linear,raw,none,0,0,0.1,0.0,10.0,0,0.8411,0.8578,0,0,650,650,650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.676344262999919,0.002361204000408179,2117563.7510082377,0.4424,0.4154,0.459,0.3988
43,frozen_recurrent,linear,frozen,none,0,0,0.1,0.0,10.0,0,0.4266,0.4424,272,272,1290,1290,1290,0.016587109199166297,0.016587109199166297,1.0,0.0,0.0,0.0,0.0,2.722582440000224,0.034831691999897885,143547.4337570124,0.4424,0.0,0.459,-0.016600000000000004
43,fixed_warm_all,linear,warmup,none,0,0,0.1,0.0003,10.0,10,0.4383,0.459,272,272,1290,1802,1562,0.016587109199166297,0.021082031241059302,1.2709888738249175,0.018292026594281197,0.0,0.0,0.0036764706019312143,5.20725018200028,0.03779036200012342,132308.86753568728,0.4424,0.016600000000000004,0.459,0.0
43,sensor_sprout_16,linear,warmup,sensor,16,16,0.1,0.0003,10.0,10,0.44615,0.461,272,288,1290,1802,1578,0.016587109199166297,0.02119374981224537,1.2777241385322653,0.0169425867497921,0.07703138887882233,0.0,0.0034722222480922937,6.15091770700019,0.035965207000117516,139023.2509987684,0.4424,0.018600000000000005,0.459,0.0020000000000000018
43,sensor_sprout_48,linear,warmup,sensor,48,48,0.1,0.0003,10.0,10,0.45085,0.471,272,320,1290,1802,1610,0.016587109199166297,0.021450390565395355,1.293196439948288,0.016826538369059563,0.06017766520380974,0.0,0.0031250000465661287,5.259880047000479,0.03750201999991987,133326.15149825753,0.4424,0.02859999999999996,0.459,0.011999999999999955
43,recurrent_sprout_64,linear,warmup,recurrent,64,64,0.1,0.0003,10.0,10,0.43975,0.4642,272,336,1290,1802,1626,0.016587109199166297,0.021271484196186064,1.282410572015479,0.016350870952010155,0.014083059504628181,0.0,0.0029761905316263437,6.297442873999898,0.050118519000534434,99763.52254037441,0.4424,0.021799999999999986,0.459,0.005199999999999982
43,raw,mlp,raw,none,0,0,0.1,0.0,10.0,0,0.93825,0.9412,0,0,17785,17785,17785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8029819000003044,0.002715238000746467,1841459.201228552,0.5506,0.39060000000000006,0.5608,0.38040000000000007
43,frozen_recurrent,mlp,frozen,none,0,0,0.1,0.0,10.0,0,0.5455,0.5506,272,272,17802,17802,17802,0.016587109199166297,0.016587109199166297,1.0,0.0,0.0,0.0,0.0,2.8323519850000594,0.03892512899983558,128451.72587664695,0.5506,0.0,0.5608,-0.010199999999999987
43,fixed_warm_all,mlp,warmup,none,0,0,0.1,0.0003,10.0,10,0.5473,0.5608,272,272,17802,18314,18074,0.016587109199166297,0.017739843687415123,1.0694958039045626,0.00553783867508173,0.0,0.0,0.0036764706019312143,5.431993637000232,0.05223142900103994,95727.80403730574,0.5506,0.010199999999999987,0.5608,0.0
43,sensor_sprout_16,mlp,warmup,sensor,16,16,0.1,0.0003,10.0,10,0.55135,0.5548,272,288,17802,18314,18090,0.016587109199166297,0.017884765502810478,1.0782328185136325,0.00467936135828495,0.015501640737056732,0.0,0.0,6.15161652200004,0.03621507699972426,138064.04443204883,0.5506,0.0041999999999999815,0.5608,-0.006000000000000005
43,sensor_sprout_48,mlp,warmup,sensor,48,48,0.1,0.0003,10.0,10,0.54265,0.5536,272,320,17802,18314,18122,0.016587109199166297,0.01889414063692093,1.1390858051305641,0.007454429287463427,0.02316885255277157,0.0,0.0,5.358238834000076,0.03561764500045683,140379.85947515257,0.5506,0.0030000000000000027,0.5608,-0.007199999999999984
43,recurrent_sprout_64,mlp,warmup,recurrent,64,64,0.1,0.0003,10.0,10,0.5472,0.5576,272,336,17802,18314,18138,0.016587109199166297,0.017916796797513963,1.080163914180688,0.005001511890441179,0.0025136384647339582,0.0,0.0029761905316263437,6.732510938001724,0.036303777000284754,137726.7164229436,0.5506,0.007000000000000006,0.5608,-0.0031999999999999806
44,raw,linear,raw,none,0,0,0.1,0.0,10.0,0,0.84235,0.8606,0,0,650,650,650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6869887289994949,0.002273506999699748,2199245.483150185,0.4246,0.43600000000000005,0.4436,0.41700000000000004
44,frozen_recurrent,linear,frozen,none,0,0,0.1,0.0,10.0,0,0.42515,0.4246,272,272,1290,1290,1290,0.014374609366059303,0.014374609366059303,1.0,0.0,0.0,0.0,0.0,2.718025193000358,0.035594442999354214,140471.36515356385,0.4246,0.0,0.4436,-0.019000000000000017
44,fixed_warm_all,linear,warmup,none,0,0,0.1,0.0003,10.0,10,0.44435,0.4436,272,272,1290,1802,1562,0.014374609366059303,0.017785546773672105,1.2372890504883254,0.020223520696163177,0.0,0.0,0.0036764706019312143,5.491196098000728,0.04820968999956676,103713.58953033992,0.4246,0.019000000000000017,0.4436,0.0
44,sensor_sprout_16,linear,warmup,sensor,16,16,0.1,0.0003,10.0,10,0.45,0.4562,272,288,1290,1802,1578,0.014374609366059303,0.01792578125,1.247044757426631,0.019816434010863304,0.07297101616859436,0.0,0.0034722222480922937,5.897475161998955,0.03483504500036361,143533.6167915905,0.4246,0.03160000000000002,0.4436,0.0126
44,sensor_sprout_48,linear,warmup,sensor,48,48,0.1,0.0003,10.0,10,0.45975,0.4642,272,320,1290,1802,1610,0.014374609366059303,0.019471484243869783,1.3545748442976822,0.01865975745022297,0.06143342703580856,0.0031250000465661287,0.0031250000465661287,5.241615155000545,0.035356779999347054,141415.59271212868,0.4246,0.039600000000000024,0.4436,0.020600000000000007
44,recurrent_sprout_64,linear,warmup,recurrent,64,64,0.1,0.0003,10.0,10,0.4433,0.4458,272,336,1290,1802,1626,0.014374609366059303,0.018166406106948852,1.2637843328002063,0.019840039312839508,0.011079065501689911,0.0,0.0029761905316263437,6.241577386999779,0.03600641400043969,138864.14792483757,0.4246,0.021199999999999997,0.4436,0.0021999999999999797
44,raw,mlp,raw,none,0,0,0.1,0.0,10.0,0,0.9416,0.9426,0,0,17785,17785,17785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8670790689993737,0.0030552200005331542,1636543.3582941557,0.5546,0.388,0.556,0.38659999999999994
44,frozen_recurrent,mlp,frozen,none,0,0,0.1,0.0,10.0,0,0.5565,0.5546,272,272,17802,17802,17802,0.014374609366059303,0.014374609366059303,1.0,0.0,0.0,0.0,0.0,2.9581975099990814,0.03659129900006519,136644.50666239238,0.5546,0.0,0.556,-0.0014000000000000679
44,fixed_warm_all,mlp,warmup,none,0,0,0.1,0.0003,10.0,10,0.5584,0.556,272,272,17802,18314,18074,0.014374609366059303,0.015459375040233135,1.0754640106419262,0.007376293186098337,0.0,0.0,0.0,5.945634675999827,0.05443207800090022,91857.59911494299,0.5546,0.0014000000000000679,0.556,0.0
44,sensor_sprout_16,mlp,warmup,sensor,16,16,0.1,0.0003,10.0,10,0.5599,0.5562,272,288,17802,18314,18090,0.014374609366059303,0.015414062356948853,1.0723117383171372,0.008405501954257488,0.03031175397336483,0.0,0.0,5.833137229001295,0.035287725000671344,141692.33068736724,0.5546,0.0016000000000000458,0.556,0.00019999999999997797
44,sensor_sprout_48,mlp,warmup,sensor,48,48,0.1,0.0003,10.0,10,0.55825,0.5628,272,320,17802,18314,18122,0.014374609366059303,0.016758593720197678,1.1658468966654032,0.009111025370657444,0.02584126964211464,0.0,0.0,5.368041794999954,0.06583950699859997,75942.24543793016,0.5546,0.008199999999999985,0.556,0.006799999999999917
44,recurrent_sprout_64,mlp,warmup,recurrent,64,64,0.1,0.0003,10.0,10,0.55905,0.5618,272,336,17802,18314,18138,0.014374609366059303,0.015666015610098838,1.089839397450949,0.007546319626271725,0.004230556543916464,0.0,0.0,6.37848467799995,0.035992602999613155,138917.43256395598,0.5546,0.007199999999999984,0.556,0.005799999999999916
