arm,hidden_neurons,delay_pattern,seeds,mean_test_accuracy,std_test_accuracy,mean_gain_vs_same_width_no_delay,improved_seed_count,one_point_seed_count,two_point_seed_count,mean_final_hidden_event_rate,mean_event_rate_vs_same_width_no_delay,active_edges,mean_delayed_edges,effective_trainable_parameters,mean_absolute_ltw_change,mean_upper_ltw_saturation_rate,mean_train_seconds,mean_test_examples_per_second
sparse256_mlp_none,256,none,3,0.5213486454652533,0.040765996263438124,0.0,0,0,0,0.23457296011866333,1.0,1724,0.0,69968,0.023656101897358894,0.002320185536518693,35.465543019666406,8193.724155030815
sparse256_mlp_uniform_1,256,uniform_1,3,0.5466725559481743,0.011665758415512543,0.02532391048292108,2,1,1,0.2360766961450992,1.0064435382854917,1724,1024.0,69968,0.022054677829146385,0.0025135343118260303,45.87883180566693,6280.733263628014
sparse256_mlp_hash_0_2,256,hash_0_2,3,0.5471142520612485,0.015276698605603888,0.025765606595995288,2,2,2,0.2361301831699232,1.0066640105243245,1724,670.6666666666666,69968,0.022130675613880157,0.002320185536518693,55.27951775800011,5094.404863627776
sparse256_mlp_distance_0_2,256,distance_0_2,3,0.5460836277974087,0.011654603902923022,0.02473498233215547,2,2,1,0.23588016536196496,1.0056468533839968,1724,690.0,69968,0.022382413347562153,0.0027068831647435823,55.235789057,5346.6299939300725
sparse512_mlp_none,512,none,3,0.607037691401649,0.013447371889022902,0.0,0,0,0,0.1399804467798262,1.0,2748,0.0,136528,0.022723466778794926,0.0016982047818601131,34.847353756,8309.586729869183
sparse512_mlp_uniform_1,512,uniform_1,3,0.6080683156654888,0.009068824260562141,0.001030624263839856,2,0,0,0.13932432323799537,0.9953128509633062,2748,2048.0,136528,0.02117629845937093,0.0014556040987372398,45.61145772566639,5983.318074206552
sparse512_mlp_hash_0_2,512,hash_0_2,3,0.6102767962308598,0.010946778737008884,0.0032391048292108593,2,0,0,0.13915597774676355,0.9941152713190217,2748,1361.3333333333333,136528,0.021166022246082623,0.0015769044402986765,55.08079096499993,5283.326735929194
sparse512_mlp_distance_0_2,512,distance_0_2,3,0.6113074204946997,0.01405584097156965,0.004269729093050678,3,0,0,0.13886714376535517,0.9920355259120041,2748,1370.3333333333333,136528,0.021101598317424457,0.0015769044402986765,54.52484216533352,4972.8275086203475
