seed,arm,hidden_neurons,delay_pattern,train_accuracy,test_accuracy,active_edges,delayed_edges,effective_trainable_parameters,initial_hidden_event_rate,final_hidden_event_rate,event_rate_ratio,mean_absolute_ltw_change,lower_ltw_saturation_rate,upper_ltw_saturation_rate,train_seconds,inference_seconds,test_examples_per_second,gain_vs_same_width_no_delay,event_rate_vs_same_width_no_delay
42,sparse256_mlp_none,256,none,0.575649828347229,0.532243816254417,1724,0,69968,0.24086292461877157,0.24399596384262448,1.013007561162897,0.02416110970079899,0.0,0.002320185536518693,35.97623528599979,0.2660011749999285,8511.240598845508,0.0,1.0
42,sparse256_mlp_uniform_1,256,uniform_1,0.5739333006375674,0.5419611307420494,1724,1024,69968,0.24333395790506168,0.24531307153061507,1.0081333227905886,0.02308034710586071,0.0,0.0029002318624407053,44.450364575000094,0.3376587100001416,6704.995111777364,0.009717314487632467,1.0053980716207263
42,sparse256_mlp_hash_0_2,256,hash_0_2,0.5902403138793526,0.5534452296819788,1724,675,69968,0.24352183474668765,0.24542252487723482,1.0078050090765958,0.02335304021835327,0.0,0.002320185536518693,53.97805247600036,0.5414250210001228,4181.5577636547505,0.021201413427561877,1.0058466583305061
42,sparse256_mlp_distance_0_2,256,distance_0_2,0.5815350662089259,0.5424028268551236,1724,689,69968,0.24347759604243424,0.24449748100956423,1.0041888246956088,0.023295221850275993,0.0,0.002320185536518693,54.39198216599971,0.42539748499984853,5322.081300035909,0.010159010600706675,1.0020554322253594
42,sparse512_mlp_none,512,none,0.6905345757724375,0.6046819787985865,2748,0,136528,0.13302019238471985,0.14073066629285105,1.0579646876906557,0.02091038040816784,0.0,0.0014556040987372398,34.57130057999984,0.2700804179999068,8382.688448004332,0.0,1.0
42,sparse512_mlp_uniform_1,512,uniform_1,0.6970328592447278,0.6126325088339223,2748,2048,136528,0.13333844348735607,0.14018819731242244,1.0513711848279967,0.019574083387851715,0.0,0.0010917030740529299,46.05762458400022,0.35480448800035447,6380.979036538394,0.007950530035335746,0.9961453392162603
42,sparse512_mlp_hash_0_2,512,hash_0_2,0.6997302599313389,0.6126325088339223,2748,1332,136528,0.1333663863765056,0.13998452239659986,1.0496237185388726,0.019837334752082825,0.0,0.0018195051234215498,55.81611249100024,0.4386494999998831,5161.296205741949,0.007950530035335746,0.9946980717429525
42,sparse512_mlp_distance_0_2,512,distance_0_2,0.6944580676802354,0.6143992932862191,2748,1354,136528,0.13325524730311686,0.14024419040014383,1.0524477890249917,0.019976072013378143,0.0,0.0018195051234215498,55.0634938940002,0.5323049270000411,4253.201285885947,0.009717314487632578,0.9965432133200102
43,sparse256_mlp_none,256,none,0.5229279058361942,0.4668727915194346,1724,0,69968,0.2304411446774385,0.2327014666985286,1.0098086738123697,0.025285126641392708,0.0005800463841296732,0.002320185536518693,35.07852764300014,0.2788584439999795,8118.8145767612705,0.0,1.0
43,sparse256_mlp_uniform_1,256,uniform_1,0.5671897989210397,0.5353356890459364,1724,1024,69968,0.23278625251547608,0.23397616820916692,1.0051116235638173,0.021875275298953056,0.0005800463841296732,0.002320185536518693,47.82089091900025,0.39184469099973285,5777.7993475520725,0.06846289752650181,1.0054778404653966
43,sparse256_mlp_hash_0_2,256,hash_0_2,0.5654732712113781,0.526060070671378,1724,663,69968,0.2328709045378985,0.2340864041036936,1.0052196283095438,0.022240085527300835,0.0,0.002320185536518693,56.560500719000174,0.406189755000014,5573.7496382692425,0.05918727915194344,1.0059515628535305
43,sparse256_mlp_distance_0_2,256,distance_0_2,0.577611574301128,0.5340106007067138,1724,679,69968,0.23287761732672635,0.23437524242030436,1.006430953351248,0.022621985524892807,0.0005800463841296732,0.002320185536518693,56.36787374100004,0.42824451099977523,5286.699401504269,0.06713780918727918,1.007192802630437
43,sparse512_mlp_none,512,none,0.679377145659637,0.6245583038869258,2748,0,136528,0.130065985892771,0.13905717258739808,1.0691278863794536,0.024383751675486565,0.0,0.0014556040987372398,34.41335713399985,0.2769044709998525,8176.104892149632,0.0,1.0
43,sparse512_mlp_uniform_1,512,uniform_1,0.6786414909269249,0.616166077738516,2748,2048,136528,0.13032822948041317,0.1384717859459429,1.0624849773375737,0.022992242127656937,0.0,0.0014556040987372398,45.53123441699972,0.3475141359999725,6514.842895484917,-0.008392226148409843,0.9957903168131276
43,sparse512_mlp_hash_0_2,512,hash_0_2,0.6846493379107406,0.6223498233215548,2748,1398,136528,0.1302354902871506,0.13855628864082767,1.063890406027811,0.02321048639714718,0.0,0.0014556040987372398,54.754687454000305,0.42221919799976604,5362.143670220449,-0.0022084805653710404,0.9963979999215387
43,sparse512_mlp_distance_0_2,512,distance_0_2,0.7083128984796468,0.6267667844522968,2748,1386,136528,0.1301611099563302,0.1376831411999443,1.0577901590278216,0.022200370207428932,0.0,0.0007278020493686199,54.4426567190003,0.4359570300002815,5193.172363795895,0.0022084805653710404,0.9901189463161981
44,sparse256_mlp_none,256,none,0.6424717999019127,0.5649293286219081,1724,0,69968,0.22512049088419114,0.22702144981483688,1.0084441843706873,0.021522069349884987,0.0,0.002320185536518693,35.34186612999929,0.2847398570002042,7951.117289485666,0.0,1.0
44,sparse256_mlp_uniform_1,256,uniform_1,0.6452918097106425,0.5627208480565371,1724,1024,69968,0.2274370499402811,0.22894084869551573,1.006611933964275,0.02120841108262539,0.0005800463841296732,0.002320185536518693,45.365239923000445,0.35600813000019116,6359.405331554603,-0.0022084805653710404,1.008454702770352
44,sparse256_mlp_hash_0_2,256,hash_0_2,0.6472535556645415,0.5618374558303887,1724,674,69968,0.2275496029917006,0.2288816205288412,1.0058537458190564,0.020798901095986366,0.0,0.002320185536518693,55.3000000789998,0.4095582509999076,5527.907188959332,-0.0030918727915194566,1.008193810388937
44,sparse256_mlp_distance_0_2,256,distance_0_2,0.6338891613536047,0.5618374558303887,1724,702,69968,0.22771232798958835,0.22876777265602624,1.004634991332073,0.021230032667517662,0.0005800463841296732,0.0034802784211933613,54.94751126400024,0.41685775099995226,5431.109280250037,-0.0030918727915194566,1.0076923252961942
44,sparse512_mlp_none,512,none,0.6845267287886219,0.5918727915194346,2748,0,136528,0.1314435489607363,0.14015350145922953,1.0662638263144812,0.02287626825273037,0.00036390102468430996,0.0021834061481058598,35.5574035540003,0.2704909160001989,8369.966849453587,0.0,1.0
44,sparse512_mlp_uniform_1,512,uniform_1,0.696174595389897,0.5954063604240283,2748,2048,136528,0.13177297519710796,0.13931298645562082,1.0572197087242996,0.02096256986260414,0.0,0.0018195051234215498,45.24551417599923,0.4479502849999335,5054.132290596346,0.0035335689045936647,0.994002896860531
44,sparse512_mlp_hash_0_2,512,hash_0_2,0.6989946051986268,0.5958480565371025,2748,1354,136528,0.13164806102695398,0.13892712220286313,1.055291822144033,0.020450245589017868,0.0,0.0014556040987372398,54.671572949999245,0.4250413700001445,5326.540331825183,0.003975265017667873,0.9912497422925738
44,sparse512_mlp_distance_0_2,512,distance_0_2,0.6901667484060814,0.592756183745583,2748,1371,136528,0.13165076972107162,0.13867409969597738,1.0533481877074178,0.021128352731466293,0.0,0.0021834061481058598,54.068375883000044,0.4137344579994533,5472.1088761792025,0.0008833922261484162,0.9894444180998039
