group,neuron_count,hidden_neurons,max_edges,seed,generation,epoch_best_fitness,all_time_best_fitness,selection_best_fitness,mean_population_fitness,selection_mean_fitness,mean_active_synapses,active_edge_utilization,fitness_per_active_synapse,mean_hidden_edges,mean_hidden_edge_fraction,mean_direct_sensor_motor_fraction,sprout_count,prune_count,low_ltw_prune_count,ltw_mutation_count
baseline_capacity_fill,16,4,128,42,1,7.0,7.0,7.0,-0.3953999876976013,-0.3953999876976013,9.165999412536621,0.07160937041044235,0.7636919538120288,0.541700005531311,0.04886617138981819,0.9060204029083252,12042,382,0,40000
baseline_capacity_fill,16,4,128,42,2,11.0,11.0,11.0,0.7549999952316284,0.7549999952316284,10.329400062561035,0.08069843798875809,1.0649214797933482,1.0922999382019043,0.09068550914525986,0.8268457055091858,12037,499,0,45878
baseline_capacity_fill,16,4,128,42,3,13.0,13.0,13.0,0.07779999822378159,0.07779999822378159,11.416899681091309,0.08919452875852585,1.1386628912515213,1.6143999099731445,0.12448705732822418,0.7633335590362549,11774,503,0,51449
baseline_capacity_fill,16,4,128,42,4,14.0,14.0,14.0,0.5392000079154968,0.5392000079154968,12.570899963378906,0.0982101559638977,1.1136831921966046,2.151099920272827,0.15416693687438965,0.7066329717636108,11725,528,0,57256
baseline_capacity_fill,16,4,128,42,5,11.0,14.0,11.0,-0.2184000015258789,-0.2184000015258789,13.70319938659668,0.10705624520778656,0.8027322444683449,2.6816999912261963,0.17884452641010284,0.659773588180542,11467,587,0,63076
baseline_capacity_fill,16,4,128,42,6,11.0,14.0,11.0,-0.4509999752044678,-0.4509999752044678,14.814899444580078,0.11574140191078186,0.7424957584861819,3.22189998626709,0.20200958847999573,0.6175045967102051,11683,684,0,68575
baseline_capacity_fill,16,4,128,42,7,14.0,14.0,14.0,0.4260999858379364,0.4260999858379364,15.854599952697754,0.1238640621304512,0.8830244876420119,3.701900005340576,0.21914896368980408,0.5832776427268982,11366,746,0,73963
baseline_capacity_fill,16,4,128,42,8,14.0,14.0,14.0,-0.08699999749660492,-0.08699999749660492,16.871599197387695,0.13180936872959137,0.8297968577968402,4.158100128173828,0.23319154977798462,0.5542961955070496,11117,801,0,79200
baseline_capacity_fill,16,4,128,42,9,14.0,14.0,14.0,-0.10040000081062317,-0.10040000081062317,17.789600372314453,0.13898125290870667,0.7869766440503002,4.6078996658325195,0.24670785665512085,0.530064046382904,11019,843,0,83860
baseline_capacity_fill,16,4,128,42,10,16.0,16.0,16.0,0.3130999803543091,0.3130999803543091,18.771400451660156,0.14665156602859497,0.8523604853672464,5.074599742889404,0.25872504711151123,0.508095920085907,11052,876,0,88769
baseline_capacity_fill,16,4,128,42,11,13.0,16.0,13.0,0.21439999341964722,0.21439999341964722,19.709299087524414,0.15397889912128448,0.6595871290130625,5.497099876403809,0.2679024636745453,0.49045008420944214,11267,958,0,93392
baseline_capacity_fill,16,4,128,42,12,15.0,16.0,15.0,0.2750999927520752,0.2750999927520752,20.64259910583496,0.16127030551433563,0.7266526818204792,5.92579984664917,0.2771296203136444,0.4730239510536194,10805,1001,0,98311
baseline_capacity_fill,16,4,128,42,13,16.0,16.0,16.0,-0.30789998173713684,-0.30789998173713684,21.562599182128906,0.16845780611038208,0.7420255723744478,6.367199897766113,0.2864704132080078,0.45516449213027954,10587,1003,0,103021
baseline_capacity_fill,16,4,128,42,14,16.0,16.0,16.0,-0.3414999842643738,-0.3414999842643738,22.5310001373291,0.1760234385728836,0.7101327017211004,6.817899703979492,0.29469043016433716,0.43827489018440247,10721,1115,0,107852
baseline_capacity_fill,16,4,128,42,15,16.0,16.0,16.0,0.32670000195503235,0.32670000195503235,23.470699310302734,0.1833648383617401,0.6817010344884191,7.247499942779541,0.3013187348842621,0.425588458776474,10499,1104,0,112656
baseline_capacity_fill,16,4,128,42,16,16.0,16.0,16.0,-0.013700000010430813,-0.013700000010430813,24.44019889831543,0.1909390538930893,0.65465915668562,7.6952996253967285,0.3075979948043823,0.4120974540710449,10670,1178,0,117455
baseline_capacity_fill,16,4,128,42,17,15.0,16.0,15.0,0.2061999887228012,0.2061999887228012,25.458499908447266,0.19889453053474426,0.5891941808803479,8.157099723815918,0.31398189067840576,0.3984353542327881,10445,1178,0,122659
baseline_capacity_fill,16,4,128,42,18,16.0,16.0,16.0,-0.016300000250339508,-0.016300000250339508,26.34079933166504,0.20578749477863312,0.6074227208726326,8.563399314880371,0.3188401162624359,0.38836669921875,10236,1274,0,127223
baseline_capacity_fill,16,4,128,42,19,16.0,16.0,16.0,-0.4456999897956848,-0.4456999897956848,27.258499145507812,0.21295702457427979,0.586972889247895,9.00309944152832,0.3245214521884918,0.3776509165763855,10267,1340,0,131829
baseline_capacity_fill,16,4,128,42,20,17.0,17.0,17.0,0.053199999034404755,0.053199999034404755,28.110898971557617,0.21961639821529388,0.6047476467117066,9.410999298095703,0.3294057846069336,0.3675267994403839,10185,1418,0,136171
baseline_capacity_fill,16,4,128,42,21,17.0,17.0,17.0,-0.04859999939799309,-0.04859999939799309,29.035999298095703,0.22684374451637268,0.5854801078299698,9.800700187683105,0.3326384723186493,0.35934969782829285,10084,1362,0,140819
baseline_capacity_fill,16,4,128,42,22,16.0,17.0,16.0,-0.07899999618530273,-0.07899999618530273,29.73059844970703,0.23227030038833618,0.5381660926558869,10.174300193786621,0.3372277617454529,0.3531704246997833,9989,1439,0,144378
baseline_capacity_fill,16,4,128,42,23,19.0,19.0,19.0,-0.035999998450279236,-0.035999998450279236,30.51909828186035,0.238430455327034,0.6225609886807514,10.56190013885498,0.3412685990333557,0.34596267342567444,9785,1428,0,148417
baseline_capacity_fill,16,4,128,42,24,19.0,19.0,19.0,0.5796999931335449,0.5796999931335449,31.3273983001709,0.24474529922008514,0.6064978590927658,10.99109935760498,0.34667807817459106,0.3385727107524872,9725,1493,0,152521
baseline_capacity_fill,16,4,128,42,25,17.0,19.0,17.0,0.17469999194145203,0.17469999194145203,32.038299560546875,0.25029921531677246,0.5306149275454811,11.342199325561523,0.3502185642719269,0.3318929076194763,9772,1521,0,156066
baseline_capacity_fill,16,4,128,42,26,20.0,20.0,20.0,0.07660000026226044,0.07660000026226044,32.77840042114258,0.2560812532901764,0.6101579010274,11.670700073242188,0.3522345721721649,0.3263458013534546,9467,1575,0,159946
baseline_capacity_fill,16,4,128,42,27,17.0,20.0,17.0,-0.15709999203681946,-0.15709999203681946,33.547698974609375,0.26209139823913574,0.5067411631678964,12.053999900817871,0.3554830551147461,0.3208152651786804,9595,1616,0,163749
baseline_capacity_fill,16,4,128,42,28,16.0,20.0,16.0,0.15869998931884766,0.15869998931884766,34.27589797973633,0.26778045296669006,0.4668003157629623,12.396100044250488,0.35788998007774353,0.3158246874809265,9485,1688,0,167481
baseline_capacity_fill,16,4,128,42,29,19.0,20.0,19.0,0.1898999959230423,0.1898999959230423,35.082298278808594,0.27408045530319214,0.5415836741652961,12.74169921875,0.3594290316104889,0.3109495937824249,9455,1742,0,171555
baseline_capacity_fill,16,4,128,42,30,17.0,20.0,17.0,0.22749999165534973,0.22749999165534973,35.66419982910156,0.27862656116485596,0.47666848216031477,13.025799751281738,0.3617430031299591,0.3079099655151367,9382,1728,0,174494
baseline_capacity_fill,16,4,128,42,31,18.0,20.0,18.0,0.5047000050544739,0.5047000050544739,36.37019729614258,0.2841421663761139,0.49491070541729176,13.385199546813965,0.3647175133228302,0.3024078905582428,9420,1788,0,178035
baseline_capacity_fill,16,4,128,42,32,18.0,20.0,18.0,0.19669999182224274,0.19669999182224274,37.15549850463867,0.2902773320674896,0.48445050462054207,13.785599708557129,0.3679317533969879,0.2985236942768097,9315,1918,0,182079
baseline_capacity_fill,16,4,128,42,33,19.0,20.0,19.0,-0.6984999775886536,-0.6984999775886536,37.78260040283203,0.29517656564712524,0.5028769803408194,14.037799835205078,0.3686008155345917,0.29443788528442383,8999,1825,0,185326
baseline_capacity_fill,16,4,128,42,34,19.0,20.0,19.0,-0.02239999920129776,-0.02239999920129776,38.587799072265625,0.3014671802520752,0.4923836149456876,14.394899368286133,0.37034139037132263,0.29043200612068176,9080,1872,0,189335
baseline_capacity_fill,16,4,128,42,35,20.0,20.0,20.0,0.06849999725818634,0.06849999725818634,39.253597259521484,0.3066687285900116,0.5095074438088278,14.693399429321289,0.37162351608276367,0.28692516684532166,8942,1908,0,192751
baseline_capacity_fill,16,4,128,42,36,20.0,20.0,20.0,0.6150999665260315,0.6150999665260315,39.85929870605469,0.31140077114105225,0.5017649745293178,14.933199882507324,0.3722570836544037,0.28377532958984375,8974,1919,0,195769
