topology_preset,requested_active_edges,seeded_active_edges,edge_pool_capacity,active_edge_utilization,adjacency_json,population_size,steps,seconds,ticks_per_second,agent_steps_per_second,mean_active_synapses,device,dtype,torch_compile_requested,torch_compile_active,compile_error,tick_mode,cuda_memory_allocated_mb,cuda_max_memory_allocated_mb,accelerator_backend
champion,,83,128,0.6484375,gen5_outputs/champion/champion_sparse_adjacency.json,1000,240,0.48826976899999863,491.5315574247659,491531.5574247659,83.00000762939453,cuda,torch.float32,False,False,,tensor_hot_path_no_epoch_control,4.6162109375,8.5224609375,cuda
champion,,83,128,0.6484375,gen5_outputs/champion/champion_sparse_adjacency.json,10000,240,0.48588491400005296,493.94412768282376,4939441.276828238,83.0,cuda,torch.float32,False,False,,tensor_hot_path_no_epoch_control,46.59375,86.59375,cuda
champion,,83,128,0.6484375,gen5_outputs/champion/champion_sparse_adjacency.json,50000,240,2.1275878220000095,112.80380415713759,5640190.20785688,83.0,cuda,torch.float32,False,False,,tensor_hot_path_no_epoch_control,230.603515625,425.916015625,cuda
champion,,83,128,0.6484375,gen5_outputs/champion/champion_sparse_adjacency.json,100000,240,4.219958550999991,56.87259651949139,5687259.651949138,83.0,cuda,torch.float32,False,False,,tensor_hot_path_no_epoch_control,462.23291015625,853.88916015625,cuda
