topology_preset,requested_active_edges,seeded_active_edges,edge_pool_capacity,active_edge_utilization,adjacency_json,resolved_adjacency_json,adjacency_sha256,population_size,steps,seconds,ticks_per_second,agent_steps_per_second,mean_active_synapses,device,dtype,torch_compile_requested,torch_compile_active,compile_error,tick_mode,cuda_memory_allocated_mb,cuda_max_memory_allocated_mb,accelerator_backend
champion,,86,128,0.671875,gen5_outputs/champion/champion_sparse_adjacency.json,gen5_outputs/champion/champion_sparse_adjacency.json,de4cdb8f715389f8206e025435856cd2b4a55d8a7688b28b9cc3eabd5f3d904a,1000,240,0.7075072430006912,339.2191420996739,339219.14209967386,86.00000762939453,cuda,torch.float32,False,False,,tensor_hot_path_no_epoch_control,4.6162109375,8.5224609375,cuda
champion,,86,128,0.671875,gen5_outputs/champion/champion_sparse_adjacency.json,gen5_outputs/champion/champion_sparse_adjacency.json,de4cdb8f715389f8206e025435856cd2b4a55d8a7688b28b9cc3eabd5f3d904a,10000,240,0.6530608160001066,367.50022987133383,3675002.298713338,86.0,cuda,torch.float32,False,False,,tensor_hot_path_no_epoch_control,46.59375,86.59375,cuda
champion,,86,128,0.671875,gen5_outputs/champion/champion_sparse_adjacency.json,gen5_outputs/champion/champion_sparse_adjacency.json,de4cdb8f715389f8206e025435856cd2b4a55d8a7688b28b9cc3eabd5f3d904a,50000,240,2.1512142440005846,111.56489906541117,5578244.953270558,86.0,cuda,torch.float32,False,False,,tensor_hot_path_no_epoch_control,230.603515625,425.916015625,cuda
champion,,86,128,0.671875,gen5_outputs/champion/champion_sparse_adjacency.json,gen5_outputs/champion/champion_sparse_adjacency.json,de4cdb8f715389f8206e025435856cd2b4a55d8a7688b28b9cc3eabd5f3d904a,100000,240,4.2847401939998235,56.01273102534578,5601273.102534578,86.0,cuda,torch.float32,False,False,,tensor_hot_path_no_epoch_control,462.23291015625,853.88916015625,cuda
