steps,mean_net_fitness_per_1000_steps,mean_shaped_reward_per_1000_steps,mean_policy_entropy,mean_training_loss,mean_training_reward_per_1000_steps,training_updates,maximum_score_gradient_error,policy_weight_delta_norm,seed,strategy,phase
300,-0.9133333961168925,-0.8938235649862327,1.3727595806121826,,,0,,,180,static_linear_policy,baseline
300,-0.9133333961168925,-0.8938235649862327,1.3727595806121826,0.0,0.0,0,0.0,0.0,180,static_linear_policy,evaluation
300,6.65000041325887,6.660116934903587,0.0,,,0,,,180,oracle_food_reflex,baseline
300,6.65000041325887,6.660116934903587,0.0,0.0,0.0,0,0.0,0.0,180,oracle_food_reflex,evaluation
300,-0.9133333961168925,-0.8938235649862327,1.3727595806121826,,,0,,,180,manual_local_score_policy,baseline
300,-1.1266667644182842,-1.107630820601674,1.3738455772399902,-0.0003776952879282665,0.1570206987735744,60,1.6298145055770874e-09,0.0013588935835286975,180,manual_local_score_policy,evaluation
300,-0.9133333961168925,-0.8938235649862327,1.3727595806121826,,,0,,,180,manual_local_shuffled_reward,baseline
300,-0.9566666682561239,-0.9655144971671203,1.3760169744491577,3.321279767381687e-05,0.21906272063044727,60,1.862645149230957e-09,0.00027397769736126065,180,manual_local_shuffled_reward,evaluation
300,-2.720000147819519,-2.712544660724234,1.3745806217193604,,,0,,,181,static_linear_policy,baseline
300,-2.720000147819519,-2.712544660724234,1.3745806217193604,0.0,0.0,0,0.0,0.0,181,static_linear_policy,evaluation
300,8.666667143503824,8.669271579521398,0.0,,,0,,,181,oracle_food_reflex,baseline
300,8.666667143503824,8.669271579521398,0.0,0.0,0.0,0,0.0,0.0,181,oracle_food_reflex,evaluation
300,-2.720000147819519,-2.712544660724234,1.3745806217193604,,,0,,,181,manual_local_score_policy,baseline
300,-1.0633333524068196,-1.0686900769973484,1.3747367858886719,-3.654690014324539e-05,0.4849726350729664,60,2.0954757928848267e-09,0.003224519779905677,181,manual_local_score_policy,evaluation
300,-2.720000147819519,-2.712544660724234,1.3745806217193604,,,0,,,181,manual_local_shuffled_reward,baseline
300,-3.076666792233785,-3.07483237720017,1.373351812362671,0.00012864070619495276,-0.7878353418451216,60,1.862645149230957e-09,0.0007267785258591175,181,manual_local_shuffled_reward,evaluation
300,-2.633333404858907,-2.63412477854096,1.3335798978805542,,,0,,,182,static_linear_policy,baseline
300,-2.633333404858907,-2.63412477854096,1.3335798978805542,0.0,0.0,0,0.0,0.0,182,static_linear_policy,evaluation
300,9.56000010172526,9.566517159080444,0.0,,,0,,,182,oracle_food_reflex,baseline
300,9.56000010172526,9.566517159080444,0.0,0.0,0.0,0,0.0,0.0,182,oracle_food_reflex,evaluation
300,-2.633333404858907,-2.63412477854096,1.3335798978805542,,,0,,,182,manual_local_score_policy,baseline
300,-0.5233333508173624,-0.5149972876898634,1.3369437456130981,-0.000258677660470615,-0.21988666172507995,60,2.0954757928848267e-09,0.002705220365896821,182,manual_local_score_policy,evaluation
300,-2.633333404858907,-2.63412477854096,1.3335798978805542,,,0,,,182,manual_local_shuffled_reward,baseline
300,-0.7600000500679016,-0.7551881994411815,1.339978814125061,-6.010993746106881e-05,1.107658438294958,60,2.0954757928848267e-09,0.0007218762766569853,182,manual_local_shuffled_reward,evaluation
300,0.4800000290075938,0.454346225852496,1.3720968961715698,,,0,,,183,static_linear_policy,baseline
300,0.4800000290075938,0.454346225852496,1.3720968961715698,0.0,0.0,0,0.0,0.0,183,static_linear_policy,evaluation
300,12.840000788370768,12.841988173803935,0.0,,,0,,,183,oracle_food_reflex,baseline
300,12.840000788370768,12.841988173803935,0.0,0.0,0.0,0,0.0,0.0,183,oracle_food_reflex,evaluation
300,0.4800000290075938,0.454346225852496,1.3720968961715698,,,0,,,183,manual_local_score_policy,baseline
300,0.2500000099341075,0.22762717225938103,1.369210124015808,-0.0005495446603617892,-0.2180327462037773,60,1.862645149230957e-09,0.0014974619261920452,183,manual_local_score_policy,evaluation
300,0.4800000290075938,0.454346225852496,1.3720968961715698,,,0,,,183,manual_local_shuffled_reward,baseline
300,0.0,0.0164237069930338,1.3667020797729492,-7.270053120009834e-05,0.00234434796587771,60,2.3283064365386963e-09,0.00026526430156081915,183,manual_local_shuffled_reward,evaluation
300,0.4266666869322459,0.39913881355828684,1.351287603378296,,,0,,,184,static_linear_policy,baseline
