strategy,runs,mean_baseline_fitness_per_1000_steps,mean_final_fitness_per_1000_steps,mean_fitness_gain_per_1000_steps,gain_std_per_1000_steps,gain_ci95_lower_per_1000_steps,positive_gain_seed_count,mean_final_shaped_reward_per_1000_steps,mean_final_policy_entropy,maximum_score_gradient_error,mean_policy_weight_delta_norm
static_linear_policy,10,-1.2756667214756212,-1.2756667214756212,0.0,0.0,0.0,0,-1.2822557881417742,1.3662646412849426,0.0,0.0
oracle_food_reflex,10,9.357667048772175,9.357667048772175,0.0,0.0,0.0,0,9.36001451241349,0.0,0.0,0.0
manual_local_score_policy,10,-1.2756667214756212,-0.48000002031524974,0.7956667011603713,1.3100071542264762,-0.01628414509997178,5,-0.4799912156912421,1.3666591763496398,3.725290298461914e-09,0.0018697098537813872
manual_local_shuffled_reward,10,-1.2756667214756212,-0.9900000483418504,0.28566667313377064,0.9725352524137469,-0.3171169213433341,4,-0.9876835382572706,1.3673875689506532,2.3283064365386963e-09,0.00044677493860945106
