seed,arm,dynamics,feature_source,channels,best_epoch,best_validation_accuracy,final_test_accuracy,checkpoint_test_accuracy,checkpoint_gain_vs_final,effective_trainable_parameters,parameter_ratio_vs_target,final_activity,checkpoint_activity,activity_kind,mean_leak,mean_threshold,train_seconds,checkpoint_test_examples_per_second,checkpoint_gain_vs_conv,checkpoint_gain_vs_state_only
142,temporal_conv1d,none,direct,35,15,0.9375,0.8378975265017667,0.8378975265017667,0.0,133055,0.9956896229168382,1.6679123842252859,1.6679123842252859,relu_activation,0.0,0.0,4.389464892999968,51710.820753339605,0.0,0.0
142,leaky_analog_state_only,analog,state_only,34,15,0.8884803921568627,0.7513250883392226,0.7513250883392226,0.0,129968,0.9725886957367676,0.8877260128937846,0.8877260128937846,analog_activation,0.903860330581665,0.0,11.066992089999985,30957.150941838678,-0.08657243816254412,0.0
142,leaky_lif_state_only,lif,state_only,34,10,0.875,0.7292402826855123,0.747791519434629,0.01855123674911663,130002,0.9728431277173709,0.29099815915414384,0.29855144613623197,spike_rate,0.917449951171875,0.8641627430915833,20.350014368999837,19874.478621995186,-0.09010600706713778,0.0
142,leaky_analog_residual,analog,direct_plus_state,32,10,0.9473039215686274,0.8242049469964664,0.833922261484099,0.009717314487632578,131924,0.9872260179150047,0.9199185769465281,0.915796847099129,analog_activation,0.9027999639511108,0.0,10.239435956998932,20837.769451186854,-0.003975265017667762,0.08259717314487636
142,leaky_lif_residual,lif,direct_plus_state,32,13,0.9534313725490197,0.8374558303886925,0.8237632508833922,-0.01369257950530034,131956,0.9874654833085137,0.26539962283292845,0.2594770529034281,spike_rate,0.9033269882202148,0.9735552072525024,20.444638673001464,19565.993425714136,-0.014134275618374548,0.07597173144876324
143,temporal_conv1d,none,direct,35,15,0.9338235294117647,0.8171378091872792,0.8171378091872792,0.0,133055,0.9956896229168382,1.6215625247348744,1.6215625247348744,relu_activation,0.0,0.0,4.081334595000953,52072.516038054666,0.0,0.0
143,leaky_analog_state_only,analog,state_only,34,11,0.8811274509803921,0.7654593639575972,0.7862190812720848,0.02075971731448767,129968,0.9725886957367676,0.8833341385787452,0.8845051173186554,analog_activation,0.902086079120636,0.0,10.709281059000205,30994.342875199134,-0.030918727915194344,0.0
143,leaky_lif_state_only,lif,state_only,34,14,0.8823529411764706,0.7151060070671378,0.7632508833922261,0.04814487632508835,130002,0.9728431277173709,0.2885619382976222,0.3048923138805497,spike_rate,0.9158086180686951,0.866669774055481,19.813648770999862,15787.351515819146,-0.05388692579505305,0.0
143,leaky_analog_residual,analog,direct_plus_state,32,15,0.9522058823529411,0.8423144876325088,0.8423144876325088,0.0,131924,0.9872260179150047,0.9264081811315179,0.9264081811315179,analog_activation,0.9028187394142151,0.0,10.559340912001062,30609.72034719093,0.02517667844522964,0.05609540636042398
143,leaky_lif_residual,lif,direct_plus_state,32,14,0.9497549019607843,0.8498233215547704,0.8590989399293286,0.009275618374558259,131956,0.9874654833085137,0.22940936384479063,0.22546969096146707,spike_rate,0.9020362496376038,0.9768065214157104,20.469490655999834,19838.30519444425,0.041961130742049435,0.09584805653710249
144,temporal_conv1d,none,direct,35,13,0.9350490196078431,0.8303886925795053,0.8308303886925795,0.0004416961130742081,133055,0.9956896229168382,1.6873280808276927,1.5785218056014907,relu_activation,0.0,0.0,4.17669564300013,51560.876873465255,0.0,0.0
144,leaky_analog_state_only,analog,state_only,34,14,0.8884803921568627,0.7712014134275619,0.7787102473498233,0.007508833922261426,129968,0.9725886957367676,0.8867938714398091,0.8895939946595856,analog_activation,0.9049743413925171,0.0,10.598329491000186,29928.596371202446,-0.05212014134275622,0.0
144,leaky_lif_state_only,lif,state_only,34,15,0.8762254901960784,0.7473498233215548,0.7473498233215548,0.0,130002,0.9728431277173709,0.2230762238005446,0.2230762238005446,spike_rate,0.9157852530479431,0.8553215861320496,19.284270208001544,20193.41689967411,-0.08348056537102477,0.0
144,leaky_analog_residual,analog,direct_plus_state,32,11,0.9497549019607843,0.8109540636042403,0.8180212014134276,0.007067137809187329,131924,0.9872260179150047,0.9233899297646836,0.9205263174885996,analog_activation,0.903205156326294,0.0,11.044948087001103,30666.289477873062,-0.012809187279151923,0.0393109540636043
144,leaky_lif_residual,lif,direct_plus_state,32,11,0.9632352941176471,0.8312720848056537,0.8312720848056537,0.0,131956,0.9874654833085137,0.301416193217355,0.2871399969389076,spike_rate,0.9032957553863525,0.975340723991394,20.453204831999756,19357.146927095335,0.0004416961130742081,0.08392226148409898
