arm,dynamics,feature_source,runs,mean_checkpoint_test_accuracy,std_checkpoint_test_accuracy,mean_gain_vs_conv,within_two_points_seed_count_vs_conv,mean_gain_vs_state_only,four_point_seed_count_vs_state_only,mean_checkpoint_gain_vs_final,mean_best_validation_accuracy,channels,effective_trainable_parameters,parameter_ratio_vs_target,mean_checkpoint_activity,activity_kind,mean_leak,mean_threshold,mean_train_seconds,mean_checkpoint_test_examples_per_second
temporal_conv1d,none,direct,3,0.8286219081272085,0.008617791888493433,0.0,3,0.0,0,0.0001472320376914027,0.9354575163398694,35,133055,0.9956896229168382,1.6226655715205502,relu_activation,0.0,0.0,4.215831710333684,51781.40455495318
leaky_analog_state_only,analog,state_only,3,0.7720848056537103,0.014996000443476133,-0.056537102473498226,0,0.0,0,0.009422850412249698,0.886029411764706,34,129968,0.9725886957367676,0.8872750416240085,analog_activation,0.9036402503649393,0.0,10.791534213333458,30626.69672941342
leaky_lif_state_only,lif,state_only,3,0.7527974087161367,0.00739392198438735,-0.07582449941107187,0,0.0,0,0.022232037691401658,0.8778594771241831,34,130002,0.9728431277173709,0.2755066612724421,spike_rate,0.9163479407628378,0.8620513677597046,19.81597778266708,18618.415679162816
leaky_analog_residual,analog,direct_plus_state,3,0.8314193168433451,0.010074373023884553,0.002797408716136651,3,0.05933451118963488,2,0.005594817432273302,0.9497549019607843,32,131924,0.9872260179150047,0.9209104485730822,analog_activation,0.9029412865638733,0.0,10.614574985333698,27371.259758750282
leaky_lif_residual,lif,direct_plus_state,3,0.8380447585394583,0.01519988074988751,0.009422850412249698,3,0.08524734982332156,3,-0.001472320376914027,0.9554738562091503,32,131956,0.9874654833085138,0.2573622469346009,spike_rate,0.9028863310813904,0.9752341508865356,20.455778053667018,19587.14851575124
