seed,arm,hidden_neurons,delay_pattern,train_accuracy,test_accuracy,active_edges,delayed_edges,effective_trainable_parameters,allocated_trainable_parameters,initial_hidden_event_rate,final_hidden_event_rate,event_rate_ratio,mean_absolute_ltw_change,lower_ltw_saturation_rate,upper_ltw_saturation_rate,train_seconds,inference_seconds,test_examples_per_second,gain_vs_128_no_delay,gain_vs_256_no_delay,gain_vs_same_scale_no_delay,is_delay_anchor
42,event_count_mlp,0,none,0.6868563021088769,0.5225265017667845,0,0,92308,92308,0.0,0.0,0.0,0.0,0.0,0.0,2.6418290480000906,0.034798073999809276,65061.07205854004,0.0931978798586573,-0.007950530035335635,0.0,False
42,sparse128_mlp_no_delay,128,none,0.44004413928396274,0.4293286219081272,1212,0,36688,37524,0.359939846048928,0.3561940536482174,0.9895932822058233,0.025758927688002586,0.0,0.0008250825339928269,34.726343101999646,0.2840335310002047,7970.889887639247,0.0,-0.10114840989399293,0.0,False
42,sparse192_mlp_no_delay,192,none,0.5228052967140755,0.49734982332155475,1468,0,53328,53908,0.2905757719973372,0.2912243709968594,1.0022321165837877,0.0250040665268898,0.0,0.003405994502827525,34.12892604000035,0.26854613999967114,8430.581053977437,0.06802120141342755,-0.033127208480565384,0.0,False
42,sparse256_mlp_no_delay,256,none,0.5761402648357038,0.5304770318021201,1724,0,69968,70292,0.24086292461877157,0.2439775503776941,1.0129311132622518,0.0241671334952116,0.0,0.0017401392105966806,33.7440184850002,0.27731919600000765,8163.877699976952,0.10114840989399293,0.0,0.0,False
42,sparse384_mlp_no_delay,384,none,0.6609857773418343,0.5697879858657244,2236,0,103248,105108,0.17059890773186837,0.17642684881131135,1.0341616552938475,0.02100474014878273,0.0,0.001788908732123673,34.33610291700006,0.2668151799998668,8485.274338593217,0.14045936395759723,0.0393109540636043,0.0,False
42,sparse512_mlp_no_delay,512,none,0.6905345757724375,0.6060070671378092,2748,0,136528,137876,0.13302019238471985,0.14073739245586597,1.0580152526680047,0.020944396033883095,0.0,0.0014556040987372398,33.5343555139998,0.41847225199990135,5410.155605730661,0.17667844522968196,0.07553003533568903,0.0,False
42,sparse256_mlp_distance012,256,distance_0_2,0.5823933300637567,0.5468197879858657,1724,689,69968,70292,0.24347759604243424,0.24437543855117824,1.003687577515705,0.023270780220627785,0.0,0.002320185536518693,52.40344082199999,0.4264458359998571,5308.997787941254,0.11749116607773852,0.016342756183745588,0.016342756183745588,True
43,event_count_mlp,0,none,0.6733692986758215,0.5335689045936396,0,0,92308,92308,0.0,0.0,0.0,0.0,0.0,0.0,2.467633131000184,0.03294208699981027,68726.67175012437,0.1311837455830389,0.06890459363957596,0.0,False
43,sparse128_mlp_no_delay,128,none,0.44445806768023544,0.4023851590106007,1212,0,36688,37524,0.35839137350712563,0.35541612678618817,0.9916983305378629,0.02913135476410389,0.0,0.0033003301359713078,33.0519551780003,0.35062644600020576,6457.014369072068,0.0,-0.06227915194346295,0.0,False
43,sparse192_mlp_no_delay,192,none,0.5052721922511035,0.446113074204947,1468,0,53328,53908,0.287302879162475,0.2858657523094555,0.9949978682524557,0.02624407783150673,0.0,0.003405994502827525,33.621255176999966,0.26848501100039357,8432.500539095947,0.04372791519434632,-0.01855123674911663,0.0,False
43,sparse256_mlp_no_delay,256,none,0.5223148602256008,0.46466431095406363,1724,0,69968,70292,0.2304411446774385,0.23268418609042893,1.0097336845645777,0.02532297745347023,0.0005800463841296732,0.0029002318624407053,34.47686110099994,0.28604091400029574,7914.951635197402,0.06227915194346295,0.0,0.0,False
43,sparse384_mlp_no_delay,384,none,0.6487248651299656,0.5856890459363958,2236,0,103248,105108,0.1746579278063016,0.18131644054984036,1.0381231635298178,0.02360626682639122,0.00044722718303091824,0.001788908732123673,33.19029522699975,0.346171454999876,6540.111748962117,0.18330388692579513,0.12102473498233218,0.0,False
43,sparse512_mlp_no_delay,512,none,0.6765571358509073,0.6219081272084805,2748,0,136528,137876,0.130065985892771,0.1391042164484098,1.0694895786442593,0.024415992200374603,0.0,0.0014556040987372398,33.884175990999665,0.26712820200009446,8475.331256859205,0.21952296819787986,0.1572438162544169,0.0,False
43,sparse256_mlp_distance012,256,distance_0_2,0.5769985286905346,0.5304770318021201,1724,679,69968,70292,0.23287761732672635,0.23435502333480984,1.0063441305568268,0.022609079256653786,0.0005800463841296732,0.002320185536518693,52.8929117280004,0.4124411949997011,5489.267385139937,0.12809187279151946,0.0658127208480565,0.0658127208480565,True
44,event_count_mlp,0,none,0.693477194703286,0.5013250883392226,0,0,92308,92308,0.0,0.0,0.0,0.0,0.0,0.0,2.4335711660000925,0.035589585000252555,63614.11632037671,0.054328621908127206,-0.06139575971731448,0.0,False
44,sparse128_mlp_no_delay,128,none,0.48847474252084355,0.4469964664310954,1212,0,36688,37524,0.343768547364764,0.34042293802166995,0.9902678433825882,0.025356760248541832,0.0,0.004950495436787605,33.907855817999916,0.28407855099976587,7969.626682592681,0.0,-0.11572438162544169,0.0,False
44,sparse192_mlp_no_delay,192,none,0.575649828347229,0.5216431095406361,1468,0,53328,53908,0.2842371023585855,0.2842627639484068,1.0000902823368532,0.02369312010705471,0.0,0.002043596701696515,33.45571173999997,0.2655992279997008,8524.121161988282,0.07464664310954067,-0.04107773851590102,0.0,False
44,sparse256_mlp_no_delay,256,none,0.640387444825895,0.5627208480565371,1724,0,69968,70292,0.22512049088419114,0.22708849672083298,1.0087420111288503,0.021512256935238838,0.0,0.002320185536518693,33.118975288,0.268727215999661,8424.900289976049,0.11572438162544169,0.0,0.0,False
