arm,hidden_neurons,delay_pattern,seeds,mean_test_accuracy,std_test_accuracy,mean_gain_vs_128_no_delay,improved_seed_count_vs_128,primary_gain_seed_count_vs_128,mean_gain_vs_256_no_delay,mean_gain_vs_same_scale_no_delay,improved_seed_count_vs_256,practical_seed_count_vs_256,mean_final_hidden_event_rate,active_edges,effective_trainable_parameters,accuracy_per_1k_effective_parameters,mean_absolute_ltw_change,mean_upper_ltw_saturation_rate,mean_train_seconds,mean_test_examples_per_second
event_count_mlp,0,none,3,0.5191401648998822,0.013379496245979195,0.09290341578327448,3,2,-0.00014723203769138418,0.0,1,1,0.0,0,92308,0.005623999706416369,0.0,0.0,2.5143444483334556,65800.62004301371
sparse128_mlp_no_delay,128,none,3,0.42623674911660775,0.018343244814021244,0.0,0,0,-0.09305064782096585,0.0,0,0,0.35067770615202515,1212,36688,0.01161787911896554,0.026749014233549435,0.00302530270225058,33.895384699333285,7465.843646434666
sparse192_mlp_no_delay,192,none,3,0.48836866902237924,0.03148218976778044,0.062131919905771514,3,0,-0.030918727915194344,0.0,0,0,0.28711762908490723,1468,53328,0.00915782832700231,0.024980421488483746,0.002951861902450522,33.73529765233343,8462.40091835389
sparse256_mlp_no_delay,256,none,3,0.5192873969375736,0.04080585794085285,0.09305064782096585,3,2,0.0,0.0,0,0,0.23458341106298533,1724,69968,0.007421784200456975,0.02366745596130689,0.002320185536518693,33.779951624666715,8167.909875050133
sparse384_mlp_no_delay,384,none,3,0.5775912838633687,0.00649491902241248,0.15135453474676094,3,3,0.05830388692579508,0.0,3,2,0.17785674366920098,2236,103248,0.005594212806672949,0.02250884473323822,0.001788908732123673,33.9176684746667,7797.103107734489
sparse512_mlp_no_delay,512,none,3,0.6061542991755006,0.012803262781101098,0.1799175500588928,3,3,0.08686690223792694,0.0,3,3,0.13999576399758792,2748,136528,0.004439780112324949,0.022741212820013363,0.0016982047818601131,33.75994372666643,6494.902639977093
sparse256_mlp_distance012,256,distance_0_2,3,0.5468197879858657,0.013343804546963725,0.12058303886925796,3,3,0.0275323910482921,0.0275323910482921,3,1,0.23581170767229775,1724,69968,0.007815283958178963,0.022378661359349888,0.0027068831647435823,52.51021598266683,5424.511641255657
