arm,classifier,schedule,scope,seeds,mean_test_accuracy,std_test_accuracy,mean_accuracy_gain_vs_frozen,improved_seed_count,practical_gain_seed_count,active_edges,scope_trainable_edges,effective_trainable_parameters,mean_event_rate_ratio,mean_absolute_ltw_change,mean_sensor_ltw_change,mean_recurrent_ltw_change,mean_lower_ltw_saturation_rate,mean_upper_ltw_saturation_rate,mean_train_seconds,mean_end_to_end_examples_per_second
raw,linear,raw,none,3,0.8593999999999999,0.001177568115510388,0.42086666666666667,3,3,0,0,650,0.0,0.0,0.0,0.0,0.0,0.0,0.7313239396662539,2266483.141719569
raw,mlp,raw,none,3,0.9420666666666667,0.0006182412330330308,0.3867333333333334,3,3,0,0,17785,0.0,0.0,0.0,0.0,0.0,0.0,0.8722332876668588,1611552.0395956475
frozen_recurrent,linear,frozen,none,3,0.4385333333333333,0.010172293524842654,0.0,0,0,272,0,1290,1.0,0.0,0.0,0.0,0.0,0.0,3.0142463163335074,116837.15393698697
frozen_recurrent,mlp,frozen,none,3,0.5553333333333333,0.004619764303752117,0.0,0,0,272,0,17802,1.0,0.0,0.0,0.0,0.0,0.0,3.1080209349999373,135023.9074028832
warm_all_3em4,linear,warmup,all,3,0.45966666666666667,0.013398839087357114,0.021133333333333337,3,3,272,272,1562,1.2851577378611054,0.0199147363503774,0.10044868538777034,0.014881365622083345,0.0,0.006127451080828905,5.7073123323334585,120024.319640449
warm_all_3em4,mlp,warmup,all,3,0.5642666666666667,0.008212727250365067,0.008933333333333349,3,2,272,272,18074,1.086726245443448,0.00660209155951937,0.04576173424720764,0.0041546139400452375,0.0,0.002450980401287476,6.042680773333511,121421.79862626665
warm_recurrent_3em4,linear,warmup,recurrent,3,0.44353333333333333,0.008962638500402033,0.0050000000000000044,2,2,272,256,1546,1.0160581207098993,0.013695453604062399,0.0,0.014551419454316298,0.0,0.0,5.779500727333773,125226.3280202305
warm_recurrent_3em4,mlp,warmup,recurrent,3,0.5553333333333333,0.004073764297987281,3.700743415417188e-17,1,0,272,256,18058,1.0022978790153818,0.003698082330326239,0.0,0.003929212378958861,0.0,0.0,5.9342773723334785,129820.50444702995
