world,group,neuron_count,hidden_neurons,max_edges,seed,generation,epoch_best_fitness,all_time_best_fitness,selection_best_fitness,mean_population_fitness,selection_mean_fitness,mean_active_synapses,active_edge_utilization,fitness_per_active_synapse,mean_hidden_edges,mean_hidden_edge_fraction,mean_direct_sensor_motor_fraction,sprout_count,prune_count,low_ltw_prune_count,ltw_mutation_count
delayed_reward,low_ltw_pruning,32,20,256,42,1,7.0,7.0,7.0,-0.6043999791145325,-0.6043999791145325,10.42859935760498,0.040736716240644455,0.671231079070585,2.134500026702881,0.15817715227603912,0.8230056166648865,24706,420,0,40000
delayed_reward,low_ltw_pruning,32,20,256,42,2,10.0,10.0,10.0,-1.0724999904632568,-1.0724999904632568,12.736199378967285,0.04975077882409096,0.7851635878529133,4.161600112915039,0.27221181988716125,0.6949257850646973,24616,1096,580,51921
delayed_reward,low_ltw_pruning,32,20,256,42,3,13.0,13.0,13.0,-0.29649999737739563,-0.29649999737739563,14.988199234008789,0.05854765325784683,0.8673490255255287,6.145099639892578,0.3588520884513855,0.5987792611122131,24288,1646,1030,63620
delayed_reward,low_ltw_pruning,32,20,256,42,4,14.0,14.0,14.0,-0.5291999578475952,-0.5291999578475952,17.1560001373291,0.0670156255364418,0.816041028674156,8.060999870300293,0.4249127209186554,0.5255981087684631,23898,2362,1608,75012
delayed_reward,low_ltw_pruning,32,20,256,42,5,12.0,14.0,12.0,-0.6195999979972839,-0.6195999979972839,19.221399307250977,0.07508359104394913,0.624304183487473,9.892399787902832,0.47535955905914307,0.4694625735282898,23957,2953,2093,85605
delayed_reward,low_ltw_pruning,32,20,256,42,6,12.0,14.0,12.0,-0.4465999901294708,-0.4465999901294708,21.303699493408203,0.0832175761461258,0.5632824479012691,11.726499557495117,0.5168642401695251,0.42250749468803406,23978,3437,2465,96248
delayed_reward,low_ltw_pruning,32,20,256,42,7,14.0,14.0,14.0,-0.06319999694824219,-0.06319999694824219,23.319198608398438,0.0910906195640564,0.6003636846661567,13.515299797058105,0.5514913201332092,0.3840559720993042,23484,3932,2901,106820
delayed_reward,low_ltw_pruning,32,20,256,42,8,14.0,14.0,14.0,-0.4569999873638153,-0.4569999873638153,25.14539909362793,0.0982242152094841,0.5567618930155587,15.12239933013916,0.5773463845252991,0.3552473485469818,23210,4492,3365,116368
delayed_reward,low_ltw_pruning,32,20,256,42,9,15.0,15.0,15.0,-0.22199998795986176,-0.22199998795986176,26.99959945678711,0.10546718537807465,0.5555637973077163,16.79360008239746,0.6018128395080566,0.32888177037239075,23243,4891,3647,125822
delayed_reward,low_ltw_pruning,32,20,256,42,10,15.0,15.0,15.0,-0.43050000071525574,-0.43050000071525574,28.678998947143555,0.11202733963727951,0.5230308082804964,18.291500091552734,0.6200527548789978,0.3084079921245575,22888,5292,3985,134597
