group,neuron_count,hidden_neurons,max_edges,seeds,final_mean_best_fitness,final_std_best_fitness,final_mean_selection_best_fitness,final_mean_active_synapses,final_active_edge_utilization,final_fitness_per_active_synapse,final_mean_hidden_edge_fraction,final_mean_direct_sensor_motor_fraction,threshold_success_rate,mean_generation_to_threshold
gentle_ltw_scheduled,16,4,128,10,25.4,1.2649110640673518,17.0,62.09585876464844,0.48512389659881594,0.2737892332717614,0.4425119191408157,0.14779848456382752,0.8,300.625
gentle_ltw_scheduled,32,20,256,10,23.7,0.48304589153964794,17.2,81.45065841674804,0.31816663444042204,0.21115005536677006,0.8459873259067535,0.05069571435451507,0.0,
gentle_ltw_scheduled,64,52,512,10,23.5,1.0801234497346435,15.3,131.3316452026367,0.2565071195363998,0.11650007283332531,0.9407554984092712,0.030392014235258103,0.2,287.5
low_ltw_pruning,16,4,128,10,25.0,1.4142135623730951,17.4,52.578878784179686,0.4107724905014038,0.3308971549032422,0.43508159220218656,0.15115925669670105,0.7,165.71428571428572
low_ltw_pruning,32,20,256,10,24.4,0.8432740427115678,16.5,104.72374572753907,0.4090771317481995,0.1575610410387492,0.8548653185367584,0.0439893800765276,0.4,163.0
low_ltw_pruning,64,52,512,10,24.6,0.8432740427115678,16.7,207.7074447631836,0.40567860305309295,0.08041230505882374,0.960502415895462,0.013939637690782547,0.6,167.33333333333334
