arm,model_kind,runs,mean_checkpoint_test_accuracy,std_checkpoint_test_accuracy,mean_gain_vs_conv_ann,within_two_points_seed_count_vs_ann,mean_gain_vs_conv_analog,within_two_points_seed_count_vs_analog,mean_gain_vs_dense_lif,three_point_seed_count_vs_dense_lif,mean_checkpoint_gain_vs_final,mean_best_epoch,mean_best_validation_accuracy,channels,effective_trainable_parameters,parameter_ratio_vs_target,mean_checkpoint_activity,activity_kind,mean_leak,mean_threshold,mean_train_seconds,mean_checkpoint_test_examples_per_second
raw_temporal_pyramid,raw,3,0.8037396937573615,0.0183763042418978,-0.025471142520612517,2,0.03901648998822138,3,0.052709069493521755,3,0.02282096584216727,13.666666666666666,0.9183006535947712,92,132944,0.9948589773331037,0.09931821886831797,input_event_rate,0.0,0.0,4.871284982333236,39960.5997350129
temporal_conv1d,conv_ann,3,0.8292108362779741,0.009983591583135838,0.0,3,0.0644876325088339,3,0.07818021201413428,3,0.0001472320376914027,14.333333333333334,0.9358660130718954,35,133055,0.9956896229168382,1.6218768978849036,relu_activation,0.0,0.0,4.139821952666655,49966.08660535293
temporal_conv_leaky_analog,conv_analog,3,0.7647232037691403,0.011798790052796902,-0.0644876325088339,0,0.0,3,0.013692579505300376,1,0.0027974087161366143,13.333333333333334,0.8876633986928105,34,129968,0.9725886957367676,0.8862881048969723,analog_activation,0.9034362037976583,0.0,10.764770203334288,31154.59344221657
temporal_conv_leaky_lif,conv_lif,3,0.7430800942285041,0.013074669183918319,-0.08613074204946998,0,-0.021643109540636085,2,-0.007950530035335709,0,-0.005447585394581862,14.333333333333334,0.8762254901960785,34,130002,0.9728431277173709,0.289633976890145,spike_rate,0.9163570006688436,0.8575848738352457,20.64522787333408,19954.428712363773
dense_lif_recurrent,dense_lif,3,0.7510306242638398,0.02354516038863874,-0.07818021201413428,0,-0.013692579505300376,1,0.0,0,0.017962308598351018,12.666666666666666,0.8741830065359477,128,133353,0.9979196443938907,0.21661405732199215,hidden_spike_rate,0.0,0.0,26.711316758666726,11835.266998681034
