seed,arm,model_kind,channels,best_epoch,best_validation_accuracy,final_test_accuracy,checkpoint_test_accuracy,checkpoint_gain_vs_final,effective_trainable_parameters,parameter_ratio_vs_target,final_activity,checkpoint_activity,activity_kind,mean_leak,mean_threshold,train_seconds,checkpoint_test_examples_per_second,checkpoint_gain_vs_conv_ann,checkpoint_gain_vs_conv_analog,checkpoint_gain_vs_dense_lif
142,raw_temporal_pyramid,raw,92,14,0.9313725490196079,0.7742932862190812,0.7791519434628975,0.004858657243816289,132944,0.9948589773331038,0.09931821886831796,0.09931821886831796,input_event_rate,0.0,0.0,4.915966054000819,43227.65965386755,-0.06139575971731448,0.023851590106007015,0.05918727915194344
142,temporal_conv1d,conv_ann,35,15,0.9375,0.840547703180212,0.840547703180212,0.0,133055,0.9956896229168382,1.6679216644367987,1.6679216644367987,relu_activation,0.0,0.0,4.177818651000052,50923.81170200941,0.0,0.0852473498233215,0.12058303886925792
142,temporal_conv_leaky_analog,conv_analog,34,15,0.8897058823529411,0.7553003533568905,0.7553003533568905,0.0,129968,0.9725886957367676,0.8881677557638593,0.8881677557638593,analog_activation,0.9040388464927673,0.0,10.693019980999452,30027.310927526476,-0.0852473498233215,0.0,0.035335689045936425
142,temporal_conv_leaky_lif,conv_lif,34,15,0.8799019607843137,0.7354240282685512,0.7354240282685512,0.0,130002,0.9728431277173709,0.32758242081416367,0.32758242081416367,spike_rate,0.9186801314353943,0.8434237241744995,20.525601012999687,19093.463278782183,-0.10512367491166075,-0.019876325088339253,0.015459363957597172
142,dense_lif_recurrent,dense_lif,128,11,0.8602941176470589,0.7310070671378092,0.7199646643109541,-0.011042402826855091,133353,0.9979196443938907,0.20464047247234587,0.21415877589699236,hidden_spike_rate,0.0,0.0,26.74942135299898,11683.5286114717,-0.12058303886925792,-0.035335689045936425,0.0
143,raw_temporal_pyramid,raw,92,13,0.9068627450980392,0.7782685512367491,0.8087455830388692,0.030477031802120136,132944,0.9948589773331038,0.09931821886831796,0.09931821886831796,input_event_rate,0.0,0.0,4.882365642999503,42138.43708780042,-0.0075088339222615375,0.051236749116607694,0.03180212014134276
143,temporal_conv1d,conv_ann,35,15,0.9350490196078431,0.8162544169611308,0.8162544169611308,0.0,133055,0.9956896229168382,1.6191869312798597,1.6191869312798597,relu_activation,0.0,0.0,4.056965752999531,47759.23136846308,0.0,0.05874558303886923,0.0393109540636043
143,temporal_conv_leaky_analog,conv_analog,34,11,0.8799019607843137,0.7570671378091873,0.7575088339222615,0.0004416961130742081,129968,0.9725886957367676,0.8866470479291235,0.8823567121273216,analog_activation,0.9023326635360718,0.0,10.88621511600104,31336.9777606873,-0.05874558303886923,0.0,-0.019434628975264934
143,temporal_conv_leaky_lif,conv_lif,34,14,0.8688725490196079,0.7495583038869258,0.7323321554770318,-0.017226148409894004,130002,0.9728431277173709,0.288995311243374,0.2933239833626225,spike_rate,0.9152923226356506,0.8694216012954712,20.868685233999713,20139.706761610374,-0.08392226148409898,-0.02517667844522975,-0.044611307420494684
143,dense_lif_recurrent,dense_lif,128,13,0.883578431372549,0.6996466431095406,0.7769434628975265,0.07729681978798586,133353,0.9979196443938907,0.21624302911463558,0.214125617232845,hidden_spike_rate,0.0,0.0,26.701897538001504,11904.765598126,-0.0393109540636043,0.019434628975264934,0.0
144,raw_temporal_pyramid,raw,92,14,0.9166666666666666,0.7901943462897526,0.823321554770318,0.033127208480565384,132944,0.9948589773331038,0.09931821886831796,0.09931821886831796,input_event_rate,0.0,0.0,4.815523249999387,34515.70246337071,-0.0075088339222615375,0.041961130742049435,0.06713780918727907
144,temporal_conv1d,conv_ann,35,13,0.9350490196078431,0.8303886925795053,0.8308303886925795,0.0004416961130742081,133055,0.9956896229168382,1.6873283596847588,1.5785220979380523,relu_activation,0.0,0.0,4.184681454000383,51215.216745586295,0.0,0.04946996466431097,0.07464664310954061
144,temporal_conv_leaky_analog,conv_analog,34,14,0.8933823529411765,0.7734098939929329,0.7813604240282686,0.007950530035335635,129968,0.9725886957367676,0.8885169981225219,0.8883398467997359,analog_activation,0.9039371013641357,0.0,10.715075513002375,32099.491638435928,-0.04946996466431097,0.0,0.02517667844522964
144,temporal_conv_leaky_lif,conv_lif,34,14,0.8799019607843137,0.7606007067137809,0.7614840989399293,0.0008833922261484162,130002,0.9728431277173709,0.24917019556141573,0.24799552649364875,spike_rate,0.9150985479354858,0.8599092960357666,20.541397373002837,20630.116096698755,-0.06934628975265023,-0.019876325088339253,0.005300353356890386
144,dense_lif_recurrent,dense_lif,128,14,0.8786764705882353,0.7685512367491166,0.7561837455830389,-0.012367491166077715,133353,0.9979196443938907,0.20889039664091574,0.2215577788361391,hidden_spike_rate,0.0,0.0,26.682631384999695,11917.506786445403,-0.07464664310954061,-0.02517667844522964,0.0
