arm,model_kind,conventional,causal_state,runs,mean_full_accuracy,std_full_accuracy,mean_gain_vs_tcn,mean_state_contribution_vs_direct_only,half_point_seed_count_state_contribution,mean_state_specificity_vs_shuffled,half_point_seed_count_state_specificity,mean_state_temporal_order_vs_reversed,half_point_seed_count_temporal_order,mean_future_alignment_margin,alignment_seed_count,mean_activity,activity_kind,mean_absolute_gate,effective_trainable_parameters,mean_test_examples_per_second,mean_train_seconds
lif_pooled_predictive,pooled_predictive,False,True,3,0.6068426389297746,0.0028287738391845093,0.015356687273084146,0.002207830438622308,0,-0.020688188924868383,0,0.002027933143623447,0,0.3093613259684633,3,0.06605453677730116,spike_rate,0.251223886348457,134214,14071.122381218933,269.6963367330006
dilated_tcn,tcn,True,False,3,0.5914859516566905,0.005846153137807525,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.3822082814168046,relu_activation,0.0,131971,53166.90093579383,46.634254026332805
analog_time_local_binding,time_local_binding,False,True,3,0.5869231020835377,0.021758213959423206,-0.004562849573152783,0.005020769960422593,1,0.0011775095672652187,0,0.0056095247440552205,2,0.24914341413574706,3,0.8457972979894959,analog_activation,0.45085146452850067,134182,21207.45821197599,148.37861935799992
