strategy,runs,mean_source_initial_accuracy,mean_shifted_initial_accuracy,mean_shift_drop,mean_source_final_accuracy,mean_shifted_final_accuracy,mean_adaptation_gain,two_point_gain_seed_count,mean_forgetting,mean_adaptation_auc,mean_activity,mean_fast_weight_contribution,fast_weight_contribution_seed_count,mean_class_specificity,class_specificity_seed_count,mean_test_examples_per_second,mean_cumulative_adaptation_seconds,mean_active_fast_synapses,mean_absolute_fast_weight,adaptation_trainable_parameters
dropout_tcn_full_finetune,3,0.6006770680011775,0.565793347070945,0.03488372093023251,0.5960651555293887,0.5984855918621005,0.03269224479115559,3,0.004611912471788826,0.5851739586399765,0.3266148835140843,0.0,0,0.0,0,9011.998603223909,1.3911437466655723,0.0,0.0,131971
dropout_tcn_readout,3,0.6006770680011775,0.565793347070945,0.03488372093023251,0.5951820233539397,0.586285284401269,0.020491937330324134,2,0.00549504464723775,0.5768105231740425,0.3014900753264751,0.0,0,0.0,0,9086.51008066638,1.370077278333459,0.0,0.0,16835
analog_three_factor_readout,3,0.6006770680011775,0.565793347070945,0.03488372093023251,0.6006770680011775,0.5699964020541001,0.0042030549831550594,0,0.0,0.5679785625797272,0.6490565605725522,0.0042030549831550594,0,0.004628266771334211,1,7375.869816904793,1.5270093853335613,16792.333333333332,0.0031539370926717916,0
spiking_three_factor_readout,3,0.6006770680011775,0.565793347070945,0.03488372093023251,0.6006770680011775,0.5698982762568279,0.004104929185882937,0,0.0,0.5679139119893369,0.20000001776588058,0.004104929185882937,0,0.0046773296699702165,1,10806.802748720294,1.2425059319994034,16768.333333333332,0.0031653110248347125,0
dropout_tcn_static,3,0.6006770680011775,0.565793347070945,0.03488372093023251,0.6006770680011775,0.565793347070945,0.0,0,0.0,0.565793347070945,0.3014900753264751,0.0,0,0.0,0,9023.791908315203,0.0,0.0,0.0,0
