seed,strategy,adaptation_samples,source_accuracy,shifted_accuracy,activity,state_contribution,state_specificity,mean_absolute_gate,test_examples_per_second,cumulative_adaptation_seconds,adaptation_trainable_parameters,fast_weight_contribution,class_specificity,active_fast_synapses,mean_absolute_fast_weight
160,dropout_tcn_static,0,0.5981257972721028,0.5650083406927682,0.30082312671970474,,,0.0,11189.59589857272,0.0,0,,,0,0.0
160,dropout_tcn_static,64,0.5981257972721028,0.5650083406927682,0.30082312671970474,,,0.0,11206.412116583553,0.0,0,,,0,0.0
160,dropout_tcn_static,256,0.5981257972721028,0.5650083406927682,0.30082312671970474,,,0.0,11151.302383507536,0.0,0,,,0,0.0
160,dropout_tcn_static,1024,0.5981257972721028,0.5650083406927682,0.30082312671970474,,,0.0,10266.588207406798,0.0,0,,,0,0.0
160,dropout_tcn_static,4096,0.5981257972721028,0.5650083406927682,0.30082312671970474,,,0.0,6538.089041272571,0.0,0,,,0,0.0
160,dropout_tcn_readout,0,0.5981257972721028,0.5650083406927682,0.30082312671970474,,,0.0,11048.17231061592,0.0,16835,,,0,0.0
160,dropout_tcn_readout,64,0.5959179668334805,0.5602983024237072,0.30082312671970474,,,0.0,11969.68120975757,0.024412947001110297,16835,,,0,0.0
160,dropout_tcn_readout,256,0.5938082621921303,0.5614267490923364,0.30082312671970474,,,0.0,11724.504651332656,0.08186885400209576,16835,,,0,0.0
160,dropout_tcn_readout,1024,0.6000883132175449,0.5766853105681483,0.30082312671970474,,,0.0,12059.995491860796,0.360169453000708,16835,,,0,0.0
160,dropout_tcn_readout,4096,0.6020508291629869,0.58586007261309,0.30082312671970474,,,0.0,6916.088436613422,1.6457519340019644,16835,,,0,0.0
160,dropout_tcn_full_finetune,0,0.5981257972721028,0.5650083406927682,0.30082312671970474,,,0.0,12057.040370821323,0.0,131971,,,0,0.0
160,dropout_tcn_full_finetune,64,0.5885094691394368,0.5626042586596016,0.30693689696969634,,,0.0,12090.46640054127,0.027291459000480245,131971,,,0,0.0
160,dropout_tcn_full_finetune,256,0.5885094691394368,0.5760474928858798,0.31386420616176197,,,0.0,12089.98714453714,0.09009769500153197,131971,,,0,0.0
160,dropout_tcn_full_finetune,1024,0.6000883132175449,0.586841330585811,0.32664347913534036,,,0.0,12095.62212766822,0.39143374700142886,131971,,,0,0.0
160,dropout_tcn_full_finetune,4096,0.6039152193111569,0.6009223824943578,0.34505977820758205,,,0.0,6871.422148008681,1.5922867130011582,131971,,,0,0.0
160,analog_three_factor_readout,0,0.5981257972721028,0.5650083406927682,0.6702695545662656,,,0.0,9972.648828957754,0.0,0,0.0,0.0,0,0.0
160,analog_three_factor_readout,64,0.5981257972721028,0.5653517809832205,0.6702695545662656,,,0.0,10070.67022421494,0.050985391999347485,0,0.0003434402904523015,9.812579727208615e-05,16749,0.0006098160520195961
160,analog_three_factor_readout,256,0.5981257972721028,0.5654499067804926,0.6702695545662656,,,0.0,8831.468488879216,0.1578950849998364,0,0.00044156608772438766,0.00014718869590812922,16770,0.0008203412871807814
160,analog_three_factor_readout,1024,0.5981257972721028,0.5660386615641252,0.6702695545662656,,,0.0,10487.14773957783,0.4001365990006889,0,0.0010303208713570156,0.0011775095672652558,16786,0.001392050413414836
160,analog_three_factor_readout,4096,0.5981257972721028,0.5698655676577372,0.6702695545662656,,,0.0,8862.523444495102,1.8435979310015682,0,0.004857226964969041,0.005740359140418039,16794,0.0033454117365181446
160,spiking_three_factor_readout,0,0.5981257972721028,0.5650083406927682,0.20000001776588056,,,0.0,11422.816367191379,0.0,0,0.0,0.0,0,0.0
160,spiking_three_factor_readout,64,0.5981257972721028,0.5654008438818565,0.20000001776588056,,,0.0,8044.3831232091425,0.03249006899932283,0,0.0003925031890883446,9.812579727208615e-05,16027,0.0006669972790405154
160,spiking_three_factor_readout,256,0.5981257972721028,0.5654008438818565,0.20000001776588056,,,0.0,10958.28146654219,0.08766644199931761,0,0.0003925031890883446,0.00024531449318021536,16725,0.0008830999722704291
160,spiking_three_factor_readout,1024,0.5981257972721028,0.5660877244627612,0.20000001776588056,,,0.0,6595.143975105992,0.47459189599976526,0,0.0010793837699930586,0.0011775095672652558,16773,0.001432421850040555
160,spiking_three_factor_readout,4096,0.5981257972721028,0.5698165047591012,0.20000001776588056,,,0.0,11009.494315224762,1.3484812719998445,0,0.004808164066332998,0.00608379943087034,16792,0.0033222539350390434
