seed,arm,model_kind,topology,initial_test_accuracy,train_accuracy,test_accuracy,hidden_neurons,active_edges,dynamics_parameters,effective_model_parameters,trainable_parameters,parameter_ratio_vs_target,initial_activity,final_activity,activity_kind,train_seconds,inference_seconds,test_examples_per_second,gain_vs_raw_temporal,gain_vs_dense_lif,gain_vs_dense_analog_feedforward,gain_vs_sparse_instant
42,raw_temporal_pyramid,raw,raw,0.04902826855123675,0.9559833251593919,0.7800353356890459,0,0,0,132944,132944,0.9948589773331038,0.09931821886831796,0.09931821886831796,input_event_rate,5.431789188998664,0.06490256999859412,34883.05624952974,0.0,0.04107773851590102,0.021201413427561877,0.0035335689045936647
42,dense_lif_recurrent,dense_lif,dense_lif,0.02959363957597173,0.9353849926434527,0.7389575971731449,128,0,105984,133353,133353,0.9979196443938907,0.05684562130130222,0.20505612604188414,hidden_spike_rate,26.626334374999715,0.23682749399995373,9559.700868178938,-0.04107773851590102,0.0,-0.019876325088339142,-0.037544169611307354
42,dense_analog_feedforward,dense_analog_feedforward,dense_analog_feedforward,0.04858657243816254,0.9790338401177048,0.758833922261484,128,0,89600,133307,133307,0.9975754128907215,0.5228588286221239,0.7903111048385028,analog_activation,15.67790295099985,0.13608236699838017,16636.982806353957,-0.021201413427561877,0.019876325088339142,0.0,-0.017667844522968212
42,dense_analog_recurrent,dense_analog_recurrent,dense_analog_recurrent,0.04328621908127209,0.8994605198626778,0.7226148409893993,128,0,105984,133353,133353,0.9979196443938907,0.825746076056477,0.9473679489044755,analog_activation,19.16164820599988,0.15234683999915433,14860.82678191794,-0.05742049469964661,-0.016342756183745588,-0.03621908127208473,-0.05388692579505294
42,sparse_analog_instant,sparse_analog_instant,sparse_analog_instant,0.04637809187279152,0.9092692496321726,0.7765017667844523,512,700,700,133631,132931,1.0,0.07531953966343782,0.07531953966343782,analog_activation,27.325787626999954,0.25384157900043647,8918.948617145606,-0.0035335689045936647,0.037544169611307354,0.017667844522968212,0.0
42,sparse_analog_leaky,sparse_analog_leaky,sparse_analog_leaky,0.0446113074204947,0.9011770475723394,0.8100706713780919,512,700,700,133631,132931,1.0,0.33906705872330145,0.33906705872330145,analog_activation,27.112224987000445,0.32426226299867267,6982.002713060901,0.030035335689045928,0.07111307420494695,0.051236749116607805,0.03356890459363959
43,raw_temporal_pyramid,raw,raw,0.0719964664310954,0.9654242275625307,0.7950530035335689,0,0,0,132944,132944,0.9948589773331038,0.09931821886831796,0.09931821886831796,input_event_rate,5.396499217999008,0.05435359399962181,41653.17936502511,0.0,0.06448763250883394,0.05609540636042398,-0.005300353356890497
43,dense_lif_recurrent,dense_lif,dense_lif,0.04107773851590106,0.9394310936733693,0.730565371024735,128,0,105984,133353,133353,0.9979196443938907,0.06748185978129559,0.19827701867469208,hidden_spike_rate,26.39339744499921,0.19198519599922292,11792.575923453825,-0.06448763250883394,0.0,-0.008392226148409954,-0.06978798586572443
43,dense_analog_feedforward,dense_analog_feedforward,dense_analog_feedforward,0.028268551236749116,0.9724129475232958,0.7389575971731449,128,0,89600,133307,133307,0.9975754128907215,0.5221144405354881,0.7902931741606641,analog_activation,14.972996929000146,0.1291167069994117,17534.52401795157,-0.05609540636042398,0.008392226148409954,0.0,-0.06139575971731448
43,dense_analog_recurrent,dense_analog_recurrent,dense_analog_recurrent,0.04902826855123675,0.9044874938695439,0.7402826855123675,128,0,105984,133353,133353,0.9979196443938907,0.8256841421969788,0.9477164555775404,analog_activation,19.817129208999177,0.15309801399962453,14787.912271713416,-0.05477031802120136,0.009717314487632578,0.0013250883392226243,-0.060070671378091856
43,sparse_analog_instant,sparse_analog_instant,sparse_analog_instant,0.04991166077738516,0.9341589014222658,0.8003533568904594,512,700,700,133631,132931,1.0,0.07486015887332047,0.07486015887332047,analog_activation,27.244047156000306,0.24667372099975182,9178.115896675827,0.005300353356890497,0.06978798586572443,0.06139575971731448,0.0
43,sparse_analog_leaky,sparse_analog_leaky,sparse_analog_leaky,0.04946996466431095,0.8881804806277587,0.8078621908127208,512,700,700,133631,132931,1.0,0.33281759901939767,0.33281759901939767,analog_activation,28.006463317000453,0.265567086998999,8525.152817632606,0.012809187279151923,0.07729681978798586,0.0689045936395759,0.007508833922261426
44,raw_temporal_pyramid,raw,raw,0.05123674911660778,0.9665277096615988,0.7636925795053003,0,0,0,132944,132944,0.9948589773331038,0.09931821886831796,0.09931821886831796,input_event_rate,5.10209828600091,0.07398934199954965,30599.001678022494,0.0,0.005300353356890497,-0.0035335689045936647,-0.03180212014134276
