arm,model_kind,seeds,mean_test_accuracy,std_test_accuracy,mean_gain_vs_raw_temporal,mean_gain_vs_dense_lif,analog_one_point_seed_count,mean_gain_vs_dense_analog_feedforward,sparse_one_point_seed_count,mean_gain_vs_sparse_instant,leak_positive_seed_count,hidden_neurons,active_edges,dynamics_parameters,effective_model_parameters,trainable_parameters,parameter_ratio_vs_target,mean_final_activity,activity_kind,mean_train_seconds,mean_test_examples_per_second
raw_temporal_pyramid,raw,3,0.7795936395759716,0.012806648544159385,0.0,0.03695524146054182,2,0.024587750294464066,2,-0.01118963486454653,1,0,0,0,132944,132944,0.9948589773331037,0.09931821886831797,input_event_rate,5.310128897666194,35711.74576419245
dense_lif_recurrent,dense_lif,3,0.7426383981154299,0.01165460390292301,-0.03695524146054182,0.0,0,-0.012367491166077752,0,-0.04814487632508835,0,128,0,105984,133353,133353,0.9979196443938907,0.20984582239663221,hidden_spike_rate,26.944679107999644,9868.274058990435
dense_analog_feedforward,dense_analog_feedforward,3,0.7550058892815077,0.011853779274364144,-0.024587750294464066,0.012367491166077752,1,0.0,0,-0.0357773851590106,0,128,0,89600,133307,133307,0.9975754128907215,0.7851513181193277,analog_activation,15.784881317999558,17060.075434142374
dense_analog_recurrent,dense_analog_recurrent,3,0.7155477031802121,0.023615945413148935,-0.06404593639575969,-0.027090694935217874,0,-0.039458186101295624,0,-0.07523557126030622,0,128,0,105984,133353,133353,0.9979196443938907,0.9491170414485414,analog_activation,19.793417739999615,14693.928202646748
sparse_analog_instant,sparse_analog_instant,3,0.7907832744405182,0.010291508903004317,0.01118963486454653,0.04814487632508835,3,0.0357773851590106,3,0.0,0,512,700,700,133631,132931,1.0,0.07506534665191132,analog_activation,27.919012039666388,8416.278300840064
sparse_analog_leaky,sparse_analog_leaky,3,0.8113957597173145,0.003551925230216403,0.03180212014134276,0.06875736160188457,3,0.05638987043580682,3,0.020612485276796228,3,512,700,700,133631,132931,1.0,0.33594306787416706,analog_activation,27.536020388667264,8239.197484270982
