seed,model,train_samples,test_samples,feature_dim,trainable_parameters,classifier_hidden_units,frozen_active_edges,mean_hidden_spike_rate,train_accuracy,test_accuracy,feature_seconds,feature_examples_per_second,train_seconds,inference_seconds,inference_examples_per_second,feature,classifier,total_feature_examples
42,raw_intensity_linear,20000,5000,64,650,0,0,0.0,0.83975,0.8598,0.0,0.0,0.790440426000032,0.002227696000090873,2244471.417911617,raw_intensity,linear,25000
42,raw_intensity_mlp,20000,5000,64,34210,456,0,0.0,0.9541,0.949,0.0,0.0,0.8641596420000042,0.0029249460001210537,1709433.2680989895,raw_intensity,mlp,25000
42,flattened_latency_linear,20000,5000,512,5130,0,0,0.0,0.88565,0.8816,0.49288518499997735,50721.75176050615,0.9569569289999436,0.00511786599986408,976969.6979430079,flattened_latency,linear,25000
42,flattened_latency_mlp,20000,5000,512,34005,65,0,0.0,0.94915,0.9124,0.49288518499997735,50721.75176050615,1.0936476020001464,0.006105634000050486,818915.7751608852,flattened_latency,mlp,25000
42,sensor_trace_linear,20000,5000,128,1290,0,0,0.0,0.71655,0.7282,0.0764058950001072,327199.8842493099,0.7315443439999854,0.0025471019998803968,1963015.222882626,sensor_trace,linear,25000
42,sensor_trace_mlp,20000,5000,128,34204,246,0,0.0,0.85855,0.8582,0.0764058950001072,327199.8842493099,0.8558099459999085,0.005471365000175865,913848.7378998268,sensor_trace,mlp,25000
42,hidden_trace_linear,20000,5000,128,1290,0,384,0.024028711020946503,0.73415,0.7354,0.26199128799999016,95423.02032577869,0.7835445240000354,0.0027575289998367225,1813217.558290795,hidden_trace,linear,25000
42,hidden_trace_mlp,20000,5000,128,34204,246,384,0.024028711020946503,0.84645,0.834,0.26199128799999016,95423.02032577869,0.8632141610000872,0.0031253119998382317,1599840.2720300576,hidden_trace,mlp,25000
42,full_trace_linear,20000,5000,256,2570,0,384,0.024028711020946503,0.7905,0.7934,0.26199128799999016,95423.02032577869,0.9022756419999496,0.004000736999842047,1249769.729976603,full_trace,linear,25000
42,full_trace_mlp,20000,5000,256,34186,128,384,0.024028711020946503,0.8671,0.859,0.26199128799999016,95423.02032577869,1.1022734560001481,0.0049111460000403895,1018092.3149014262,full_trace,mlp,25000
42,raw_plus_hidden_linear,20000,5000,192,1930,0,384,0.024028711020946503,0.86115,0.868,0.26199128799999016,95423.02032577869,0.8043196229998557,0.00363584699994135,1375195.3809059223,raw_plus_hidden,linear,25000
42,raw_plus_hidden_mlp,20000,5000,192,34114,168,384,0.024028711020946503,0.9404,0.9344,0.26199128799999016,95423.02032577869,1.1008647850001125,0.0038487369999984367,1299127.4800024088,raw_plus_hidden,mlp,25000
43,raw_intensity_linear,20000,5000,64,650,0,0,0.0,0.8411,0.8578,0.0,0.0,0.6982675270000982,0.002112180000040098,2367222.490462498,raw_intensity,linear,25000
43,raw_intensity_mlp,20000,5000,64,34210,456,0,0.0,0.95435,0.952,0.0,0.0,0.873845072999984,0.0030058560000725265,1663419.6714278255,raw_intensity,mlp,25000
43,flattened_latency_linear,20000,5000,512,5130,0,0,0.0,0.8868,0.881,0.49288518499997735,50721.75176050615,0.9624358940000093,0.005226261999951021,956706.7246239968,flattened_latency,linear,25000
43,flattened_latency_mlp,20000,5000,512,34005,65,0,0.0,0.9467,0.9156,0.49288518499997735,50721.75176050615,1.1143503319999581,0.0058799190001082025,850351.8500693615,flattened_latency,mlp,25000
43,sensor_trace_linear,20000,5000,128,1290,0,0,0.0,0.7161,0.727,0.0764058950001072,327199.8842493099,0.7440448629999992,0.00285129799999595,1753587.3135698556,sensor_trace,linear,25000
43,sensor_trace_mlp,20000,5000,128,34204,246,0,0.0,0.85955,0.8638,0.0764058950001072,327199.8842493099,0.8854453239998747,0.0033265570000367006,1503055.5616346982,sensor_trace,mlp,25000
43,hidden_trace_linear,20000,5000,128,1290,0,384,0.026123046875,0.73695,0.7428,0.21256933499989827,117608.68518505721,0.7252695280001262,0.0035357429999294254,1414129.9297205147,hidden_trace,linear,25000
43,hidden_trace_mlp,20000,5000,128,34204,246,384,0.026123046875,0.84645,0.84,0.21256933499989827,117608.68518505721,0.8563679700000648,0.0032006659998842224,1562174.8724111996,hidden_trace,mlp,25000
43,full_trace_linear,20000,5000,256,2570,0,384,0.026123046875,0.793,0.7992,0.21256933499989827,117608.68518505721,0.8101281499998549,0.0034783700000389217,1437454.8998364324,full_trace,linear,25000
43,full_trace_mlp,20000,5000,256,34186,128,384,0.026123046875,0.8674,0.8676,0.21256933499989827,117608.68518505721,0.9346785499999442,0.003947477999872717,1266631.50501693,full_trace,mlp,25000
43,raw_plus_hidden_linear,20000,5000,192,1930,0,384,0.026123046875,0.85895,0.8714,0.21256933499989827,117608.68518505721,0.7558554689999255,0.0030174619998888375,1657021.6957775105,raw_plus_hidden,linear,25000
43,raw_plus_hidden_mlp,20000,5000,192,34114,168,384,0.026123046875,0.9382,0.9334,0.21256933499989827,117608.68518505721,1.0442289640000126,0.004395230999989508,1137596.6359929515,raw_plus_hidden,mlp,25000
44,raw_intensity_linear,20000,5000,64,650,0,0,0.0,0.84235,0.8606,0.0,0.0,0.7672512089998236,0.002729256000066016,1832001.10208755,raw_intensity,linear,25000
44,raw_intensity_mlp,20000,5000,64,34210,456,0,0.0,0.95305,0.9532,0.0,0.0,0.9553689029999077,0.0038051859999086446,1313996.2146712514,raw_intensity,mlp,25000
44,flattened_latency_linear,20000,5000,512,5130,0,0,0.0,0.88645,0.8806,0.49288518499997735,50721.75176050615,1.115857885999958,0.0055072509999263275,907893.9747011507,flattened_latency,linear,25000
44,flattened_latency_mlp,20000,5000,512,34005,65,0,0.0,0.94645,0.914,0.49288518499997735,50721.75176050615,1.111114773000054,0.006039125000143031,827934.5103606201,flattened_latency,mlp,25000
44,sensor_trace_linear,20000,5000,128,1290,0,0,0.0,0.715,0.727,0.0764058950001072,327199.8842493099,0.7361041600001954,0.002685399000029065,1861920.70524562,sensor_trace,linear,25000
44,sensor_trace_mlp,20000,5000,128,34204,246,0,0.0,0.8589,0.8572,0.0764058950001072,327199.8842493099,0.9044484280000233,0.003334798999958366,1499340.739895395,sensor_trace,mlp,25000
44,hidden_trace_linear,20000,5000,128,1290,0,384,0.02088066376745701,0.71185,0.7126,0.26304370799994103,95041.23930615213,0.748847115999979,0.0028282179998768697,1767897.6656741742,hidden_trace,linear,25000
44,hidden_trace_mlp,20000,5000,128,34204,246,384,0.02088066376745701,0.8351,0.829,0.26304370799994103,95041.23930615213,0.8902069939999819,0.0032892590002120414,1520099.207656702,hidden_trace,mlp,25000
44,full_trace_linear,20000,5000,256,2570,0,384,0.02088066376745701,0.7832,0.7872,0.26304370799994103,95041.23930615213,0.8412362609999491,0.0034948059999351244,1430694.5793537088,full_trace,linear,25000
44,full_trace_mlp,20000,5000,256,34186,128,384,0.02088066376745701,0.8484,0.8524,0.26304370799994103,95041.23930615213,0.9519966479999766,0.004231615999970018,1181581.6936214028,full_trace,mlp,25000
44,raw_plus_hidden_linear,20000,5000,192,1930,0,384,0.02088066376745701,0.859,0.8682,0.26304370799994103,95041.23930615213,0.78313329599996,0.0030469349999293627,1640993.326118186,raw_plus_hidden,linear,25000
44,raw_plus_hidden_mlp,20000,5000,192,34114,168,384,0.02088066376745701,0.93855,0.9372,0.26304370799994103,95041.23930615213,0.9338362529999813,0.003827344000001176,1306388.9736586164,raw_plus_hidden,mlp,25000
