world,group,neuron_count,hidden_neurons,max_edges,seed,generation,epoch_best_fitness,all_time_best_fitness,selection_best_fitness,mean_population_fitness,selection_mean_fitness,mean_active_synapses,active_edge_utilization,fitness_per_active_synapse,mean_hidden_edges,mean_hidden_edge_fraction,mean_direct_sensor_motor_fraction,sprout_count,prune_count,low_ltw_prune_count,ltw_mutation_count
simple,low_ltw_pruning,32,20,256,42,1,7.0,7.0,7.0,-0.6876999735832214,-0.6876999735832214,10.42859935760498,0.040736716240644455,0.671231079070585,2.134500026702881,0.15817715227603912,0.8230056166648865,24706,420,0,40000
simple,low_ltw_pruning,32,20,256,42,2,11.0,11.0,11.0,-0.5,-0.5,12.813799858093262,0.050053905695676804,0.8584494936568206,4.236199855804443,0.2761673629283905,0.6911215782165527,24614,1118,610,52321
simple,low_ltw_pruning,32,20,256,42,3,12.0,12.0,12.0,-0.8924999833106995,-0.8924999833106995,15.04419994354248,0.058766406029462814,0.7976495955274004,6.210099697113037,0.3614453673362732,0.5959993004798889,24273,1741,1105,63955
simple,low_ltw_pruning,32,20,256,42,4,13.0,13.0,13.0,-0.34379997849464417,-0.34379997849464417,17.131799697875977,0.06692109256982803,0.7588227874046273,8.03600025177002,0.42408740520477295,0.5256574153900146,23912,2352,1613,74879
simple,low_ltw_pruning,32,20,256,42,5,11.0,13.0,11.0,-0.75409996509552,-0.75409996509552,19.33049964904785,0.07550976425409317,0.5690489226718886,9.98390007019043,0.4783298671245575,0.4650062322616577,23983,2902,2048,86112
simple,low_ltw_pruning,32,20,256,42,6,12.0,13.0,12.0,-1.2705999612808228,-1.2705999612808228,21.383298873901367,0.08352851122617722,0.5611856276603877,11.80679988861084,0.5188941359519958,0.42034104466438293,23973,3396,2427,96628
simple,low_ltw_pruning,32,20,256,42,7,14.0,14.0,14.0,-0.44839999079704285,-0.44839999079704285,23.465198516845703,0.09166093170642853,0.5966282360641176,13.619199752807617,0.5525946021080017,0.3824032247066498,23423,4005,2993,107617
simple,low_ltw_pruning,32,20,256,42,8,13.0,14.0,13.0,-1.1607999801635742,-1.1607999801635742,25.378599166870117,0.0991351529955864,0.5122426149103824,15.31209945678711,0.5800350308418274,0.35145583748817444,23126,4586,3431,117623
simple,low_ltw_pruning,32,20,256,42,9,15.0,15.0,15.0,-0.26999998092651367,-0.26999998092651367,27.18709945678711,0.10619960725307465,0.5517322663950212,16.909000396728516,0.6028534173965454,0.3250594735145569,23294,4933,3674,126755
simple,low_ltw_pruning,32,20,256,42,10,13.0,15.0,13.0,-1.1190999746322632,-1.1190999746322632,29.044599533081055,0.11345546692609787,0.44758751055229157,18.55970001220703,0.622478187084198,0.3032935857772827,22914,5382,4036,136457
simple,low_ltw_pruning,32,20,256,42,11,16.0,16.0,16.0,-0.5812000036239624,-0.5812000036239624,30.80340003967285,0.12032578140497208,0.5194231798890058,20.13409996032715,0.6396281123161316,0.2842159569263458,22766,5900,4406,145584
