seed,arm,model_kind,conventional,causal_state,channels,best_epoch,best_validation_accuracy,full_accuracy,direct_only_accuracy,state_only_accuracy,shuffled_state_accuracy,state_contribution_vs_direct_only,state_specificity_vs_shuffled,checkpoint_activity,activity_kind,mean_absolute_gate,effective_trainable_parameters,parameter_ratio_vs_target,test_examples_per_second,train_seconds,train_samples,validation_samples,test_samples
142,dilated_tcn,tcn,True,False,32,5,0.6094579701432722,0.5893926013148857,,,,,,0.40811671595463,relu_activation,0.0,131971,0.9875777327117211,53971.4546136306,39.20229995,75466,9981,20382
142,shared_residual_analog,shared_residual_analog,False,True,32,5,0.5987376014427412,0.5815916004317535,0.3430477872632715,0.05980767343734668,0.6235894416642135,0.238543813168482,-0.041997841232459976,0.8931031622896951,analog_activation,0.20166626572608948,132038,0.9880791133793805,21764.934538101974,120.39163193299987,75466,9981,20382
142,shared_residual_lif,shared_residual_lif,False,True,32,5,0.6037471195271015,0.5879207143558042,0.5863507015994505,0.06589147286821706,0.592483563928957,0.0015700127563537114,-0.004562849573152783,0.06707061162691287,spike_rate,0.20324988663196564,132070,0.9883185787728895,13028.592454909915,216.46504303100028,75466,9981,20382
143,dilated_tcn,tcn,True,False,32,4,0.6124636809938884,0.5937591992934943,,,,,,0.3781700363343766,relu_activation,0.0,131971,0.9875777327117211,56846.1128951865,38.87706998099975,75466,9981,20382
143,shared_residual_analog,shared_residual_analog,False,True,32,4,0.6109608255685803,0.5909135511726032,0.42414875870866453,0.08586007261308998,0.6253066431164753,0.16676479246393872,-0.03439309194387208,0.8626163288382129,analog_activation,0.17437468469142914,132038,0.9880791133793805,20748.010866914417,118.73060516500027,75466,9981,20382
143,shared_residual_lif,shared_residual_lif,False,True,32,4,0.6085562568880873,0.5913551172603277,0.5856147581199097,0.06029830242370719,0.5951820233539398,0.005740359140418039,-0.003826906093612026,0.0574913440262525,spike_rate,0.15974876284599304,132070,0.9883185787728895,14867.322603818524,218.03614396900002,75466,9981,20382
144,dilated_tcn,tcn,True,False,32,5,0.606452259292656,0.5892944755176136,,,,,,0.391526667798727,relu_activation,0.0,131971,0.9875777327117211,54081.33517593207,40.32263940599978,75466,9981,20382
144,shared_residual_analog,shared_residual_analog,False,True,32,4,0.6043482616972248,0.5880188401530763,0.34378373074281227,0.09267981552350113,0.6419880286527329,0.244235109410264,-0.053969188499656595,0.8806132018045593,analog_activation,0.22662360966205597,132038,0.9880791133793805,22368.46281249021,119.95341426100003,75466,9981,20382
144,shared_residual_lif,shared_residual_lif,False,True,32,5,0.6066526400160305,0.5912079285644196,0.5869394563830831,0.05259542733784712,0.6025414581493475,0.0042684721813365245,-0.011333529584927837,0.05602700343864926,spike_rate,0.20635010302066803,132070,0.9883185787728895,17591.08521430579,219.64291365300005,75466,9981,20382
