arm,model_kind,conventional,causal_state,runs,mean_full_accuracy,std_full_accuracy,mean_gain_vs_tcn,mean_state_contribution_vs_direct_only,half_point_seed_count_state_contribution,mean_state_specificity_vs_shuffled,half_point_seed_count_state_specificity,mean_activity,activity_kind,mean_absolute_gate,effective_trainable_parameters,mean_test_examples_per_second,mean_train_seconds
dilated_tcn,tcn,True,False,3,0.5908154253753312,0.0020819479386647464,0.0,0.0,0,0.0,0,0.3926044733625779,relu_activation,0.0,131971,54966.300894916385,39.46733644566651
shared_residual_lif,shared_residual_lif,False,True,3,0.5901612533935171,0.001585439479069388,-0.0006541719818140557,0.0038596146927027584,1,-0.006574428417230882,0,0.060196319697271544,spike_rate,0.18978291749954224,132070,15162.33342434474,218.04803355100012
shared_residual_analog,shared_residual_analog,False,True,3,0.586841330585811,0.0038956888983814023,-0.003974094789520155,0.2165145716808949,3,-0.043453373891996216,0,0.8787775643108224,analog_activation,0.20088818669319153,132038,21627.1360725022,119.69188378633339
