arm,classifier,schedule,adaptive_fraction,seeds,mean_test_accuracy,std_test_accuracy,mean_accuracy_gain_vs_lif_control,improved_seed_count,practical_gain_seed_count,active_edges,adaptive_neurons,effective_trainable_parameters,mean_event_rate_ratio,mean_event_rate_vs_lif_control,mean_final_adaptation,mean_final_adaptive_threshold,mean_absolute_ltw_change,mean_lower_ltw_saturation_rate,mean_upper_ltw_saturation_rate,mean_train_seconds
raw,linear,raw,0.0,3,0.8593999999999999,0.001177568115510388,0.39973333333333333,3,3,0,0,650,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7928132179998405
raw,mlp,raw,0.0,3,0.9420666666666667,0.0006182412330330308,0.37833333333333335,3,3,0,0,17785,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8449336170003031
lif_frozen,linear,frozen,0.0,3,0.4385333333333333,0.010172293524842654,0.0,0,0,272,0,1290,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.3446262770000126
lif_frozen,mlp,frozen,0.0,3,0.5556666666666666,0.005190589775952456,0.0,0,0,272,0,17802,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.8148756946672315
lif_warm_all,linear,warmup,0.0,3,0.45966666666666667,0.013398839087357114,0.0,0,0,272,0,1562,1.2851577378611054,1.0,0.0,1.0,0.0199147363503774,0.0,0.006127451080828905,6.644903428000059
lif_warm_all,mlp,warmup,0.0,3,0.5637333333333333,0.007910049866397092,0.0,0,0,272,0,18074,1.0868593528560604,1.0,0.0,1.0,0.006614354904741049,0.0,0.002450980401287476,6.876943812333896
alif50_frozen,linear,frozen,0.5,3,0.43533333333333335,0.0029634814361190406,-0.0031999999999999993,1,1,272,32,1290,1.0,0.883281721909224,0.09392808937629064,1.0469640456517537,0.0,0.0,0.0,3.657129862000147
alif50_frozen,mlp,frozen,0.5,3,0.5539999999999999,0.002535087112244201,-0.0016666666666666312,1,0,272,32,17802,1.0,0.883281721909224,0.09392808937629064,1.0469640456517537,0.0,0.0,0.0,3.5155528866665313
alif25_warm_all,linear,warmup,0.25,3,0.4536,0.006731022705849895,-0.006066666666666665,2,0,272,16,1562,1.255784779163798,0.9427636603097654,0.08741000193183622,1.043705007870992,0.019386112689971924,0.0,0.006127451080828905,6.716301134000484
alif25_warm_all,mlp,warmup,0.25,3,0.5606666666666666,0.005468292441175993,-0.003066666666666699,1,0,272,16,18074,1.0749083226480727,0.953156934677421,0.07583225359419982,1.0379161322911579,0.006240935064852238,0.0,0.002450980401287476,7.004415857334
alif50_warm_all,linear,warmup,0.5,3,0.4458666666666667,0.006839753081963009,-0.013799999999999998,0,0,272,32,1562,1.2375055686026837,0.8516377513839425,0.1117138290087382,1.055856921005249,0.01814681477844715,0.0,0.006127451080828905,7.00540768433287
alif50_warm_all,mlp,warmup,0.5,3,0.5598,0.004013311184877962,-0.003933333333333344,1,0,272,32,18074,1.0749903204131823,0.8743268219940967,0.0993733969926834,1.0496867041269937,0.005873966651658217,0.0,0.002450980401287476,6.924647722333854
alif100_warm_all,linear,warmup,1.0,3,0.4346666666666667,0.008249983164965986,-0.025000000000000005,0,0,272,64,1562,1.183423658187321,0.7287417926320187,0.1022797952135404,1.0511399009068807,0.017361316829919815,0.0,0.006127451080828905,6.744879559999997
alif100_warm_all,mlp,warmup,1.0,3,0.5528,0.005413563213509817,-0.01093333333333335,0,0,272,64,18074,1.0586802337244008,0.7703036364422712,0.09180122220913568,1.045900612831116,0.005357338115572929,0.0,0.001225490200643738,6.915026880666725
