seed,arm,classifier,schedule,adaptive_fraction,adaptive_neurons,adaptation_decay,adaptation_strength,warmup_epochs,train_accuracy,test_accuracy,active_edges,scope_trainable_edges,readout_parameters,effective_trainable_parameters,initial_hidden_event_rate,final_hidden_event_rate,event_rate_ratio,initial_mean_adaptation,final_mean_adaptation,final_mean_adaptive_threshold,mean_absolute_ltw_change,lower_ltw_saturation_rate,upper_ltw_saturation_rate,train_seconds,inference_seconds,end_to_end_examples_per_second,paired_lif_test_accuracy,accuracy_gain_vs_lif_control,event_rate_vs_lif_control
42,raw,linear,raw,0.0,0,0.95,0.5,0,0.83975,0.8598,0,0,650,650,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9657379010004661,0.0024352559994440526,2053172.2336959464,0.4764,0.3834,0.0
42,lif_frozen,linear,frozen,0.0,0,0.95,0.5,0,0.43865,0.4486,272,0,1290,1290,0.01671992195546627,0.01671992195546627,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.2935853460003273,0.042312221999964095,118169.16634641033,0.4486,0.0,1.0
42,lif_warm_all,linear,warmup,0.0,0,0.95,0.5,10,0.4674,0.4764,272,272,1290,1562,0.01671992195546627,0.022525000095367433,1.3471952892700734,0.0,0.0,1.0,0.021228663623332977,0.0,0.011029412038624287,6.546619173999716,0.05643353699997533,88599.79837879355,0.4764,0.0,1.0
42,alif50_frozen,linear,frozen,0.5,32,0.95,0.5,0,0.42775,0.4348,272,0,1290,1290,0.01428046877682209,0.01428046877682209,1.0,0.12384817115068436,0.12384817115068436,1.0619240745544434,0.0,0.0,0.0,3.926715753999815,0.041712135998750455,119869.19107067022,0.4486,-0.013799999999999979,0.8540990092452766
42,alif25_warm_all,linear,warmup,0.25,16,0.95,0.5,10,0.4491,0.457,272,272,1290,1562,0.014919921843707561,0.018997265627980233,1.2732818460434685,0.1887061805009842,0.23192674345970155,1.1159633628845216,0.019374575465917587,0.0,0.011029412038624287,6.342537571999856,0.04768204699939815,104861.26990443826,0.4764,-0.019399999999999973,0.8433858178711962
42,alif50_warm_all,linear,warmup,0.5,32,0.95,0.5,10,0.44815,0.4504,272,272,1290,1562,0.01428046877682209,0.017758593687415124,1.2435581748015305,0.12384817115068436,0.14855893468856812,1.0742794734954835,0.01871385984122753,0.0,0.011029412038624287,7.300420417999703,0.04521335899880796,110586.78476270307,0.4764,-0.025999999999999968,0.7883948329512956
42,alif100_warm_all,linear,warmup,1.0,64,0.95,0.5,10,0.44205,0.4446,272,272,1290,1562,0.013205859352648258,0.015905078041553496,1.2043955351049491,0.09149244575500488,0.10973939206600189,1.054869693183899,0.017640816047787666,0.0,0.011029412038624287,6.372847262000505,0.04439337700023316,112629.41316615177,0.4764,-0.031799999999999995,0.7061077901981714
42,raw,mlp,raw,0.0,0,0.95,0.5,0,0.94245,0.9424,0,0,17785,17785,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8555923809999513,0.002973984001073404,1681246.4351507416,0.5746,0.3678,0.0
42,lif_frozen,mlp,frozen,0.0,0,0.95,0.5,0,0.56055,0.5628,272,0,17802,17802,0.01671992195546627,0.01671992195546627,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.230728856000496,0.043432495000161,115121.1782786475,0.5628,0.0,1.0
42,lif_warm_all,mlp,warmup,0.0,0,0.95,0.5,10,0.5692,0.5746,272,272,17802,18074,0.01671992195546627,0.018651171934604645,1.1155059206784748,0.0,0.0,1.0,0.006920407991856337,0.0,0.0036764706019312143,6.624186856000961,0.04506016699997417,110962.74898410532,0.5746,0.0,1.0
