seed,arm,dynamics,best_epoch,best_validation_accuracy,conv_reference_accuracy,full_accuracy,direct_only_accuracy,state_only_accuracy,shuffled_state_accuracy,full_gain_vs_conv,state_contribution_vs_direct_only,state_specificity_vs_shuffled,direct_contribution_vs_state_only,effective_trainable_parameters,parameter_ratio_vs_target,full_activity,full_test_examples_per_second,train_seconds
142,residual_analog,analog,14,0.9448529411764706,0.8330388692579506,0.8281802120141343,0.5141342756183745,0.15459363957597172,0.534452296819788,-0.004858657243816289,0.31404593639575973,0.29372791519434627,0.6735865724381626,131924,0.9872260179150047,0.918745936226929,23443.65942933126,10.458336257001065
142,residual_lif,lif,13,0.9546568627450981,0.8330388692579506,0.8396643109540636,0.7818021201413428,0.20097173144876326,0.7809187279151943,0.00662544169611301,0.057862190812720815,0.05874558303886923,0.6386925795053003,131956,0.9874654833085137,0.253925660263102,18594.31068441783,19.828835815002094
143,residual_analog,analog,15,0.9485294117647058,0.8158127208480566,0.8480565371024735,0.4787985865724382,0.22570671378091872,0.6311837455830389,0.03224381625441697,0.36925795053003535,0.21687279151943462,0.6223498233215548,131924,0.9872260179150047,0.9249707864788311,30018.34659207711,10.964554047997808
143,residual_lif,lif,11,0.9522058823529411,0.8158127208480566,0.8440812720848057,0.7809187279151943,0.20980565371024734,0.803886925795053,0.028268551236749095,0.06316254416961131,0.0401943462897526,0.6342756183745584,131956,0.9874654833085137,0.21350011024163384,19060.910528635846,20.07525772599911
144,residual_analog,analog,13,0.9534313725490197,0.8308303886925795,0.8361307420494699,0.5874558303886925,0.18374558303886926,0.6152826855123675,0.005300353356890386,0.24867491166077738,0.22084805653710238,0.6523851590106007,131924,0.9872260179150047,0.9223771032090743,30966.941094816484,10.95675354999912
144,residual_lif,lif,13,0.9607843137254902,0.8308303886925795,0.8334805653710248,0.7619257950530035,0.25353356890459366,0.8074204946996466,0.0026501766784452485,0.07155477031802127,0.026060070671378166,0.5799469964664311,131956,0.9874654833085137,0.2989892377238392,17852.30508872931,19.053597780999553
